N	3gram	Vinokur_Ku_3	Analitik
1	не может быть	3	16
2	в том что	8	9
3	в то же	1	8
4	в том чтобы	3	7
5	в отличие от	2	6
6	значении этого слова	1	6
7	то же время	1	6
8	той или иной	5	6
9	по отношению к	2	5
10	с точки зрения	16	4
11	и не может	1	4
12	не более чем	1	4
13	в конечном счете	1	4
14	к тому же	2	4
15	о том что	3	3
16	в той или	2	3
17	в том числе	2	3
18	того или иного	3	3
19	в таком случае	2	3
20	бы то ни	1	3
21	из того что	1	3
22	и т п	41	3
23	для того чтобы	11	3
24	с одной стороны	4	3
25	не в том	2	3
26	лишь в том	2	3
27	быть не может	1	3
28	и того же	2	2
29	и к тому	1	2
30	в самом деле	11	2
31	то же самое	1	2
32	ни в коем	1	2
33	но и в	1	2
34	в той мере	1	2
35	в коем случае	1	2
36	в данном случае	4	2
37	в первом случае	2	2
38	не могут быть	2	2
39	по природе своей	1	2
40	с другой стороны	3	2
41	мере в какой	1	2
42	в свое время	2	2
43	одного и того	2	2
44	той мере в	1	2
45	тех или иных	1	2
46	самом деле в	1	1
47	в области литературной	1	1
48	есть не более	1	1
49	язык есть не	1	1
50	тех пор пока	4	1
51	в виду не	1	1
52	на себя внимание	2	1
53	а вовсе не	1	1
54	и той же	1	1
55	то и просто	1	1
56	более или менее	2	1
57	по меньшей мере	1	1
58	также и в	1	1
59	один и тот	2	1
60	выходит за пределы	1	1
61	как раз и	2	1
62	на тех же	1	1
63	только в том	2	1
64	до сих пор	8	1
65	говоря уже о	2	1
66	в зависимости от	7	1
67	на точку зрения	2	1
68	сам по себе	3	1
69	в том случае	4	1
70	а не с	1	1
71	по своему содержанию	1	1
72	в собственном смысле	1	1
73	а то и	1	1
74	в противном случае	1	1
75	но и как	1	1
76	с этой точки	1	1
77	по крайней мере	1	1
78	то или иное	2	1
79	вместе с тем	1	1
80	только для того	1	1
81	в равной мере	1	1
82	что мы наблюдаем	1	1
83	ставит себе целью	1	1
84	обращает на себя	1	1
85	как и следовало	1	1
86	не только в	3	1
87	тому или иному	1	1
88	поэтического творчества и	1	1
89	смысле этого слова	2	1
90	и не могут	1	1
91	в свою очередь	1	1
92	не столько в	1	1
93	конечно может быть	1	1
94	то что мы	1	1
95	в известном смысле	2	1
96	все без исключения	1	1
97	и при этом	1	1
98	а с другой	3	1
99	самом деле как	1	1
100	или иной форме	1	1
101	прежде всего в	1	1
102	собственном смысле слова	1	1
103	во всяком случае	1	1
104	во внутреннюю связь	1	1
105	что же касается	1	1
106	на вопрос о	1	1
107	этой точки зрения	1	1
108	далеко не все	1	1
109	могут и должны	1	1
110	а вместе с	1	1
111	что даже в	1	1
112	до тех пор	4	1
113	уже потому что	1	1
114	и вместе с	1	1
115	и в самом	4	1
116	это отнюдь не	1	1
117	тех же основаниях	1	1
118	в совокупности своей	1	1
119	и остается в	1	1
120	только тогда когда	4	1
121	мы имеем в	1	1
122	в этом смысле	1	1
123	в связи с	4	1
124	к тому что	1	1
125	одной и той	1	1
126	может быть использован	1	1
127	дело не в	2	1
128	конечно далеко не	1	1
129	и тот же	2	1
130	не говоря уже	2	1
