N	2gram	Bakhtin_Fr_2	Sovremen
1	не может	7	17
2	может быть	5	12
3	точки зрения	6	12
4	таким образом	7	11
5	в этом	15	7
6	и в	49	7
7	мы можем	2	6
8	ничего не	2	6
9	как и	11	6
10	и не	15	6
11	и наконец	1	5
12	все эти	7	5
13	прежде всего	19	5
14	с точки	5	5
15	в условиях	2	5
16	в стадии	1	5
17	в дальнейшем	2	4
18	мы должны	2	4
19	в том	3	4
20	в целом	1	4
21	из них	3	4
22	так как	6	4
23	мы видели	3	4
24	не только	17	4
25	в развитии	1	4
26	с помощью	1	4
27	как бы	11	4
28	вместе с	2	4
29	это не	1	4
30	точку зрения	2	4
31	их в	3	4
32	а в	4	4
33	жизни и	7	4
34	он может	1	3
35	с самого	1	3
36	то же	7	3
37	ясно что	1	3
38	и т.д	2	3
39	видели что	1	3
40	его развития	1	3
41	все же	7	3
42	еще не	2	3
43	но в	4	3
44	он в	1	3
45	в этой	10	3
46	в себе	4	3
47	уже в	5	3
48	в одном	3	3
49	в конце	2	3
50	в нем	9	3
51	при этом	5	3
52	на этой	2	3
53	было бы	3	3
54	само собою	1	3
55	а не	1	3
56	всех элементов	1	3
57	и потому	5	3
58	не в	1	3
59	все это	9	3
60	не подлежит	2	3
61	а все	1	3
62	одна из	4	3
63	для нас	1	3
64	и все	3	3
65	поэтому мы	1	3
66	состоит из	1	3
67	и к	4	3
68	в области	4	3
69	как известно	2	2
70	как мы	7	2
71	между всеми	1	2
72	и есть	1	2
73	тем же	1	2
74	роль в	5	2
75	той же	1	2
76	времени и	6	2
77	на этом	1	2
78	и даже	2	2
79	настоящее время	1	2
80	может дать	1	2
81	на их	1	2
82	и во	4	2
83	подлежит сомнению	1	2
84	самом деле	1	2
85	в его	18	2
86	дает нам	2	2
87	только один	1	2
88	в самом	3	2
89	к чему	1	2
90	в которой	1	2
91	не будем	1	2
92	в нашем	2	2
93	из этих	5	2
94	с одной	3	2
95	со всеми	2	2
96	так сказать	1	2
97	с другом	1	2
98	в виде	1	2
99	на его	2	2
100	мы знаем	1	2
101	который как	1	2
102	всяком случае	2	2
103	у него	2	2
104	и по	1	2
105	но все	4	2
106	что все	1	2
107	значение в	4	2
108	с общим	1	2
109	развития в	1	2
110	на этот	1	2
111	в один	1	2
112	из которых	1	2
113	знаем что	1	2
114	такого рода	2	2
115	друг с	1	2
116	же мы	1	2
117	не менее	1	2
118	и именно	1	2
119	в настоящее	1	2
120	еще более	1	2
121	мы видим	1	2
122	не дает	3	2
123	тот же	5	2
124	в свою	1	2
125	такие же	1	2
126	совершенно не	2	2
127	не могут	1	2
128	могут быть	2	2
129	для развития	1	2
130	что в	2	2
131	во всяком	2	2
132	должен быть	1	1
133	новое время	1	1
134	правда не	1	1
135	и это	3	1
136	значении в	1	1
137	своего развития	3	1
138	времени не	1	1
139	человека и	3	1
140	то она	1	1
141	с ее	3	1
142	дать не	1	1
143	на самом	2	1
144	этот метод	1	1
145	это и	2	1
146	необходимости и	1	1
147	здесь и	1	1
148	отношению к	1	1
149	так в	3	1
150	по преимуществу	2	1
151	и до	4	1
152	в мире	2	1
153	входящих в	1	1
154	можно было	3	1
155	мы уже	6	1
156	из всех	1	1
157	есть не	1	1
158	во многом	1	1
159	мы имеем	1	1
160	еще в	2	1
161	что уже	1	1
162	поэтому в	1	1
163	если бы	1	1
164	и вообще	3	1
165	и действительно	1	1
166	и начало	1	1
167	и ни	1	1
168	или как	1	1
169	того же	1	1
170	о том	3	1
171	в ней	2	1
172	и та	1	1
173	одного из	2	1
174	на них	1	1
175	которых нет	1	1
176	же время	6	1
177	в вопросах	1	1
178	его в	1	1
179	с его	5	1
180	во всех	6	1
181	живых существ	1	1
182	но не	5	1
183	к этому	1	1
184	мы будем	1	1
185	точка зрения	3	1
186	вся эта	1	1
187	где можно	1	1
188	целостность и	1	1
189	функций в	1	1
190	по отношению	1	1
191	во всей	1	1
192	это или	1	1
193	один и	1	1
