N	2gram	Kanaev_Sov_1	StatiiOP
1	и в	7	29
2	том что	1	27
3	в том	4	27
4	в этом	7	21
5	не только	4	19
6	что в	2	19
7	о том	1	17
8	в и	2	13
9	в его	2	13
10	в которой	2	11
11	все это	3	11
12	таким образом	11	10
13	в своем	1	9
14	он не	1	9
15	и не	6	9
16	но в	3	8
17	и пр	2	8
18	в ней	1	7
19	в самом	2	7
20	но все	2	7
21	вместе с	4	7
22	вопрос о	4	6
23	все же	3	6
24	факт что	1	6
25	вовсе не	1	6
26	и его	1	6
27	и что	2	6
28	в одном	3	6
29	до сих	1	6
30	в течение	1	6
31	было бы	3	5
32	точки зрения	12	5
33	прежде всего	5	5
34	а не	3	5
35	как бы	4	5
36	сих пор	1	5
37	кроме того	1	4
38	хотя и	1	4
39	и к	3	4
40	не приходится	1	4
41	в нем	3	4
42	в другом	1	4
43	должен был	1	4
44	не в	3	4
45	дело в	1	4
46	ничего не	6	4
47	времени и	2	4
48	связи с	1	4
49	с другой	1	4
50	именно в	1	4
51	тот факт	1	4
52	еще более	2	4
53	к этому	1	4
54	же как	1	3
55	самом деле	2	3
56	на самом	1	3
57	идет о	1	3
58	по его	1	3
59	подчеркнуть что	1	3
60	но не	1	3
61	с этим	2	3
62	не было	1	3
63	что это	2	3
64	в известном	1	3
65	в начале	1	3
66	из них	4	3
67	ни в	1	3
68	в эту	1	3
69	по себе	1	3
70	не менее	2	3
71	что эта	1	3
72	в обоих	1	3
73	самого начала	3	3
74	одной из	1	3
75	никогда не	1	3
76	и по	2	3
77	у нас	3	3
78	и именно	2	3
79	с самого	3	3
80	как у	1	3
81	но это	1	3
82	ни одного	1	3
83	всяком случае	2	3
84	и даже	2	3
85	так же	1	3
86	xix века	1	3
87	не является	1	3
88	другое дело	1	3
89	во всяком	2	3
90	как известно	2	2
91	того же	1	2
92	такое же	1	2
93	тем же	2	2
94	собою разумеется	2	2
95	то же	3	2
96	для своего	1	2
97	бы то	1	2
98	с его	1	2
99	отличие от	2	2
100	нет и	4	2
101	там где	1	2
102	мере в	1	2
103	все эти	5	2
104	в этой	3	2
105	в себе	3	2
106	и те	1	2
107	как он	3	2
108	на его	2	2
109	при этом	3	2
110	если бы	1	2
111	тем не	2	2
112	и более	1	2
113	то ни	2	2
114	а затем	1	2
115	конечно в	2	2
116	не дает	2	2
117	его в	1	2
118	само собою	3	2
119	как и	6	2
120	несмотря на	1	2
121	в один	2	2
122	что такое	2	2
123	с точки	5	2
124	в отличие	2	2
125	от его	1	2
126	времени не	1	2
127	совершенно так	1	2
128	и вся	1	2
129	но они	1	2
130	xviii века	1	2
131	что с	1	2
132	в то	1	2
133	не имеет	1	2
134	в процессе	1	2
135	только не	1	2
136	и всегда	1	2
137	очень мало	1	2
138	не может	17	2
139	в области	3	2
140	с и	1	2
141	в духе	1	2
142	на это	1	2
143	и это	1	2
144	во многом	1	2
145	еще в	1	2
146	в которую	2	2
147	отметить что	1	2
148	у всех	3	2
149	как например	1	2
150	этот вопрос	1	2
151	в какой	1	2
152	только в	1	2
153	достаточно для	1	2
154	сами по	1	2
155	в конце	3	2
156	так как	4	2
157	случае не	1	2
158	может быть	12	2
159	эту сторону	1	2
160	и речи	1	2
161	только к	1	2
162	в некоторых	2	2
163	на этот	2	2
164	и вообще	1	2
165	и потому	3	2
166	в данном	1	2
167	такого рода	2	2
168	по существу	1	2
169	только о	1	2
170	всегда будет	1	2
171	в результате	6	2
172	ни было	1	2
173	сказать что	1	2
174	совершенно не	2	2
175	они не	1	2
176	с жизнью	1	1
177	это и	1	1
178	в первом	3	1
179	за все	1	1
180	характерное для	1	1
181	по преимуществу	1	1
182	и до	1	1
183	не имеют	1	1
184	он выражается	1	1
185	в зависимости	4	1
186	против него	1	1
187	значение но	1	1
188	той же	2	1
189	их и	1	1
190	из всех	1	1
191	нуждаются в	1	1
192	мы не	9	1
193	это что	1	1
194	этот был	1	1
195	говорить о	2	1
196	к началу	1	1
197	еще не	3	1
198	на них	1	1
199	он сам	1	1
200	на другой	1	1
201	совсем не	1	1
202	но как	1	1
203	перед глазами	1	1
204	по отношению	1	1
205	одни и	1	1
206	чем же	1	1
207	независимо от	1	1
208	даны все	1	1
209	это просто	1	1
210	именно эта	1	1
211	чего же	1	1
212	за собой	1	1
213	к другому	1	1
214	перестал быть	1	1
215	из этих	2	1
216	объяснения для	1	1
217	и тот	1	1
218	зависимости от	4	1
219	только один	2	1
220	и если	1	1
221	что она	3	1
222	вследствие этого	1	1
223	то нужно	1	1
224	и еще	1	1
225	свою собственную	2	1
226	к одному	1	1
227	нам только	1	1
228	свое время	1	1
229	прошлого века	1	1
230	на этом	2	1
231	разрешения проблемы	1	1
232	в основу	1	1
233	в совершенно	1	1
234	значение в	2	1
235	те же	1	1
236	на этой	3	1
237	обоих случаях	1	1
238	этом смысле	1	1
239	роль в	2	1
240	что один	1	1
241	не соответствует	1	1
242	для них	1	1
243	позволяет ему	1	1
244	но уже	1	1
245	нет в	1	1
246	для чего	1	1
247	мы видели	4	1
248	в развитии	4	1
249	такой же	2	1
250	еще раз	1	1
251	но если	1	1
252	совершенно независимо	1	1
253	и их	1	1
254	это делает	1	1
255	уже к	1	1
256	пор в	1	1
257	его мнению	1	1
258	что вся	1	1
259	представление о	1	1
260	то его	1	1
261	в условиях	5	1
262	и той	1	1
263	лишено всякой	1	1
264	не будем	2	1
265	такую же	1	1
266	соответствует но	1	1
267	она не	1	1
268	мысли в	1	1
269	одна из	3	1
270	и снова	1	1
271	но только	1	1
272	не составляют	1	1
273	он с	1	1
274	все свои	1	1
275	же время	1	1
276	этих двух	2	1
277	к концу	1	1
278	одному и	1	1
279	ни о	1	1
280	следует не	1	1
281	не могут	2	1
282	сравнительно с	1	1
283	отличается от	3	1
284	остановиться на	1	1
285	что при	2	1
286	как мы	2	1
287	в свое	1	1
288	что все	2	1
289	свою очередь	2	1
290	может совершенно	1	1
291	данном случае	1	1
292	назвать в	1	1
293	так в	1	1
294	можно было	1	1
295	каждого из	2	1
296	здесь нет	1	1
297	поэтому в	1	1
298	два направления	1	1
299	и живой	1	1
300	настоящее время	2	1
301	одного из	1	1
302	и во	2	1
303	те или	1	1
304	пр но	1	1
305	во втором	1	1
306	все время	1	1
307	исходным пунктом	1	1
308	не случайно	1	1
309	один из	1	1
310	сомнению что	1	1
311	тот же	2	1
312	и действительно	1	1
313	он уже	1	1
314	по мнению	2	1
315	или же	2	1
316	которых в	1	1
317	в общий	1	1
318	не будет	1	1
319	что следовательно	1	1
320	конечно не	1	1
321	да еще	1	1
322	уже в	3	1
323	только на	1	1
324	а это	1	1
325	или так	1	1
326	себе в	1	1
327	ведь это	3	1
328	точка зрения	1	1
329	а в	4	1
330	мы можем	6	1
331	как его	1	1
332	но что	1	1
333	у него	2	1
334	принципиально не	2	1
335	в каждом	8	1
336	форму и	1	1
337	в очень	1	1
338	о каком	1	1
339	с общим	2	1
340	а на	2	1
341	к которому	1	1
342	бы эти	1	1
343	в живом	2	1
344	нужно сказать	1	1
345	то и	2	1
346	имеет только	1	1
347	на которых	1	1
348	в ту	1	1
349	не подлежит	3	1
350	на эту	1	1
351	в связи	1	1
352	по своим	1	1
353	что же	5	1
354	человек с	1	1
355	жизни в	1	1
356	xix в	1	1
357	ценность и	1	1
358	этом случае	1	1
359	известном смысле	1	1
360	заставляя его	1	1
361	силу и	1	1
362	но для	1	1
363	является ли	1	1
364	и для	1	1
365	которых он	1	1
366	уже на	1	1
367	и от	1	1
368	только таким	1	1
369	или в	1	1
370	а все	3	1
371	этой системы	1	1
372	в настоящее	2	1
373	в отдельных	1	1
374	для нас	3	1
375	и все	3	1
376	так называемых	3	1
377	и первое	1	1
378	случае и	1	1
379	все они	1	1
380	конечно нельзя	1	1
381	же в	1	1
382	в свою	2	1
383	могли быть	1	1
384	между ними	1	1
385	отношению к	1	1
386	со сцены	1	1
387	жизни и	4	1
388	в своих	1	1
389	можно назвать	2	1
390	в таком	2	1
391	все что	1	1
392	ничего общего	1	1
393	которая не	1	1
