N	3gram	Trubetskoy_1	Sotsiolo
1	только в этом	1	2
2	в том что	7	2
3	в конце концов	3	2
4	по отношению к	1	2
5	это и есть	1	1
6	в настоящее время	2	1
7	и должно было	1	1
8	в том и	2	1
9	а между тем	5	1
10	и в этом	1	1
11	не может не	3	1
12	только то что	1	1
13	это зависит от	1	1
14	по крайней мере	1	1
15	то же самое	1	1
16	сама по себе	2	1
17	друг от друга	2	1
18	в то же	10	1
19	что все это	1	1
20	на точке зрения	1	1
21	в связи с	1	1
22	а в том	1	1
23	то же время	10	1
24	в противном случае	1	1
25	в лучшем случае	3	1
26	во всяком случае	6	1
