N	2gram	Potebnia_M_3	VeschiIm
1	не есть	17	49
2	не может	6	33
3	не только	21	31
4	может быть	28	29
5	и не	15	28
6	и в	30	26
7	то что	18	24
8	и есть	3	23
9	значит что	1	22
10	это значит	1	22
11	и т	5	21
12	т д	3	20
13	а не	15	20
14	есть только	5	17
15	что я	5	16
16	и следовательно	3	15
17	в смысле	4	15
18	что она	3	14
19	только в	21	14
20	по себе	16	13
21	и что	10	13
22	того что	18	13
23	и то	8	12
24	есть не	7	12
25	все же	2	12
26	что это	4	12
27	было бы	9	12
28	и ее	1	12
29	но и	19	12
30	сказать что	5	12
31	а и	4	11
32	таким образом	14	11
33	с нею	2	11
34	вещь и	1	11
35	что же	2	11
36	то же	23	10
37	есть нечто	4	10
38	в ней	8	10
39	как бы	3	10
40	что такое	2	10
41	потому что	46	10
42	уже не	6	10
43	что мы	8	10
44	предполагает что	1	9
45	бы то	1	9
46	в самом	8	9
47	и с	2	9
48	в том	32	9
49	что не	8	9
50	еще и	1	9
51	прежде всего	3	9
52	есть явление	1	9
53	ни было	1	9
54	в себе	16	8
55	на то	2	8
56	и это	4	8
57	ничего не	1	8
58	что вещь	1	8
59	себя и	4	8
60	она есть	1	8
61	но это	6	8
62	говорить о	3	7
63	в этом	10	7
64	не будет	3	7
65	его в	3	7
66	с другими	5	7
67	том что	18	7
68	в то	10	7
69	что оно	11	7
70	указывает на	6	7
71	имя не	1	7
72	себя в	1	7
73	так как	13	7
74	если оно	1	7
75	от всего	3	7
76	есть и	1	7
77	со стороны	3	6
78	что они	2	6
79	и как	5	6
80	но в	1	6
81	одно и	5	6
82	всего прочего	1	6
83	точки зрения	2	6
84	но если	1	6
85	по крайней	5	6
86	с ним	6	6
87	ее не	1	6
88	она не	2	6
89	оно есть	3	6
90	отличается от	1	6
91	ясно что	1	6
92	должно быть	5	6
93	понимать себя	2	6
94	крайней мере	5	6
95	есть ни	4	6
96	так что	7	6
97	если мы	1	6
98	ни с	1	6
99	для него	9	6
100	но что	2	6
101	относится к	4	6
102	то не	2	6
103	когда мы	2	6
104	быть только	4	6
105	в результате	1	6
106	жизни и	2	6
107	что в	17	6
108	того же	1	5
109	это и	2	5
110	и до	2	5
111	в сущности	1	5
112	в чем	3	5
113	но не	7	5
114	чем же	1	5
115	должна быть	1	5
116	это не	1	5
117	с тем	7	5
118	не в	15	5
119	тем не	3	5
120	не менее	5	5
121	имени и	1	5
122	собственное имя	1	5
123	для себя	3	5
124	свою очередь	3	5
125	в ее	2	5
126	если бы	12	5
127	для этого	1	5
128	другими словами	1	5
129	еще не	5	5
130	звук и	3	5
131	или не	1	5
132	она имеет	1	5
133	что для	4	5
134	с этой	2	5
135	из себя	2	5
136	а в	12	5
137	в свою	3	5
138	явления и	1	4
139	собственном смысле	2	4
140	мы не	9	4
141	как я	1	4
142	то это	6	4
143	имя и	1	4
144	в их	2	4
145	во всех	1	4
146	нет и	1	4
147	независимо от	5	4
148	его на	1	4
149	с этим	6	4
150	в своем	5	4
151	с чем	1	4
152	и мы	2	4
153	как и	10	4
154	между собою	6	4
155	вещи в	1	4
156	с точки	1	4
157	и более	1	4
158	что есть	2	4
159	на себе	1	4
160	слово и	3	4
161	же время	5	4
162	есть или	1	4
163	должен быть	1	4
164	и о	2	4
165	то или	2	4
166	только то	1	4
167	о том	2	4
168	с другой	7	4
169	судить о	1	4
170	что и	13	4
171	то и	6	4
172	е не	1	4
173	из них	6	4
174	тем что	7	4
175	себя это	1	4
176	со всем	1	4
177	и даже	2	4
178	даже не	1	4
179	и потому	4	4
180	в данном	1	4
181	быть не	2	4
182	только а	1	4
183	не существует	3	4
184	значило бы	1	4
185	и все	3	4
