N	2gram	Propp_Isto_2	Retstnzi
1	не может	5	4
2	и в	15	3
3	в центре	1	2
4	один из	8	2
5	и можно	1	1
6	в особенности	2	1
7	и не	11	1
8	не только	18	1
9	ни один	2	1
10	связи с	8	1
11	бы на	1	1
12	но и	14	1
13	не менее	1	1
14	в системе	2	1
15	с другими	2	1
16	в ней	4	1
17	впадает в	1	1
18	в то	1	1
19	и на	4	1
20	права и	1	1
21	и социальной	2	1
22	мы видим	8	1
23	на русской	1	1
24	на нее	2	1
25	к тому	5	1
26	а не	5	1
27	может быть	17	1
28	при анализе	1	1
29	несмотря на	1	1
30	в его	6	1
31	он в	3	1
32	то же	10	1
33	из этих	3	1
34	можно назвать	1	1
35	исходя из	1	1
