N	3gram	Bakhtin_Pr_4	UchenyiS
1	не может быть	8	4
2	с другой стороны	3	3
3	то же время	5	3
4	в то же	5	3
5	а между тем	1	2
6	в художественном творчестве	1	2
7	в самом деле	4	2
8	в этом смысле	2	2
9	до сих пор	8	2
10	хотя бы и	1	2
11	в том что	2	2
12	в конце концов	1	2
13	но прежде всего	1	1
14	у пушкина но	1	1
15	и в конце	1	1
16	для изучения художественного	1	1
17	так или иначе	1	1
18	и в их	1	1
19	в большей или	2	1
20	или меньшей степени	2	1
21	по себе еще	2	1
22	все же не	1	1
23	но он уже	1	1
24	не только к	1	1
25	более или менее	3	1
26	проблем связанных с	1	1
27	имеем в виду	3	1
28	большей или меньшей	2	1
29	в точном смысле	1	1
30	в этом случае	1	1
31	в широком смысле	1	1
32	есть язык в	1	1
33	и в то	1	1
34	сам по себе	3	1
35	в той же	1	1
36	не входит в	1	1
37	никогда не может	1	1
38	является одним из	1	1
39	очень часто встречается	1	1
40	но это же	1	1
41	но конечно не	2	1
42	часто встречается у	1	1
43	можно сказать что	2	1
44	мы имеем в	3	1
45	язык в его	1	1
46	не может обойтись	1	1
47	до крайности до	1	1
48	в которых слово	1	1
49	конечно не в	2	1
50	друг с другом	5	1
51	в данном случае	1	1
52	только одним из	1	1
53	дело конечно не	1	1
54	но в то	2	1
55	не только в	1	1
56	относятся к области	1	1
57	с одной стороны	1	1
