N	2gram	Vygotskiy__5	VrazhdaK
1	не только	16	9
2	в этом	14	8
3	и в	30	8
4	и что	23	8
5	но и	6	7
6	и все	4	7
7	то что	37	7
8	что в	24	7
9	все же	7	6
10	но в	5	6
11	в нем	7	6
12	как и	6	6
13	в котором	2	6
14	и с	2	6
15	о нем	1	6
16	в начале	1	6
17	и даже	2	6
18	в романе	2	6
19	то же	7	5
20	об этом	3	5
21	в то	2	5
22	между тем	1	5
23	в письме	2	5
24	у него	3	5
25	не было	1	5
26	в россии	1	5
27	и не	6	5
28	х годов	1	4
29	в ней	4	4
30	что он	17	4
31	целый ряд	3	4
32	при этом	8	4
33	это не	3	4
34	несмотря на	5	4
35	все это	2	4
36	письме к	1	4
37	в виду	4	4
38	во многом	1	4
39	о том	10	4
40	для нас	3	4
41	уже в	6	4
42	может быть	11	4
43	он считал	1	4
44	как бы	19	4
45	в своих	5	4
46	так же	13	4
47	речь идет	1	3
48	одним из	1	3
49	он был	2	3
50	в чем	1	3
51	с его	2	3
52	в своем	6	3
53	и как	7	3
54	на то	17	3
55	он не	3	3
56	далеко не	1	3
57	и уже	3	3
58	том что	21	3
59	но он	3	3
60	что есть	2	3
61	в русской	1	3
62	и его	6	3
63	связи с	2	3
64	человека в	3	3
65	и о	3	3
66	что у	3	3
67	и во	1	3
68	русской литературе	1	3
69	в его	4	3
70	в том	27	3
71	давно уже	2	3
72	чтобы он	1	3
73	в конце	4	3
74	тем что	6	3
75	к этому	3	3
76	отношения к	2	2
77	же как	2	2
78	и то	9	2
79	на место	1	2
80	и он	2	2
81	столь же	1	2
82	роман достоевского	1	2
83	но как	1	2
84	ответ на	5	2
85	в эти	1	2
86	в известном	1	2
87	в той	3	2
88	его на	2	2
89	за границей	1	2
90	в этой	5	2
91	в себе	5	2
92	чувств и	4	2
93	время и	1	2
94	о которой	1	2
95	в нашей	2	2
96	их в	1	2
97	таким образом	20	2
98	в одну	1	2
99	в глазах	2	2
100	в них	4	2
101	рядом с	5	2
102	а с	5	2
103	мы знаем	2	2
104	не мог	1	2
105	на первый	2	2
106	в эту	1	2
107	во время	1	2
108	точки зрения	7	2
109	в своей	4	2
110	и ее	1	2
111	с точки	2	2
112	не менее	1	2
113	одна из	3	2
114	никогда не	9	2
115	к себе	1	2
116	его с	2	2
117	на это	1	2
118	и это	8	2
119	же не	2	2
120	так в	3	2
121	еще не	5	2
122	там же	1	2
123	тем более	1	2
124	по мнению	6	2
125	уже не	1	2
126	при помощи	1	2
127	из них	2	2
128	его и	1	2
129	для него	3	2
130	отношение к	1	2
131	как раз	13	2
132	и т.п	1	2
133	как же	1	2
134	с которым	3	2
135	о чем	4	2
136	не может	9	2
137	вместе с	12	2
138	в него	4	2
139	это письмо	1	2
140	но это	1	2
141	же в	2	2
142	очень хорошо	2	2
143	а в	4	2
144	в свою	3	2
145	это в	3	2
146	этого романа	1	1
147	от этой	2	1
148	ко всем	1	1
149	и борьбы	1	1
150	того же	2	1
151	шаг за	1	1
152	это и	2	1
153	идет о	1	1
154	и есть	5	1
155	ему не	1	1
156	что слово	1	1
157	ему что	1	1
158	случае о	1	1
159	по преимуществу	2	1
160	не принимая	1	1
161	едва ли	2	1
162	в их	3	1
163	по его	3	1
164	из всех	1	1
165	полагает что	3	1
166	и спросить	1	1
167	той же	3	1
168	с необычайным	1	1
169	развитие в	1	1
170	иметь никакого	1	1
171	он как	2	1
172	равно как	1	1
173	совпадает с	1	1
174	роман в	1	1
175	в полной	2	1
176	в составе	1	1
177	событий и	2	1
178	был еще	1	1
179	свой роман	1	1
180	разобраться в	1	1
181	объяснить то	1	1
182	собой в	2	1
183	одном из	1	1
184	на них	1	1
185	первый план	3	1
186	по своему	1	1
187	совершенно прав	7	1
188	совсем не	2	1
189	но не	7	1
190	о смерти	5	1
191	энергии и	3	1
192	не все	1	1
193	если в	1	1
194	и т.д	1	1
195	тут же	1	1
196	что они	5	1
197	к сожалению	1	1
198	как по	1	1
199	как говорит	4	1
200	как в	3	1
201	с этим	2	1
202	дает нам	1	1
203	как к	1	1
204	что ее	1	1
205	как нам	1	1
206	и наконец	3	1
207	не являются	1	1
208	героиня романа	1	1
209	себе не	2	1
210	и отчасти	1	1
211	то в	1	1
212	в самом	14	1
213	что это	8	1
214	в целом	5	1
215	что же	1	1
216	из разных	1	1
217	еще один	2	1
218	тому же	1	1
219	во многих	1	1
220	наподобие того	1	1
221	как он	2	1
222	да и	1	1
223	знали что	1	1
224	в первой	1	1
225	при виде	1	1
226	чем у	3	1
227	в силу	3	1
228	этот процесс	1	1
229	сказал что	1	1
230	что ни	3	1
231	которым не	1	1
232	однако в	1	1
233	одно и	3	1
234	совпадают с	2	1
235	говорить не	1	1
236	заключается в	8	1
237	было бы	5	1
238	в жизни	1	1
239	человек который	1	1
240	во внимание	5	1
241	которой он	1	1
242	года и	1	1
243	одного и	2	1
244	которую он	1	1
245	в этих	3	1
246	и их	1	1
247	человеком и	1	1
248	вторая часть	1	1
249	из пьесы	1	1
250	представление о	1	1
251	черты характера	1	1
252	доказывает что	1	1
253	по крайней	1	1
254	второй раз	1	1
255	есть еще	1	1
256	не могли	4	1
257	равно не	1	1
258	не самым	1	1
259	жизнь его	1	1
260	вплоть до	1	1
261	но они	1	1
262	что эта	4	1
263	от нас	2	1
264	не имеет	1	1
265	в процессе	1	1
266	героев и	1	1
267	только не	5	1
268	ничего не	2	1
269	того как	2	1
270	он хочет	1	1
271	потому что	23	1
272	этом отношении	3	1
273	в каком	3	1
274	этот закон	2	1
275	один раз	1	1
276	могут быть	8	1
277	во все	1	1
278	ли не	2	1
279	отличается от	2	1
280	сходство с	1	1
281	этого и	1	1
282	не есть	4	1
283	ничего общего	1	1
284	знаменитое письмо	1	1
285	с ее	1	1
286	свою очередь	1	1
287	это будет	2	1
288	в ее	3	1
289	только при	1	1
290	не могло	1	1
291	на той	1	1
292	но мы	2	1
293	то время	1	1
294	так и	3	1
295	не с	2	1
296	ясно что	6	1
297	нам уже	1	1
298	еще в	2	1
299	с героем	2	1
300	быть может	1	1
301	и вообще	1	1
302	может в	1	1
303	во всяком	1	1
304	ему нужно	1	1
305	его жизни	1	1
306	до сих	5	1
307	как эта	1	1
308	нас в	1	1
309	это была	1	1
310	к нему	1	1
311	и сильно	1	1
312	и несомненно	1	1
313	во всех	2	1
314	в форме	2	1
315	крайней мере	1	1
316	тотчас же	1	1
317	и можно	2	1
318	вслед за	1	1
319	романа в	1	1
320	гамлет и	1	1
321	тех пор	2	1
322	этом смысле	2	1
323	один из	5	1
324	что только	1	1
325	романа и	1	1
326	действие в	1	1
327	которым он	1	1
328	во всем	2	1
329	это же	2	1
330	в качестве	2	1
331	себя в	1	1
332	мы бы	1	1
333	целого ряда	1	1
334	в душе	2	1
335	что для	1	1
336	по первому	1	1
337	говорит о	4	1
338	никто не	1	1
339	мы находим	2	1
340	в одном	2	1
341	характера этого	1	1
342	знаем ответ	1	1
343	каждый из	1	1
344	как при	1	1
345	не просто	1	1
346	от того	4	1
347	из двух	3	1
348	тогда это	1	1
349	с другой	9	1
350	говорит я	1	1
351	именно в	6	1
352	что тот	2	1
353	все равно	2	1
354	к роману	1	1
355	письмо с	1	1
356	души и	1	1
357	прежде всего	4	1
358	что им	1	1
359	на этот	3	1
360	целым рядом	1	1
361	до конца	2	1
362	и самый	2	1
363	в рассказе	2	1
364	так это	1	1
365	для начала	1	1
366	с помощью	2	1
367	нет ничего	1	1
368	в частности	4	1
369	время с	1	1
370	герою с	1	1
371	или по	1	1
372	знаем о	1	1
373	из которых	4	1
374	предположить что	2	1
