N	3gram	Potebnia_M_4	Mirosoze
1	не может быть	5	8
2	друг к другу	1	5
3	для того чтобы	4	4
4	что и в	2	4
5	что иное как	2	3
6	до сих пор	4	3
7	к тому что	1	3
8	от того что	3	3
9	и в этом	4	3
10	есть не что	1	3
11	не что иное	2	3
12	к другу и	1	2
13	а не в	1	2
14	и той же	1	2
15	подобно тому как	2	2
16	может быть назван	3	2
17	может быть и	1	2
18	в такой степени	1	2
19	да и нет	1	2
20	и та же	1	2
21	одна и та	1	2
22	любви к ближнему	1	2
23	о том что	5	2
24	одной и той	1	2
25	по отношению к	8	2
26	как и в	1	2
27	что это не	1	2
28	после того как	2	2
29	не доходит до	1	2
30	в том что	7	2
31	лишь один из	1	1
32	а между тем	4	1
33	как теперь и	1	1
34	а следовательно и	1	1
35	она и есть	1	1
36	к ближнему и	1	1
37	он сам не	1	1
38	потому что в	3	1
39	и к нему	1	1
40	только тогда когда	4	1
41	а не из	1	1
42	с точки зрения	3	1
43	и во многих	1	1
44	во многих других	1	1
45	и в той	1	1
46	друг друга потому	1	1
47	сам по себе	4	1
48	я представляю себе	2	1
49	то я не	1	1
50	и быть может	1	1
51	но и в	1	1
52	на что не	1	1
53	между тем как	2	1
54	а может быть	1	1
55	в этом отношении	1	1
56	на то что	4	1
57	но и мир	1	1
58	человеческого духа и	1	1
59	можно видеть на	1	1
60	не было в	2	1
61	смысле этого слова	1	1
62	друг друга до	1	1
63	друга потому что	1	1
64	смотрели бы на	1	1
65	с которым это	1	1
66	то стало быть	1	1
67	и не могу	1	1
68	духа так как	1	1
69	один из моментов	1	1
70	в себе всю	1	1
71	так как нет	1	1
72	может быть названо	1	1
73	потому только что	1	1
74	но так как	1	1
75	сих пор не	1	1
76	такой степени как	1	1
77	нас в этом	1	1
78	на наших глазах	1	1
79	нет ничего кроме	1	1
80	если бы не	2	1
81	есть одна и	1	1
82	только в этом	1	1
83	на самом деле	3	1
84	то же что	1	1
85	не в ее	1	1
86	что он в	1	1
87	независимо от его	2	1
88	в мире для	1	1
