N	2gram	Losev_Vlad_2	RusskieA
1	и в	30	36
2	а а	3	25
3	новый год	1	25
4	не только	12	22
5	том что	12	19
6	что в	12	19
7	а н	14	18
8	в том	18	17
9	но и	8	16
10	и п	1	16
11	так как	5	15
12	во время	1	14
13	и м	1	14
14	и другие	1	13
15	в этом	20	12
16	и т	1	10
17	и на	4	10
18	в этот	1	10
19	это не	2	10
20	как и	5	10
21	как мы	11	10
22	вместе с	8	10
23	потому что	9	10
24	т д	1	9
25	об этом	6	9
26	а в	11	9
27	и по	2	8
28	с тем	2	8
29	у нас	6	8
30	о том	4	8
31	мы увидим	1	8
32	из них	1	8
33	может быть	7	8
34	как это	7	8
35	что они	1	7
36	так и	5	7
37	что и	3	7
38	и других	1	7
39	мы не	2	6
40	в виде	3	6
41	так например	1	6
42	таким образом	3	6
43	при этом	5	6
44	в день	1	6
45	не имеет	2	6
46	уже не	3	6
47	в них	3	6
48	и не	18	6
49	все это	5	6
50	для нас	7	6
51	будто бы	2	6
52	то что	20	6
53	как в	3	5
54	все же	9	5
55	во многих	2	5
56	при изучении	1	5
57	в которых	1	5
58	того как	2	5
59	как будто	2	5
60	там же	12	5
61	в течение	5	5
62	как бы	5	5
63	н а	1	5
64	этом случае	1	5
65	с в	4	4
66	г в	2	4
67	мы имеем	1	4
68	в первый	1	4
69	еще не	1	4
70	во всех	3	4
71	в эти	7	4
72	что по	1	4
73	после этого	1	4
74	в россии	3	4
75	с собой	1	4
76	в г	1	4
77	из этих	3	4
78	в их	2	4
79	п с	1	4
80	что этот	1	4
81	вплоть до	3	4
82	в русском	2	4
83	связи с	8	4
84	ф и	1	4
85	к тому	2	4
86	так в	1	4
87	еще в	2	4
88	и что	5	4
89	и их	1	4
90	тем что	1	4
91	и др	1	4
92	в тех	1	4
93	того что	5	4
94	по существу	3	4
95	но это	4	4
96	в связи	8	4
97	как уже	1	4
98	петра i	2	4
99	не может	9	4
100	только в	6	4
101	к этому	6	4
102	увидим ниже	2	3
103	представление о	1	3
104	своего рода	1	3
105	если в	1	3
106	в своем	8	3
107	что это	4	3
108	думать что	1	3
109	в основном	5	3
110	на этом	2	3
111	то же	4	3
112	но все	2	3
113	для них	1	3
114	он же	2	3
115	далеко не	1	3
116	несмотря на	4	3
117	в москве	6	3
118	в этих	4	3
119	точки зрения	7	3
120	с точки	3	3
121	тем не	6	3
122	но они	1	3
123	их в	2	3
124	не менее	7	3
125	ничего не	2	3
126	не с	1	3
127	начиная с	2	3
128	то есть	7	3
129	настоящее время	2	3
130	а также	10	3
131	также в	1	3
132	как например	1	3
133	всякого рода	6	3
134	христа и	1	3
135	по этому	1	3
136	в качестве	1	3
137	только на	1	3
138	в одном	1	3
139	к ним	1	3
140	в древнем	1	3
141	в области	3	3
142	и из	2	3
143	на этот	4	3
144	о чем	6	3
145	так же	4	3
146	пишет в	1	3
147	в это	4	3
148	не будем	1	3
149	в настоящее	2	3
150	в целях	1	3
151	и к	6	3
152	в свою	3	3
153	но эти	1	3
154	как известно	1	2
155	труд о	1	2
156	можно говорить	3	2
157	например в	1	2
158	но тем	2	2
159	между двумя	1	2
160	но она	1	2
161	что иное	1	2
162	это время	4	2
163	в ней	4	2
164	он был	6	2
165	иное как	1	2
166	природы и	1	2
167	но не	3	2
168	не просто	1	2
169	независимо от	1	2
170	что именно	1	2
171	с этим	5	2
172	хотя и	6	2
173	и как	3	2
174	его к	1	2
175	следующее в	1	2
176	но в	8	2
177	с г	1	2
178	та же	1	2
179	в целом	4	2
180	все эти	5	2
181	в нашем	1	2
182	и и	1	2
183	в дальнейшем	5	2
184	и до	2	2
185	выводу что	1	2
186	были связаны	1	2
187	как он	2	2
188	и всей	1	2
189	к выводу	1	2
190	что она	1	2
191	в нем	4	2
192	всех этих	3	2
193	чем у	1	2
194	его от	1	2
195	в году	24	2
196	сделать из	1	2
197	главным образом	1	2
198	и с	14	2
199	года на	1	2
200	в жизни	1	2
201	говорится о	2	2
202	такой же	1	2
203	далее в	1	2
204	том же	3	2
205	для этого	1	2
206	новым годом	2	2
207	как можно	1	2
208	она не	2	2
209	у него	19	2
210	судя по	1	2
211	в москву	4	2
212	но даже	1	2
213	а мы	2	2
214	и здесь	1	2
215	и другим	1	2
216	ничего общего	1	2
217	свою очередь	2	2
218	в в	1	2
219	в более	2	2
220	с ним	5	2
221	на все	2	2
222	в память	1	2
223	после того	2	2
224	этому поводу	1	2
225	в его	11	2
226	к ней	3	2
227	значит что	1	2
228	на другие	2	2
229	этот вопрос	1	2
230	в какой	1	2
231	но ни	1	2
232	так что	5	2
233	в последний	3	2
234	его и	2	2
235	и никаких	1	2
236	весны и	1	2
237	в прошлом	1	2
238	но что	5	2
239	тут же	2	2
240	на пасху	1	2
241	не было	10	2
242	н г	1	2
243	не были	1	2
244	чем в	1	2
245	же а	1	2
246	которые можно	1	2
247	с ней	2	2
248	до конца	7	2
249	не на	2	2
250	а не	7	2
251	его как	1	2
252	и многие	1	2
253	в частности	2	2
254	нет надобности	1	2
255	и потому	2	2
256	судить по	4	2
257	многих случаях	1	2
258	довольно много	1	2
259	быть и	1	2
260	между прочим	7	2
261	и для	3	2
262	тем и	1	2
263	когда он	1	2
264	и н	1	2
265	мы должны	4	2
266	года в	6	2
267	чем можно	1	2
268	и начало	1	2
269	этого времени	3	2
270	обычно не	1	2
271	не что	1	2
272	в своих	2	2
273	говоря о	3	1
274	также и	6	1
275	и стараются	1	1
276	мы здесь	1	1
277	а из	1	1
278	самом деле	1	1
279	с православным	1	1
280	тех же	1	1
281	второго тома	1	1
282	по преимуществу	1	1
283	что эти	2	1
284	и ее	1	1
285	собственном смысле	1	1
286	с таким	1	1
287	и за	1	1
288	по его	1	1
289	приходит к	2	1
290	поэзии и	1	1
291	мы уже	2	1
292	это объяснение	1	1
293	в несколько	1	1
294	народного просвещения	1	1
295	этого нет	1	1
296	что если	2	1
297	из своих	1	1
298	этом не	1	1
299	говорить о	1	1
300	не вполне	2	1
301	и сроки	1	1
302	софии и	3	1
303	ему в	2	1
304	которое в	2	1
305	того же	5	1
