N	2gram	Savitsky_E_1	Problemy
1	и в	37	43
2	и не	14	29
3	т е	9	26
4	может быть	6	23
5	как бы	6	22
6	не может	9	18
7	в пределах	25	16
8	как и	7	14
9	но и	14	14
10	и т	1	13
11	в этом	12	13
12	точки зрения	23	13
13	в нем	1	12
14	в одном	2	12
15	слова и	1	12
16	не только	18	11
17	не в	5	11
18	по себе	4	11
19	и на	6	10
20	но в	14	10
21	как мы	5	10
22	в его	2	10
23	прежде всего	9	10
24	он не	2	9
25	пределах одного	1	9
26	никогда не	3	9
27	в большинстве	2	9
28	то же	15	8
29	лишь в	1	8
30	для него	1	8
31	с точки	17	8
32	и его	1	8
33	большинстве случаев	3	8
34	или в	2	8
35	ведь и	2	7
36	в самом	4	7
37	в то	16	7
38	и сам	1	7
39	а не	2	7
40	что же	2	7
41	то что	6	7
42	и наконец	2	6
43	при этом	1	6
44	не как	1	6
45	в этих	2	6
46	на свой	1	6
47	в том	11	6
48	в котором	2	6
49	и все	2	6
50	нам кажется	7	5
51	но не	5	5
52	по отношению	1	5
53	хотя и	2	5
54	в себе	9	5
55	все эти	1	5
56	на то	6	5
57	таким образом	2	5
58	и с	2	5
59	было бы	8	5
60	рядом с	1	5
61	о том	3	5
62	и что	2	5
63	же время	14	5
64	к нему	2	5
65	мы увидим	1	5
66	вовсе не	6	5
67	в той	5	5
68	бы в	2	5
69	а в	2	5
70	и до	1	4
71	мы не	4	4
72	с его	1	4
73	во всех	6	4
74	отличие от	1	4
75	там где	3	4
76	в своем	14	4
77	т д	1	4
78	в них	3	4
79	далеко не	2	4
80	должно быть	1	4
81	в своей	8	4
82	в отличие	1	4
83	том же	1	4
84	как его	1	4
85	в самой	1	4
86	с другом	3	4
87	в направлении	4	4
88	к тому	8	4
89	и это	1	4
90	с собой	1	4
91	этот вопрос	2	4
92	только в	9	4
93	так как	7	4
94	с другой	7	4
95	на этот	2	4
96	более того	1	4
97	не на	4	4
98	то есть	6	4
99	не могут	2	4
100	друг с	3	4
101	но это	1	4
102	в результате	3	4
103	между ними	2	4
104	что в	21	4
105	себя как	1	3
106	также и	7	3
107	должна быть	2	3
108	той же	1	3
109	что если	2	3
110	и со	3	3
111	он сам	2	3
112	мы будем	1	3
113	за пределы	1	3
114	в одной	1	3
115	стороны и	6	3
116	кроме того	1	3
117	когда он	3	3
118	и к	3	3
119	более или	1	3
120	тому же	1	3
121	в жизни	1	3
122	кажется что	2	3
123	такой же	2	3
124	или менее	1	3
125	и их	1	3
126	в их	11	3
127	даже в	4	3
128	в отношении	32	3
129	она не	2	3
130	во всем	1	3
131	могут быть	2	3
132	той или	4	3
133	не менее	1	3
134	можно было	3	3
135	так и	10	3
136	если бы	2	3
137	и даже	6	3
138	с ним	1	3
139	между тем	8	3
140	что и	3	3
141	и только	3	3
142	и следовательно	1	3
143	в формах	1	3
144	тот же	1	3
