N	3gram	Losev_Dial_2	PoTuStor
1	с точки зрения	8	6
2	на самом деле	1	4
3	с самого начала	2	4
4	в этом смысле	1	3
5	до сих пор	2	3
6	по крайней мере	9	3
7	по сравнению с	1	3
8	во всяком случае	2	3
9	не может быть	3	3
10	и пр и	1	3
11	можно сказать что	3	3
12	и может быть	3	2
13	так же как	1	2
14	в самом деле	3	2
15	не могут быть	2	2
16	о том что	4	2
17	мы можем сказать	1	2
18	и в этом	1	2
19	социального и исторического	1	2
20	нечего и говорить	1	2
21	не нуждается в	3	2
22	все что угодно	1	1
23	одних и тех	1	1
24	уже знаем что	1	1
25	на этом моменте	1	1
26	зависит от того	1	1
27	в нем и	2	1
28	подобно тому как	1	1
29	но даже и	1	1
30	то же самое	2	1
31	же как и	1	1
32	с теми которые	1	1
33	он не был	1	1
34	реальности и в	1	1
35	бы то ни	1	1
36	и та же	4	1
37	в этом отношении	1	1
38	а в конце	1	1
39	как это было	2	1
40	и говорить о	2	1
41	со всех сторон	1	1
42	может быть только	2	1
43	вместе с тем	1	1
44	и тех же	1	1
45	эти понятия и	1	1
46	со всеми его	1	1
47	мы только и	1	1
48	в данном случае	2	1
49	что есть в	1	1
50	на своем месте	1	1
51	с одной стороны	1	1
52	и с ними	1	1
53	в связи с	4	1
54	и может совершенно	1	1
55	то что можно	1	1
56	а это уже	1	1
57	и вообще всего	1	1
58	в свое время	1	1
59	в том что	6	1
60	и к ним	1	1
61	и пр в	1	1
62	говорить о том	1	1
63	это и есть	1	1
64	связи с этим	1	1
65	одна и та	4	1
66	всем мире и	1	1
67	и прежде всего	2	1
68	что иное как	3	1
69	есть прежде всего	1	1
70	в том смысле	4	1
71	не что иное	3	1
72	но мы уже	1	1
73	друг с другом	1	1
74	на всю жизнь	1	1
75	нам в голову	1	1
76	мы уже знаем	3	1
77	на первый взгляд	1	1
78	можем сказать что	1	1
79	и можно сказать	2	1
80	может быть даже	1	1
81	обратим внимание на	1	1
82	той или иной	1	1
