N	3gram	Propp_Russ_1	Myslijsy
1	по отношению к	1	8
2	в том что	15	7
3	о том что	4	5
4	в этом случае	5	5
5	только тогда когда	1	4
6	и в этом	1	4
7	можно сказать что	1	4
8	и т п	1	4
9	с тем что	1	4
10	тем не менее	3	4
11	на то что	1	4
12	мы не можем	3	3
13	и т д	9	3
14	на самом деле	1	3
15	может быть назван	1	3
16	вместе с тем	6	3
17	с точки зрения	3	3
18	во всяком случае	1	3
19	подобно тому как	1	2
20	там же с	1	2
21	в таком случае	1	2
22	можно думать что	1	2
23	в большинстве случаев	2	2
24	вопрос о том	1	2
25	и в том	1	2
26	но тем не	2	2
27	что и в	1	2
28	и как бы	1	2
29	не что иное	2	2
30	только потому что	1	2
31	в этих случаях	1	2
32	что иное как	2	2
33	после того как	2	2
34	мы можем судить	1	2
35	на этот вопрос	1	2
36	это не значит	2	2
37	в данном случае	1	2
38	с тем и	2	2
39	в них в	1	1
40	можно говорить о	1	1
41	тогда как в	1	1
42	в одном из	1	1
43	такое же значение	1	1
44	этого слова с	1	1
45	во второй половине	1	1
46	здесь мы имеем	1	1
47	в это время	2	1
48	а следовательно и	1	1
49	а нечто совсем	1	1
50	может быть и	2	1
51	до недавнего времени	1	1
52	что в первый	1	1
53	мы должны признать	1	1
54	у нас в	1	1
55	к тому что	4	1
56	же значение как	1	1
57	как и в	1	1
58	только о том	1	1
59	можно сделать из	2	1
60	и того же	1	1
61	нечто совсем другое	1	1
62	ничего общего с	1	1
63	сказать что в	1	1
64	и многие другие	2	1
65	и не только	1	1
66	этом мы можем	1	1
67	этот вопрос можно	1	1
68	такой взгляд на	1	1
69	встречаются и в	1	1
70	не более как	1	1
71	что их не	1	1
72	все что я	1	1
73	том основании что	1	1
74	вероятно что в	1	1
75	в настоящее время	3	1
76	выводы можно сделать	2	1
77	на том основании	1	1
78	потому что всякое	1	1
79	друг к другу	2	1
80	одного и того	1	1
81	так и из	1	1
82	в этом отношении	1	1
83	можем судить по	1	1
84	можно сослаться на	1	1
85	к другому и	1	1
86	в связи с	4	1
87	и та же	1	1
88	не может считаться	1	1
89	это показывает что	2	1
90	существует независимо от	1	1
91	иметь в виду	1	1
92	в виду что	1	1
93	что от них	1	1
94	одна и та	1	1
95	можем предположить что	1	1
96	это не что	1	1
97	в одно целое	1	1
98	точно так же	1	1
99	легко заметить что	1	1
100	быть не может	1	1
101	в древнерусском языке	1	1
102	по меньшей мере	1	1
103	кроме того в	1	1
104	в свою очередь	2	1
105	мы можем предположить	1	1
106	хотя и не	1	1
107	того же явления	1	1
108	примыкает к нему	1	1
109	в то время	1	1
