N	2gram	Losev_Dial_3	KulturaY
1	и т	24	54
2	т е	48	32
3	точки зрения	25	23
4	и в	24	23
5	в том	5	22
6	не только	23	17
7	с точки	14	16
8	в этом	8	16
9	было бы	5	16
10	самом деле	6	14
11	может быть	13	14
12	что в	7	13
13	в самом	7	13
14	не менее	11	12
15	потому что	7	12
16	для того	3	12
17	вопрос о	5	11
18	того что	12	11
19	в его	2	11
20	а не	26	11
21	том что	8	11
22	и не	27	10
23	у нас	4	10
24	еще не	2	9
25	прежде всего	8	9
26	таким образом	13	9
27	хотя бы	4	9
28	тем не	10	9
29	так как	6	9
30	т д	23	8
31	как на	5	8
32	зависимости от	3	8
33	сих пор	1	8
34	до сих	1	8
35	уже не	5	8
36	в виду	7	8
37	если бы	6	8
38	все эти	3	7
39	как это	5	7
40	того как	1	7
41	слова и	1	7
42	сказать что	4	7
43	должно быть	3	7
44	в зависимости	2	7
45	и что	15	7
46	с другой	4	7
47	если мы	1	7
48	или иной	4	7
49	в данном	2	7
50	не может	19	6
51	при этом	2	6
52	так и	5	6
53	связи с	1	6
54	по себе	20	6
55	в их	2	6
56	в силу	3	6
57	говорить о	4	6
58	в общем	1	6
59	то же	6	6
60	тот же	1	6
61	только в	5	6
62	ничего не	17	6
63	для этого	2	6
64	и тем	2	6
65	могут быть	2	6
66	что и	6	6
67	о том	6	6
68	что он	13	6
69	не значит	3	5
70	все же	3	5
71	в связи	1	5
72	вовсе не	13	5
73	и есть	16	5
74	не в	3	5
75	от того	4	5
76	а в	2	5
77	независимо от	1	5
78	что же	11	5
79	той или	2	5
80	совершенно не	2	5
81	хотя и	5	5
82	не могут	4	5
83	как и	7	5
84	во внимание	2	5
85	как мы	2	5
86	из этих	2	5
87	в чем	4	5
88	тем что	3	5
89	в первом	2	5
90	всякого рода	1	5
91	далеко не	1	5
92	также и	2	5
93	тем более	3	5
94	я не	6	5
95	о слове	1	5
96	при чем	1	5
97	что она	9	5
98	как бы	3	5
99	но это	5	5
100	для нас	2	4
101	данном случае	1	4
102	только как	5	4
103	мы говорим	2	4
104	только тогда	3	4
105	учения о	2	4
106	не было	3	4
107	что не	5	4
108	же мы	2	4
109	что такое	21	4
110	тем самым	3	4
111	в сущности	10	4
112	как раз	7	4
113	целый ряд	2	4
114	были бы	1	4
115	в ее	1	4
116	в таком	14	4
117	тогда когда	5	4
118	и о	3	4
119	ясно что	7	4
120	в слове	3	4
121	одной стороны	3	4
122	с одной	3	4
123	тому что	4	4
124	однако что	2	4
125	то что	14	4
126	точка зрения	5	4
127	тех пор	2	4
128	в своем	3	4
129	то мы	1	3
130	стать на	1	3
131	когда мы	2	3
132	и с	6	3
133	и вот	2	3
134	слово есть	1	3
135	что как	1	3
136	должна быть	6	3
137	то он	1	3
138	что это	12	3
139	я и	2	3
140	вообще и	1	3
141	мы не	5	3
142	не так	1	3
143	только то	1	3
144	бы и	1	3
145	то в	2	3
146	мы находим	1	3
147	но не	2	3
148	и только	6	3
149	есть не	9	3
150	а именно	2	3
151	с этой	5	3
152	но если	6	3
153	на самом	1	3
154	но как	2	3
155	это не	4	3
156	но и	9	3
157	я хочу	1	3
158	на вопрос	1	3
159	и к	5	3
160	на него	1	3
161	не имеет	11	3
162	они не	2	3
163	это и	7	3
164	отнюдь не	10	3
165	будет уже	1	3
166	что на	1	3
167	в то	5	3
168	в отношении	1	3
169	говорить и	2	3
170	она не	3	3
171	но на	2	3
172	тому же	2	3
173	говорить что	4	3
174	ни в	9	3
175	той же	3	3
176	то это	9	3
177	вопроса о	1	3
178	сам по	5	3
179	другой стороны	2	3
180	по преимуществу	1	3
181	что именно	3	3
182	именно в	2	3
183	значит не	1	3
184	того или	3	3
185	к тому	4	3
186	в процессе	1	3
187	в результате	1	3
188	он не	5	3
189	как о	4	3
190	нас в	2	3
191	по существу	2	3
192	в каком	3	3
193	или иного	2	3
194	всего этого	2	3
195	в ней	2	3
196	и пр	6	3
197	был бы	1	3
198	слово в	2	3
199	как же	5	3
200	решительно ничего	1	3
201	этот вопрос	1	3
202	не есть	54	3
203	речь идет	1	3
204	и более	1	3
205	но для	2	3
206	если и	1	2
207	точек зрения	1	2
208	просто и	1	2
209	ни одного	1	2
210	с целью	1	2
211	должен решаться	1	2
212	и здесь	2	2
213	очень много	1	2
214	не знает	3	2
215	во всяком	2	2
216	такой же	1	2
217	можно сказать	1	2
218	пока мы	1	2
219	и вопрос	1	2
220	как таковой	2	2
221	как например	2	2
222	вопросе о	2	2
223	так же	4	2
224	отличается от	8	2
225	эти два	1	2
226	в область	1	2
227	здесь не	1	2
228	учение о	8	2
229	а то	1	2
230	кроме того	6	2
231	вопрос об	3	2
232	и говорить	2	2
233	это так	1	2
234	только о	3	2
235	говоря уже	2	2
236	это конечно	1	2
237	совершенно ясно	1	2
238	если это	1	2
239	в условиях	2	2
240	не более	1	2
241	дело не	1	2
242	в некоторых	1	2
243	и без	3	2
244	а что	4	2
245	так в	2	2
246	и как	8	2
247	в одном	1	2
248	а потому	1	2
249	его в	1	2
250	и я	3	2
251	но все	1	2
252	только слово	1	2
253	из всего	1	2
254	вместе с	1	2
255	в корне	1	2
256	она есть	10	2
257	быть не	2	2
258	для каждой	1	2
259	если же	8	2
260	только что	4	2
261	и чтобы	2	2
262	не с	1	2
263	то не	1	2
264	в этих	1	2
265	за пределы	3	2
266	сама по	4	2
267	что есть	4	2
268	мог бы	1	2
269	он будет	3	2
270	и при	1	2
271	нас к	2	2
272	то и	3	2
273	в качестве	1	2
274	что если	2	2
275	е в	4	2
276	не говоря	2	2
277	есть слово	3	2
278	не то	1	2
279	так то	1	2
280	тот или	2	2
281	о чем	1	2
282	или менее	1	2
283	не о	2	2
284	мы имеем	1	2
285	что все	14	2
286	по своему	1	2
287	что эти	1	2
288	в особенности	7	2
289	на точку	1	2
290	слово это	1	2
291	внимание на	1	2
292	в котором	1	2
293	точку зрения	1	2
294	на этом	2	2
295	к другому	1	2
296	есть конечно	2	2
297	чтобы не	1	2
298	и если	2	2
299	как к	1	2
300	не просто	18	2
301	из того	2	2
302	не как	1	2
303	но в	2	2
304	еще и	2	2
305	уже о	2	2
306	в частности	2	2
307	более или	1	2
308	все это	6	2
309	чем в	1	2
310	чем же	1	2
311	есть также	2	2
312	раз и	3	2
313	как об	1	2
314	на себя	3	2
315	как я	2	2
316	никак не	2	2
317	конечно не	4	2
318	тому как	4	2
319	указать на	1	2
320	ответить на	1	2
321	такая же	1	2
322	и нужно	2	2
323	ни на	3	2
324	что мы	8	2
325	есть вещь	1	2
326	же это	1	2
327	таком случае	10	2
328	и значит	3	2
329	что каждый	1	1
330	его от	1	1
331	ступени его	1	1
332	каждый из	1	1
333	это очевидно	1	1
334	а живое	1	1
335	когда есть	1	1
336	в себе	2	1
337	в словах	1	1
338	или иных	1	1
339	есть вообще	1	1
340	в возможности	4	1
341	но она	3	1
342	диалектики и	2	1
343	можно и	3	1
344	может ли	3	1
345	то я	1	1
346	от теории	1	1
347	это что-нибудь	1	1
348	же время	3	1
349	от всякого	5	1
350	вся история	1	1
351	природа и	1	1
352	в такой	1	1
353	тогда как	1	1
354	что необходимо	1	1
355	это во	1	1
356	должны быть	3	1
357	о природе	1	1
358	раз из	1	1
359	ее от	2	1
360	мы и	4	1
361	в которой	1	1
362	ими не	1	1
363	знания и	1	1
364	сотни и	1	1
365	но он	1	1
366	и хочу	1	1
367	бы к	1	1
368	когда они	1	1
369	но что	7	1
370	и понимания	2	1
371	научной мысли	1	1
372	о котором	1	1
373	на наших	1	1
374	только не	10	1
375	мир и	3	1
376	бы то	2	1
377	одной из	1	1
378	не говорит	3	1
379	то время	4	1
380	не будет	3	1
381	как именно	2	1
382	и для	2	1
383	никто не	2	1
384	отца и	2	1
385	показывает что	2	1
386	не те	1	1
387	это есть	8	1
388	с нашим	1	1
389	не к	1	1
390	время как	4	1
391	которая в	1	1
392	из сферы	1	1
393	в общий	1	1
394	есть одна	1	1
395	и ничего	4	1
396	и ее	3	1
397	лишь как	2	1
398	за ними	1	1
399	но так	1	1
400	ровно ничего	3	1
401	а разве	1	1
402	крайней мере	5	1
403	думать что	2	1
404	я сам	1	1
405	в каких	1	1
406	говоря об	1	1
407	мы приходим	1	1
408	во что	4	1
409	это вовсе	1	1
410	друг другу	1	1
411	если о	1	1
412	если стать	1	1
413	я сказал	1	1
414	возможна только	1	1
415	так чтобы	2	1
416	коем случае	3	1
417	одновременно и	1	1
418	сюда же	1	1
419	последнее по	1	1
420	как видим	2	1
421	в виде	8	1
422	указание на	1	1
423	нет никаких	2	1
424	следовательно что	1	1
425	я здесь	1	1
426	к нему	3	1
427	всех этих	1	1
428	и самой	2	1
429	откуда же	1	1
430	у читателя	1	1
431	до каких	1	1
432	смысле что	1	1
433	конечно и	1	1
434	и так	1	1
435	можно лишь	1	1
436	даже в	1	1
437	нами не	1	1
438	что учение	2	1
439	тех кто	1	1
440	каком смысле	3	1
441	этой точки	2	1
442	на место	1	1
443	но с	1	1
444	в научной	1	1
445	его развития	1	1
446	предмет его	1	1
447	же как	2	1
448	можно только	4	1
449	самого же	1	1
450	быть предметом	1	1
451	в смысле	2	1
452	знание без	1	1
453	этим я	2	1
454	какая же	1	1
455	и живым	1	1
456	эти факты	3	1
457	а только	1	1
458	на ней	1	1
459	тем или	1	1
460	вот почему	1	1
461	то ни	1	1
462	мы сразу	1	1
463	и часто	1	1
464	себе ничего	1	1
465	между ними	1	1
466	казалось бы	1	1
467	если он	1	1
468	как таковую	3	1
469	и становится	1	1
470	если не	3	1
471	ко всякому	1	1
472	примеров где	2	1
473	значении в	1	1
474	и обратно	1	1
475	скажет что	1	1
476	есть действительно	2	1
477	по своей	1	1
478	не мог	1	1
479	и поэзией	1	1
480	здесь принадлежит	1	1
481	и формы	2	1
482	этого не	2	1
483	да мы	1	1
484	д и	6	1
485	ибо если	2	1
486	что ничего	1	1
487	фактов и	2	1
488	но только	4	1
489	как не	2	1
490	формулы и	1	1
491	превращается в	6	1
492	например в	2	1
493	они являются	1	1
494	для него	4	1
495	в него	1	1
496	но вот	2	1
497	отношения к	1	1
498	в чисто	2	1
499	следовательно и	2	1
500	они уже	1	1
501	связанное с	1	1
502	пусть даже	1	1
503	состоит из	1	1
504	но тогда	11	1
505	постольку поскольку	1	1
506	на изучение	1	1
507	нет и	4	1
508	есть подлинная	3	1
509	конечно нет	1	1
510	а ведь	1	1
511	своим собственным	2	1
512	никогда не	7	1
513	отношении не	1	1
514	что для	5	1
515	то тем	2	1
516	вообще этим	1	1
517	это будет	4	1
518	во всем	3	1
519	этом я	1	1
520	из которых	3	1
521	его имени	1	1
522	одному тому	2	1
523	и той	1	1
524	не выходит	1	1
525	значит уже	1	1
526	и прежде	3	1
527	он дает	2	1
528	вообще есть	1	1
529	уже по	2	1
530	она должна	2	1
531	полного и	1	1
532	идет о	1	1
533	говорит это	1	1
534	чаще всего	2	1
535	как некую	1	1
536	уже есть	1	1
537	того кто	3	1
538	в самой	1	1
539	а так	1	1
540	утверждать что	6	1
541	все время	3	1
542	и его	5	1
543	от него	1	1
544	в сфере	1	1
545	это потому	1	1
546	нет никакой	4	1
547	понять что	1	1
548	не имеют	2	1
549	конечном счете	1	1
550	говоря о	1	1
551	социальной среды	1	1
552	об этих	1	1
553	о фактах	1	1
554	очевидно и	1	1
555	всякого другого	5	1
556	именно как	3	1
557	данной эпохи	1	1
558	для нее	1	1
559	и от	3	1
560	по одному	2	1
561	с этим	3	1
562	зрения чисто	1	1
563	к этой	2	1
564	ни о	3	1
565	но тут	1	1
566	должно дать	1	1
567	оказывается что	1	1
568	сознание и	3	1
569	не зависит	1	1
570	в одной	3	1
571	лучше всего	1	1
572	в каком-то	1	1
573	чем именно	1	1
574	мы получим	1	1
575	и потому	2	1
576	еще одним	1	1
577	последнее время	1	1
578	не надо	3	1
579	всяком случае	2	1
580	со своей	1	1
581	это же	3	1
582	этого понятия	1	1
583	таких примеров	1	1
584	целом и	1	1
585	но лишь	1	1
586	именно эта	1	1
587	творчества и	1	1
588	зависимость от	1	1
589	заметить что	1	1
590	есть очевидно	1	1
591	вещь без	1	1
592	в основе	3	1
593	для другого	1	1
594	не буду	5	1
595	ту же	1	1
596	чего же	1	1
597	со стороны	2	1
598	же и	2	1
599	без всякого	1	1
600	если только	4	1
601	ни один	2	1
602	думаю что	1	1
603	ничего нельзя	2	1
604	который не	2	1
605	из самых	3	1
606	во время	1	1
607	что поскольку	1	1
608	есть часть	1	1
609	в конечном	1	1
610	слово пусть	1	1
611	для всякой	1	1
612	не всегда	1	1
613	этом его	1	1
614	по крайней	5	1
615	с таким	1	1
616	тех или	2	1
617	же такое	2	1
618	строить его	1	1
