N	2gram	Medvedev_V_1	Vladivir
1	и в	2	40
2	и не	1	25
3	в том	2	18
4	том что	2	18
5	в этом	1	16
6	только в	1	13
7	в конце	2	12
8	потому что	1	11
9	и его	1	10
10	и то	1	9
11	а только	1	7
12	же с	1	7
13	так как	1	7
14	хотя бы	1	6
15	да и	1	6
16	но это	1	6
17	конце концов	2	5
18	дело в	1	5
19	то же	1	4
20	по существу	1	4
21	в самом	1	4
22	сводится к	1	3
23	и только	1	3
24	все то	1	3
25	вещь и	1	3
26	даже не	1	3
27	именно в	1	3
28	далеко не	1	3
29	я не	1	3
30	одно и	1	2
31	в другом	1	2
32	стоит на	1	2
33	в теории	1	2
34	в книге	3	2
35	в их	1	2
36	к этому	1	2
37	ни к	1	2
38	без учета	1	1
39	гораздо более	1	1
40	не хотел	1	1
41	сказать чтобы	1	1
42	так в	1	1
43	к чему	1	1
44	что слово	1	1
45	и сводится	1	1
46	стоило бы	1	1
47	слово по	1	1
48	связанным с	1	1
49	заключается что	1	1
50	не стоило	1	1
51	ясно что	1	1
52	по поводу	1	1
53	том же	1	1
54	и самым	1	1
55	все дело	1	1
56	от других	1	1
57	все это	1	1
58	по своим	1	1
59	в частности	1	1
60	их как	1	1
61	для них	1	1
62	самом деле	1	1
63	то чего	1	1
64	в которых	1	1
65	не будем	1	1
66	и заключается	1	1
