N	3gram	Bakhtin_Fr_4	PoTuStor
1	с точки зрения	2	6
2	на самом деле	1	4
3	с самого начала	3	4
4	в чем не	1	3
5	до сих пор	1	3
6	не может быть	1	3
7	ни в чем	1	3
8	можно сказать что	1	3
9	в большинстве случаев	5	3
10	в нем нет	1	2
11	о том что	2	2
12	мы можем сказать	1	2
13	в конечном счете	1	2
14	и с его	2	2
15	если бы он	1	1
16	и того же	1	1
17	уже знаем что	1	1
18	дело в том	1	1
19	подобно тому как	3	1
20	но даже и	1	1
21	и др но	1	1
22	одного и того	1	1
23	то же самое	1	1
24	на первый план	1	1
25	как мы сказали	1	1
26	в этом отношении	1	1
27	со всех сторон	1	1
28	нужно отметить что	3	1
29	касается не только	1	1
30	в данном случае	1	1
31	в самых широких	1	1
32	и т.п и	1	1
33	с одной стороны	2	1
34	в связи с	1	1
35	а с другой	1	1
36	но вернемся к	2	1
37	в том что	1	1
38	в разных местах	2	1
39	самых широких кругах	1	1
40	говорить о том	1	1
41	так и в	1	1
42	это и есть	3	1
43	прежде всего к	1	1
44	это касается не	1	1
45	таким образом и	3	1
46	но мы уже	1	1
47	мы уже знаем	1	1
48	для того чтобы	3	1
49	на первый взгляд	1	1
50	можем сказать что	1	1
51	как мы знаем	1	1
