N	2gram	Berdyaev_N_1	PoTuStor
1	может быть	7	17
2	и в	16	16
3	и пр	3	12
4	в этом	7	9
5	и только	1	9
6	прежде всего	4	9
7	и с	2	8
8	и его	1	8
9	не может	16	8
10	с его	6	7
11	не только	5	7
12	сказать что	3	7
13	конечно не	3	6
14	и это	2	6
15	и к	5	6
16	еще не	3	5
17	в чем	1	5
18	все эти	2	5
19	что такое	3	5
20	только для	1	5
21	ни в	6	5
22	нуждается в	1	5
23	и на	2	4
24	но в	2	4
25	в этой	1	4
26	в нем	5	4
27	мысли и	2	4
28	все это	5	4
29	с ее	5	4
30	так и	2	4
31	можно сказать	1	4
32	в его	1	4
33	только в	1	4
34	для всех	1	4
35	и их	1	4
36	так как	1	4
37	и даже	2	4
38	но и	3	4
39	и не	11	4
40	и все	4	4
41	хотя бы	2	4
42	все что	1	4
43	во всех	3	3
44	и есть	10	3
45	с их	2	3
46	их в	1	3
47	этом смысле	2	3
48	том что	2	3
49	во время	1	3
50	сих пор	1	3
51	в основе	3	3
52	до сих	1	3
53	и оно	1	3
54	к себе	1	3
55	мира и	2	3
56	с другими	1	3
57	и она	1	3
58	в том	8	3
59	в большинстве	1	3
60	большинстве случаев	1	3
61	всяком случае	1	3
62	в области	1	3
63	для сознания	1	3
64	но оно	1	3
65	вместе с	2	3
66	и потому	4	3
67	как это	2	3
68	могут быть	2	3
69	вся культура	1	3
70	что в	9	3
71	в этих	1	3
72	а в	2	3
73	то что	4	3
74	жизни и	8	3
75	во всяком	1	3
76	нем нет	2	2
77	же как	2	2
78	в самом	1	2
79	и этот	1	2
80	мы уже	1	2
81	мы не	2	2
82	метода и	1	2
83	говорить о	1	2
84	того же	1	2
85	на них	1	2
86	из этих	1	2
87	совсем не	12	2
88	нет и	2	2
89	за пределы	3	2
90	с этим	2	2
91	в этот	1	2
92	и через	1	2
93	но ведь	1	2
94	вообще не	1	2
95	он не	8	2
96	нашего времени	2	2
97	и исключительно	1	2
98	в глубину	1	2
99	по своему	4	2
100	на протяжении	2	2
101	и мы	4	2
102	было бы	1	2
103	в жизни	5	2
104	в них	4	2
105	всю жизнь	1	2
106	как и	7	2
107	в своей	3	2
108	и вся	1	2
109	не менее	4	2
110	никогда не	6	2
111	так называемый	1	2
112	в каком	1	2
113	не могут	1	2
114	и всех	1	2
115	не будет	7	2
116	как не	8	2
117	быть может	4	2
118	для этого	2	2
119	с ним	1	2
120	о том	4	2
121	может иметь	1	2
122	что он	1	2
123	есть в	2	2
124	к ним	3	2
125	у него	2	2
126	и т.п	2	2
127	оно не	1	2
128	себя и	1	2
129	что не	1	2
130	а на	1	2
131	не на	1	2
132	что мы	1	2
133	необходимость и	1	2
134	так же	2	2
135	в мир	1	2
136	но это	6	2
137	протяжении всей	1	2
138	и для	4	2
139	не существует	3	2
140	не есть	3	2
141	не знает	6	2
142	есть и	1	2
143	можно назвать	2	2
144	они не	1	2
145	человека и	3	1
146	он может	1	1
147	или к	1	1
148	это и	2	1
149	жизни мы	1	1
150	не имеют	2	1
151	высшей степени	6	1
152	со всех	4	1
153	личность от	1	1
154	мир не	1	1
155	вопрос о	3	1
156	на место	1	1
157	совершенно так	1	1
158	оно есть	1	1
159	я не	2	1
160	как я	1	1
161	зависимости от	1	1
162	всех сторон	4	1
163	в ней	5	1
164	чего оно	1	1
165	не был	1	1
166	что его	1	1
167	но не	2	1
168	значение и	1	1
169	менее всего	1	1
170	ориентироваться в	1	1
171	в свои	2	1
172	в центре	2	1
173	хотя и	2	1
174	очень сложно	1	1
175	всего как	1	1
176	от этого	1	1
177	к чему	1	1
178	уже не	2	1
179	а во-вторых	1	1
180	возврата и	1	1
181	человек не	1	1
182	что она	2	1
183	освобождение от	1	1
184	подобно тому	3	1
185	существенным моментом	1	1
186	не интересуется	1	1
187	человека в	1	1
188	от нее	1	1
189	в мире	3	1
190	не должна	1	1
191	теми которые	1	1
192	лишь в	6	1
193	это было	3	1
194	должны перейти	1	1
195	свою противоположность	1	1
196	истории и	9	1
197	весь мир	1	1
198	для них	1	1
199	с тем	3	1
200	и разложения	1	1
201	мир в	1	1
202	живем в	5	1
203	и политические	1	1
204	и того	1	1
205	одного и	1	1
206	оно же	1	1
207	и еще	1	1
208	но если	1	1
209	и культуры	2	1
210	значение для	1	1
211	к такой	1	1
212	времени не	1	1
213	творчества и	1	1
214	есть еще	1	1
215	и общества	2	1
216	государство и	2	1
217	этот мир	2	1
218	в атмосфере	1	1
219	есть прежде	1	1
220	в смысле	2	1
221	в эпоху	9	1
222	одна из	2	1
223	в сущности	1	1
224	того чтобы	2	1
225	не имеет	4	1
226	на путях	2	1
227	не их	1	1
228	они являются	1	1
229	в русском	2	1
230	во всем	1	1
231	в виду	1	1
232	разложения и	1	1
233	от того	1	1
234	в духе	3	1
235	должны быть	1	1
236	к тому	3	1
237	бы он	1	1
238	социальные и	1	1
239	и культурный	1	1
240	на это	1	1
241	она не	3	1
242	свободно и	1	1
243	ни одно	1	1
244	характер и	1	1
245	культуры и	7	1
246	приводит к	1	1
247	роль в	2	1
248	и что	2	1
249	можно было	2	1
250	времени и	2	1
251	ли это?	1	1
252	еще в	1	1
253	к тем	1	1
254	философии жизни	1	1
255	мы живем	5	1
256	в глубине	1	1
257	и начало	3	1
258	собрать в	1	1
259	пр в	1	1
260	жизни ни	2	1
261	других людей	1	1
262	их совершенно	1	1
263	скрывается в	1	1
264	но нет	1	1
265	нельзя сказать	1	1
266	все время	2	1
267	вся жизнь	1	1
268	и мир	1	1
269	в которую	1	1
270	к нему	1	1
271	философии и	1	1
272	современной культуры	1	1
273	и жизни	1	1
274	с одной	2	1
275	себя в	2	1
276	же и	1	1
277	уже в	1	1
278	а это	1	1
279	человека на	1	1
280	не будут	2	1
281	центр тяжести	2	1
282	в конце	1	1
283	те формы	1	1
284	привела к	1	1
285	не случайно	1	1
286	перейти к	3	1
287	для того	1	1
288	во власти	1	1
289	в истинном	1	1
290	в высшей	6	1
291	с другой	3	1
292	на ее	1	1
293	в каких	1	1
294	в свою	1	1
295	и быть	1	1
296	борьбой с	1	1
297	связано с	1	1
298	у нас	1	1
299	одной стороны	2	1
300	зависит от	2	1
301	а не	17	1
302	власти и	1	1
303	жизнь в	1	1
304	не всегда	1	1
305	и пути	1	1
306	и особенно	1	1
307	конечно есть	1	1
308	тому как	3	1
309	быть только	1	1
310	в человеческом	1	1
311	в состоянии	1	1
312	том смысле	1	1
313	быть не	1	1
314	находится во	1	1
315	в более	1	1
316	это уже	1	1
317	только одна	1	1
318	формы и	2	1
319	и тенденции	1	1
320	которая в	1	1
321	особого рода	1	1
322	в эту	1	1
323	мы должны	1	1
324	с ужасом	1	1
325	основе их	1	1
326	к ее	3	1
327	процессы в	1	1
328	не осталось	1	1
329	жизни в	3	1
330	и начинается	2	1
331	нет ничего	1	1
332	в период	1	1
333	не начало	1	1
334	а во	1	1
335	от всех	1	1
336	оказалась на	1	1
337	мышления не	1	1
338	как на	1	1
