N	2gram	Medvedev_U_1	Myslijsy
1	то есть	1	30
2	и в	14	24
3	может быть	6	23
4	то что	7	20
5	и не	8	19
6	в том	2	18
7	а не	10	18
8	что в	1	16
9	не только	10	15
10	по себе	2	15
11	не в	2	13
12	было бы	3	13
13	то же	5	12
14	но не	2	12
15	мы можем	1	12
16	не может	7	12
17	мы не	2	11
18	таким образом	2	11
19	если бы	2	11
20	что и	2	11
21	что мы	2	11
22	только в	2	11
23	в себе	2	10
24	для него	3	10
25	тогда когда	1	10
26	независимо от	1	9
27	в нем	1	9
28	то и	1	9
29	но и	4	9
30	в этом	7	8
31	более или	1	8
32	том что	2	8
33	или менее	1	8
34	могут быть	2	8
35	как и	3	7
36	того как	1	7
37	не могут	2	7
38	прежде всего	8	7
39	тем что	2	7
40	того что	1	7
41	в то	3	6
42	между тем	2	6
43	и только	5	6
44	с другой	4	6
45	не было	1	6
46	не есть	2	6
47	только как	1	6
48	все же	3	5
49	на то	1	5
50	по крайней	2	5
51	так и	1	5
52	о том	1	5
53	крайней мере	2	5
54	тот же	1	5
55	бы ни	1	5
56	представляется нам	2	5
57	только для	1	5
58	же в	1	5
59	в которой	1	5
60	а между	2	4
61	сам по	1	4
62	в самом	2	4
63	но в	3	4
64	уже не	1	4
65	с тем	1	4
66	в котором	1	4
67	сих пор	2	4
68	в некоторых	2	4
69	никогда не	1	4
70	и что	1	4
71	что он	2	4
72	с одной	1	4
73	до сих	2	4
74	если не	2	4
75	в таком	1	4
76	вряд ли	3	3
77	человека и	1	3
78	и то	3	3
79	той же	1	3
80	но даже	2	3
81	нужно будет	1	3
82	очевидно что	3	3
83	относится к	1	3
84	подобным образом	1	3
85	что она	2	3
86	о которой	1	3
87	слова а	1	3
88	не как	3	3
89	это не	3	3
90	далеко не	1	3
91	ни было	3	3
92	быть не	1	3
93	в ней	1	3
94	настолько насколько	1	3
95	лишь настолько	1	3
96	представлений и	1	3
97	в словах	1	3
98	которое мы	1	3
99	и у	2	3
100	одно из	1	3
101	что для	1	3
102	одной стороны	1	3
103	смысле этого	2	3
104	но это	2	3
105	и для	2	3
106	и все	1	3
107	от слова	1	3
108	все что	1	3
109	как на	1	3
110	без них	1	2
111	самом деле	2	2
112	с его	2	2
113	не то	1	2
114	не все	2	2
115	с которыми	1	2
116	за пределы	1	2
117	его на	1	2
118	может обойтись	1	2
119	могли бы	2	2
120	перестает быть	5	2
121	всех этих	2	2
122	связанные с	1	2
123	этого не	1	2
124	на звук	1	2
125	должно быть	1	2
126	что такое	4	2
127	не столько	2	2
128	значение вообще	1	2
129	но он	1	2
130	их в	1	2
131	что с	1	2
132	сказать что	1	2
133	что ему	1	2
134	же время	3	2
135	у нас	3	2
136	превращается в	2	2
137	это содержание	1	2
138	и это	1	2
139	что все	2	2
140	нас в	2	2
141	это было	2	2
142	этом смысле	2	2
143	что только	1	2
144	а это	1	2
145	слово как	1	2
146	но что	1	2
147	у него	1	2
148	само по	1	2
149	и потому	1	2
150	или по	1	2
151	все это	5	2
152	восприятия и	1	2
153	в его	2	2
154	о котором	1	2
155	в данное	1	2
156	бы в	1	2
157	хотя бы	5	2
158	но если	1	2
159	другой стороны	3	2
160	даже и	2	2
161	к этому	1	2
162	одним из	2	1
163	и действительно	1	1
164	он может	1	1
165	и так	1	1
166	должна быть	2	1
167	этот и	1	1
168	содержания в	1	1
169	на каждом	2	1
170	мы и	2	1
171	столько же	1	1
172	быть в	1	1
173	бы то	3	1
174	не без	1	1
175	но конечно	2	1
176	в сторону	2	1
177	он будет	1	1
178	для всех	2	1
179	что по	1	1
180	в этот	1	1
181	бы и	2	1
182	мы получаем	2	1
183	он в	1	1
184	в известном	1	1
185	его и	2	1
186	нем но	1	1
187	имеем в	1	1
188	предмет только	1	1
189	не следует	3	1
190	он не	1	1
191	несомненно что	1	1
192	бы те	1	1
193	и независимо	1	1
194	что нельзя	1	1
195	нам известно	1	1
196	то ни	3	1
197	же не	2	1
198	тем в	1	1
199	звук что	1	1
200	об этом	1	1
201	связанных с	1	1
202	и с	2	1
203	входит в	1	1
204	это впечатление	1	1
205	только единство	1	1
206	можно сказать	1	1
207	или точнее	3	1
208	а как	2	1
209	в их	4	1
210	все и	1	1
211	в которых	1	1
212	друг другу	1	1
213	доказывает что	1	1
214	и вся	1	1
215	содержания или	1	1
216	почему в	1	1
217	ничего не	2	1
218	находятся в	1	1
219	сколько и	1	1
220	содержание в	1	1
221	что при	1	1
222	не делает	1	1
223	только при	1	1
224	степени и	1	1
225	это для	1	1
226	начала и	1	1
227	и всякого	1	1
228	все его	1	1
229	этих слов	1	1
230	переходит в	1	1
231	все в	1	1
232	иначе в	1	1
233	ее как	1	1
234	большей или	1	1
235	которой и	1	1
236	знание того	1	1
237	для себя	1	1
238	и быть	1	1
239	каждом шагу	2	1
240	по мнению	1	1
241	конечно не	4	1
242	она представляется	1	1
243	не связанных	1	1
244	существование в	1	1
245	не для	1	1
246	содержание и	1	1
247	не о	3	1
248	может служить	1	1
249	бы это	1	1
250	и прежде	1	1
251	или меньшей	1	1
252	вообще мы	1	1
253	и др	1	1
254	его как	1	1
255	при более	1	1
256	и слово	1	1
257	очень часто	1	1
258	не исключительно	1	1
259	относятся к	1	1
260	но такое	1	1
261	в течение	1	1
262	в той	1	1
263	что же	1	1
264	форма в	1	1
265	этом случае	1	1
266	но для	1	1
267	какой именно	1	1
268	вне его	1	1
269	это уже	2	1
270	при таком	2	1
271	формы и	2	1
272	тем более	1	1
273	вообще в	1	1
274	в большей	1	1
275	на одно	1	1
