N	3gram	Medvedev_V_1	VelikijI
1	к тому что	3	3
2	а между тем	1	2
3	но и в	1	2
4	бы и не	3	2
5	в существе своем	1	2
6	не было еще	1	2
7	в том что	5	2
8	и т д	14	2
9	другой стороны в	1	1
10	и есть то	1	1
11	хотя бы и	5	1
12	все это мы	1	1
13	по крайней мере	2	1
14	вместе с тем	3	1
15	есть то что	1	1
16	в конце концов	2	1
17	в искусстве но	1	1
18	не могут быть	1	1
19	это одна из	1	1
20	с другой стороны	8	1
21	по сравнению с	1	1
22	и вместе с	1	1
23	и никогда не	1	1
24	после того как	1	1
25	его хотя бы	1	1
26	все это имеет	1	1
27	мы видим что	1	1
28	что не могут	1	1
