N	2gram	Vygotskiy__4	NovoeSre
1	а не	6	17
2	и в	33	16
3	не может	10	16
4	совсем не	1	12
5	и не	13	11
6	и есть	4	10
7	истории и	1	9
8	что в	21	9
9	как не	1	8
10	в том	21	8
11	жизни и	4	8
12	он не	11	8
13	в этом	28	7
14	может быть	22	7
15	не будет	4	7
16	как и	5	7
17	это есть	1	7
18	средние века	1	7
19	с его	2	6
20	не в	2	6
21	ни в	3	6
22	никогда не	5	6
23	но это	1	6
24	должен быть	1	5
25	с ее	3	5
26	в ней	6	5
27	и к	2	5
28	не только	7	5
29	в жизни	4	5
30	все это	13	5
31	в нем	7	5
32	со всех	1	4
33	о том	20	4
34	всех сторон	1	4
35	и мы	15	4
36	в них	2	4
37	то что	44	4
38	это не	6	4
39	прежде всего	2	4
40	не было	3	4
41	должно быть	3	4
42	и потому	2	4
43	и для	3	4
44	не имеет	2	4
45	и все	12	4
46	потому что	24	4
47	с другой	2	3
48	в ее	2	3
49	в средние	1	3
50	вопрос о	2	3
51	человека и	1	3
52	еще не	1	3
53	во всех	2	3
54	за пределы	1	3
55	в истории	1	3
56	как в	3	3
57	конечно не	3	3
58	подобно тому	1	3
59	перейти к	2	3
60	в мире	3	3
61	но и	3	3
62	это было	4	3
63	с тем	4	3
64	в своей	4	3
65	перейти от	1	3
66	тому как	2	3
67	она не	3	3
68	что такое	1	3
69	в основе	3	3
70	к ее	1	3
71	жизни в	1	3
72	к тому	12	3
73	сказать что	13	3
74	которых не	1	2
75	и это	5	2
76	нем нет	2	2
77	же как	3	2
78	связана с	1	2
79	силы и	2	2
80	это и	5	2
81	время как	2	2
82	не имеют	1	2
83	к созданию	1	2
84	переход к	2	2
85	можно было	4	2
86	так и	3	2
87	времени и	2	2
88	мы не	5	2
89	и с	2	2
90	для этого	8	2
91	стремление к	1	2
92	я не	4	2
93	и что	25	2
94	и на	5	2
95	быть в	1	2
96	должно было	2	2
97	на протяжении	1	2
98	но не	3	2
99	все время	24	2
100	с этим	5	2
101	но в	2	2
102	в обществе	1	2
103	все эти	6	2
104	с одной	3	2
105	себя в	4	2
106	думать что	2	2
107	есть в	1	2
108	в себе	6	2
109	не могла	1	2
110	том чтобы	4	2
111	у него	6	2
112	что она	10	2
113	и заключается	1	2
114	в одну	1	2
115	что все	11	2
116	и даже	1	2
117	жизнь человеческую	1	2
118	связаны с	1	2
119	этом смысле	1	2
120	в природе	1	2
121	и было	1	2
122	для чего	4	2
123	том что	22	2
124	вместе с	8	2
125	так же	13	2
126	я уже	1	2
127	место в	2	2
128	мысли и	1	2
129	одной стороны	3	2
130	такого рода	1	2
131	другой стороны	2	2
132	по существу	2	2
133	не могли	1	2
134	том и	1	2
135	ни одна	1	2
136	как будто	8	2
137	и формы	2	2
138	как это	14	2
139	такой же	2	2
140	но для	1	2
141	равно как	1	2
142	в смысле	1	2
143	в то	3	2
144	одна из	4	2
145	мысли в	1	2
146	того чтобы	22	2
147	формы и	1	2
148	и от	2	2
149	хотя бы	2	2
150	все они	2	2
151	а в	4	2
152	от всякого	1	2
153	ли это	3	2
154	когда мы	6	2
155	от этой	1	1
156	оно может	1	1
157	зависимость от	1	1
158	знаем все	1	1
159	же так	1	1
160	ни одно	2	1
161	он может	2	1
162	часто совершенно	1	1
163	к таким	2	1
164	характер и	1	1
165	и до	3	1
166	и мысли	1	1
167	слова а	1	1
168	и этот	3	1
169	с собой	1	1
170	на нее	2	1
171	мы уже	5	1
172	все свои	1	1
173	к новой	1	1
174	совершенно невозможно	1	1
175	с ним	5	1
176	можно сказать	2	1
177	это всегда	1	1
178	говорить о	3	1
179	о самом	1	1
180	и другая	1	1
181	движения и	1	1
182	как я	3	1
183	то это	3	1
184	не был	2	1
185	в виду	2	1
186	во внешних	1	1
187	это время	2	1
188	силы но	1	1
189	имевшие в	1	1
190	на их	1	1
191	что его	3	1
192	в чем	1	1
193	не могу	1	1
194	других людей	1	1
195	это была	1	1
196	и во	1	1
197	по многим	1	1
198	все в	1	1
199	в которую	1	1
200	к нему	1	1
201	на решение	1	1
202	черты и	2	1
203	значение и	1	1
204	в его	10	1
205	менее всего	1	1
206	но нет	1	1
207	себе и	2	1
208	не хотел	2	1
209	ее он	1	1
210	и только	7	1
211	которые они	1	1
212	значение для	1	1
213	уже во	1	1
214	и она	2	1
215	к которому	1	1
216	его последние	1	1
217	в своем	7	1
218	что нет	2	1
219	необходимо перейти	1	1
220	даже это	1	1
221	говорит что	10	1
222	что он	20	1
223	в каком-то	2	1
224	только в	4	1
225	во всем	2	1
226	к отрицанию	1	1
227	от этого	3	1
228	в этот	1	1
229	в самом	12	1
230	не хочет	1	1
231	он действует	1	1
232	но под	1	1
233	бы сказать	2	1
234	то время	2	1
235	из этих	2	1
236	техникой и	2	1
237	что ничего	1	1
238	было так	1	1
239	же и	1	1
240	уже говорил	1	1
241	и у	1	1
242	уже в	2	1
243	вообще не	1	1
244	от других	1	1
245	она направлена	1	1
246	своем развитии	1	1
247	из них	4	1
248	шекспира и	6	1
249	для того	23	1
250	и их	1	1
251	всяком случае	3	1
252	всю мысль	1	1
253	и когда	2	1
254	слова в	1	1
255	сами по	3	1
256	в конце	8	1
257	не для	3	1
258	но ведь	1	1
259	и исключительно	1	1
260	тем что	3	1
261	в нее	2	1
262	находящийся в	1	1
263	вот что	1	1
264	и вместе	1	1
265	в основу	3	1
266	но все	2	1
267	это конечно	1	1
268	от нее	1	1
269	это значит	1	1
270	во власти	1	1
271	до начала	1	1
272	жизни для	2	1
273	ней и	1	1
274	в глубине	1	1
275	них не	1	1
276	и из	3	1
277	противоположного характера	1	1
278	знает что	2	1
279	на ее	2	1
280	было бы	12	1
281	в каких	2	1
282	сам себя	2	1
283	себя и	1	1
284	что не	4	1
285	обратиться к	3	1
286	превращается в	1	1
287	а на	2	1
288	времени чем	1	1
289	в этой	9	1
290	ничем не	2	1
291	не на	2	1
292	всю жизнь	2	1
293	не быть	1	1
294	как ни	1	1
295	долгое время	1	1
296	ее на	2	1
297	когда она	1	1
298	смысл нашей	1	1
299	что мы	6	1
300	не больше	2	1
301	ближе к	1	1
302	который я	1	1
303	перед собой	1	1
304	и еще	1	1
305	и пути	1	1
306	которые будут	1	1
307	в эту	1	1
308	в этих	1	1
309	во время	6	1
310	уже давно	1	1
311	жизнь не	1	1
312	но если	3	1
313	нет для	1	1
314	и сейчас	3	1
315	до этого	2	1
316	в такой	2	1
317	мы конечно	1	1
318	на это	1	1
319	во времена	1	1
320	в котором	2	1
321	всего они	1	1
322	только для	1	1
323	что вся	1	1
324	себе если	1	1
325	мы в	3	1
326	не столько	1	1
327	нет ни	3	1
328	у нас	4	1
329	мы опять	1	1
330	но он	6	1
331	эту мысль	1	1
332	мы должны	6	1
333	и более	1	1
334	их в	3	1
335	энергии он	1	1
336	что этот	3	1
337	во времени	1	1
338	быть не	2	1
339	по себе	9	1
340	в это	2	1
341	в той	3	1
342	и вся	1	1
343	и очень	1	1
344	будто бы	1	1
345	оказывается совершенно	1	1
346	нет никакого	1	1
347	формы никто	1	1
348	сих пор	3	1
349	так как	12	1
350	человека не	1	1
351	хочет и	1	1
352	неба и	1	1
353	видят в	2	1
354	в сущности	6	1
355	не по	2	1
356	это уже	1	1
357	за его	1	1
358	и энергии	1	1
359	от жизни	1	1
360	до сих	3	1
361	совершается в	2	1
362	если взять	2	1
363	так много	1	1
364	которая в	1	1
365	чтобы понять	1	1
366	что сами	1	1
367	всего что	1	1
368	бы он	1	1
369	к этой	3	1
370	к ней	1	1
371	своей природе	1	1
372	событиях и	1	1
373	привело к	1	1
374	с ужасом	1	1
375	и его	5	1
376	а также	1	1
377	этого вы	1	1
378	или не	1	1
379	есть уже	1	1
380	так называемый	1	1
381	мы переходим	2	1
382	темные стороны	1	1
383	сам собой	1	1
384	гораздо больше	1	1
385	с окончанием	1	1
386	только одна	2	1
387	нет ничего	1	1
388	в каком	8	1
389	в свою	1	1
390	лежал в	1	1
391	того же	1	1
392	вступить в	1	1
393	есть только	2	1
394	во все	3	1
395	ли он	2	1
396	должны перейти	1	1
397	в которой	4	1
398	эти слова	3	1
399	во всяком	3	1
400	то они	1	1
401	того времени	1	1
402	который не	2	1
403	как на	6	1
