N	3gram	Bakhtin_fo_1	Dialekti
1	с точки зрения	2	14
2	не может быть	3	6
3	в самом деле	1	5
4	о том что	1	5
5	на первый план	1	4
6	то время как	2	4
7	в то время	3	4
8	сама по себе	1	4
9	и не только	2	3
10	как раз и	2	3
11	сами по себе	1	3
12	с одной стороны	2	3
13	в том что	2	3
14	как и в	2	3
15	и прежде всего	2	3
16	ровно ничего не	1	3
17	в зависимости от	1	2
18	одно и то	3	2
19	так же как	2	2
20	и то же	3	2
21	и в этом	1	2
22	не могут быть	1	2
23	во всяком случае	1	2
24	той или иной	2	2
25	к тому же	2	2
26	том что в	1	1
27	а следовательно и	1	1
28	в этом мире	2	1
29	же в этом	1	1
30	в виду что	1	1
31	и во всяком	1	1
32	в частности от	1	1
33	имеем в виду	1	1
34	мы уже сказали	2	1
35	и в особенности	2	1
36	и по существу	1	1
37	этим мы еще	1	1
38	одной стороны и	2	1
39	что из нее	1	1
40	же как и	2	1
41	и вот когда	1	1
42	с которой он	1	1
43	до сих пор	3	1
44	не знает отсюда	1	1
45	и в то	5	1
46	друг на друга	2	1
47	в этом отношении	3	1
48	и проч поэтому	1	1
49	и во всех	1	1
50	для себя и	1	1
51	не о чем	1	1
52	в других областях	1	1
53	есть одна из	1	1
54	что он должен	1	1
55	может быть только	3	1
56	приводит не к	1	1
57	и в частности	2	1
58	личности и ее	1	1
59	в данном случае	1	1
60	тот факт что	1	1
61	в своем движении	1	1
62	и как бы	1	1
63	и в котором	1	1
64	когда мы говорим	1	1
65	и в том	1	1
66	ни в чем	2	1
67	то же время	9	1
68	в нем нет	2	1
69	одной из них	1	1
70	связи с этим	2	1
71	переходим ко второму	1	1
72	одна из форм	1	1
73	но все эти	2	1
74	мы имеем в	1	1
75	том что все	1	1
76	и все прочие	1	1
77	в то же	6	1
78	в связи с	5	1
79	все это не	1	1
80	в себе не	1	1
