N	3gram	Berdyaev_M_2	Analitik
1	в том что	2	7
2	по отношению к	2	7
3	так и не	1	5
4	о том что	2	5
5	как и в	2	4
6	той или иной	1	3
7	в этом отношении	1	3
8	подобно тому как	2	2
9	том что он	1	2
10	с точки зрения	1	2
11	одной и той	2	2
12	в значительной степени	1	2
13	сама по себе	1	2
14	и той же	2	2
15	по своей природе	1	1
16	а между тем	1	1
17	что иное как	3	1
18	в этом мире	1	1
19	он так и	1	1
20	как бы не	1	1
21	на самом деле	1	1
22	и он же	2	1
23	между тем в	1	1
24	до сих пор	3	1
25	ни у кого	1	1
26	что он не	1	1
27	между тем как	1	1
28	с самим собою	2	1
29	своего отца и	1	1
30	не есть ни	1	1
31	сам по себе	1	1
32	знает личности как	1	1
33	это ведет к	1	1
34	во втором случае	1	1
35	которые могли бы	1	1
36	и в этой	1	1
37	по природе своей	1	1
38	но и его	1	1
39	не для того	1	1
40	для того чтобы	4	1
41	в каждом человеческом	1	1
42	по ту сторону	1	1
43	есть не что	3	1
44	не может быть	8	1
45	не знает личности	1	1
46	именно потому что	1	1
47	и есть не	1	1
48	не что иное	3	1
49	что и в	4	1
