N	3gram	Vygotskiy__5	Myslijsy
1	в том что	14	16
2	смысле этого слова	1	7
3	и то же	3	5
4	по отношению к	1	5
5	сам по себе	3	5
6	заключает в себе	4	5
7	по крайней мере	1	5
8	одно и то	3	5
9	а в том	1	5
10	вместе с тем	3	4
11	с другой стороны	5	4
12	в то время	1	4
13	не только в	2	4
14	то есть не	1	4
15	потому что он	2	3
16	более или менее	1	3
17	до сих пор	5	3
18	что он не	1	3
19	что в то	1	3
20	одним и тем	3	3
21	и тем же	3	3
22	с одной стороны	12	3
23	в произведении искусства	1	3
24	в свою очередь	1	3
25	само по себе	2	3
26	и т д	3	3
27	в том смысле	1	3
28	для того чтобы	19	3
29	не может быть	2	3
30	то есть к	1	3
31	только потому что	1	2
32	том что он	1	2
33	том что оно	1	2
34	мы должны будем	2	2
35	именно то что	4	2
36	того что мы	1	2
37	в этом отношении	3	2
38	в собственном смысле	1	2
39	и т п	3	2
40	в том чтобы	2	2
41	не есть еще	1	2
42	потому что оно	1	2
43	чувственных восприятий и	1	2
44	не могут быть	1	2
45	но вместе с	1	2
46	потому что мы	1	2
47	и той же	2	2
48	и в том	1	2
49	именно в том	2	2
50	в большей части	1	2
51	жизни и потому	1	2
52	мы не можем	1	2
53	то что мы	2	2
54	и в самом	2	2
55	не только не	4	2
56	но никак не	1	2
57	можно сказать что	2	2
58	к тому что	6	2
59	одной и той	2	2
60	том что она	1	1
61	таким образом что	3	1
62	в том виде	1	1
63	с тем мы	1	1
64	одной стороны и	1	1
65	в чем не	1	1
66	потому что в	2	1
67	равно как и	1	1
68	на самом деле	2	1
69	одной из этих	1	1
70	в самом деле	5	1
71	во многих случаях	1	1
72	то же самое	3	1
73	нам кажется что	1	1
74	в силу того	1	1
75	в этом слове	1	1
76	и как он	1	1
77	искусства может быть	1	1
78	сами по себе	2	1
79	если скажем что	1	1
80	но несомненно что	1	1
81	увидим что оно	1	1
82	разуметь под ним	1	1
83	из того что	3	1
84	относится к содержанию	1	1
85	с ними в	1	1
86	до тех пор	2	1
87	для чего не	1	1
88	так как все	1	1
89	в том случае	1	1
90	и то что	3	1
91	сводится к тому	2	1
92	то время как	1	1
93	и не дает	1	1
94	он был бы	1	1
95	нечто такое что	2	1
96	то что оно	2	1
97	том смысле в	1	1
98	по себе не	2	1
99	в то самое	1	1
100	в данном случае	2	1
101	каждый из этих	1	1
102	и тот же	1	1
103	если бы в	1	1
104	к содержанию как	1	1
105	а не как	1	1
106	и что в	3	1
107	должны отказаться от	1	1
108	только в очень	1	1
109	потому что они	1	1
110	что мы видим	1	1
111	один и тот	1	1
112	не могут иметь	1	1
113	художественного произведения и	1	1
114	очень редких случаях	1	1
115	и таким образом	2	1
116	в каждом отдельном	1	1
117	только то что	1	1
118	силу того что	1	1
119	с таким образом	2	1
120	заключается в том	6	1
121	это и не	1	1
122	о том что	6	1
123	ничего общего с	1	1
124	если бы мы	2	1
125	в очень редких	1	1
126	мало того что	1	1
127	том что ее	1	1
128	в каждой из	1	1
129	от нас и	1	1
130	в художественном произведении	1	1
131	не может стать	1	1
132	на то что	16	1
133	друг от друга	2	1
134	только до тех	1	1
135	после того как	1	1
136	не прямо а	1	1
137	по этому поводу	4	1
138	видели в ней	1	1
139	друг с другом	3	1
140	потому что чувство	1	1
141	но не только	1	1
142	именно потому что	2	1
143	все то что	2	1
144	заботясь о том	1	1
145	формы и содержания	1	1
146	потому что для	1	1
