N	2gram	Savitsky_P_1	Hudozhes
1	и в	14	28
2	том что	4	19
3	в ее	2	18
4	и не	12	18
5	в том	9	15
6	а не	2	14
7	в этом	10	13
8	не в	5	13
9	не только	17	11
10	как и	1	11
11	в его	2	11
12	в себе	3	9
13	но и	6	9
14	между тем	3	8
15	себя в	1	8
16	в жизни	2	8
17	в душе	1	8
18	может быть	5	8
19	в мире	2	7
20	в частности	2	7
21	я и	3	6
22	в котором	4	6
23	то же	9	6
24	не было	2	6
25	и с	2	6
26	в то	7	6
27	казалось бы	1	6
28	если бы	4	6
29	сводится к	3	6
30	это не	3	6
31	а в	4	6
32	то что	4	6
33	с его	1	5
34	в этой	1	5
35	в самом	1	5
36	что это	1	5
37	не могла	1	5
38	в своем	4	5
39	не менее	2	5
40	никогда не	1	5
41	она не	1	5
42	только на	1	5
43	одно из	1	5
44	наряду с	3	5
45	как бы	4	5
46	да и	2	5
47	с ее	1	5
48	что в	4	5
49	и другие	1	5
50	и т	3	4
51	но не	3	4
52	наш взгляд	1	4
53	на наш	1	4
54	и уже	1	4
55	в других	1	4
56	же время	7	4
57	и о	5	4
58	того чтобы	1	4
59	вслед за	3	4
60	только в	7	4
61	в качестве	9	4
62	что и	1	4
63	как раз	2	4
64	для того	3	4
65	не может	4	4
66	бы и	1	4
67	по преимуществу	1	3
68	на себя	1	3
69	в ней	6	3
70	еще не	1	3
71	и на	1	3
72	столь же	3	3
73	не все	1	3
74	со стороны	2	3
75	в нем	3	3
76	что все	1	3
77	было бы	6	3
78	в это	1	3
79	в них	2	3
80	в этих	1	3
81	что было	1	3
82	и это	2	3
83	когда в	1	3
84	с ними	3	3
85	и ее	1	3
86	с одной	3	3
87	для нас	2	3
88	с другой	5	3
89	и тех	1	3
90	а с	1	3
91	прежде всего	3	3
92	так же	1	3
93	одной стороны	3	3
94	все это	2	3
95	на фоне	1	3
96	есть и	1	3
97	же как	1	2
98	и то	1	2
99	первой половины	4	2
100	говорить о	2	2
101	различия между	1	2
102	если в	2	2
