N	2gram	Losev_Dial_2	DiskursI
1	в себе	15	19
2	при этом	4	17
3	как и	10	16
4	в этом	8	16
5	и в	19	16
6	может быть	20	16
7	и не	30	15
8	а не	16	14
9	отличие от	1	12
10	в частности	2	12
11	но и	12	11
12	в мире	2	11
13	но в	2	11
14	не только	19	10
15	том что	10	10
16	не может	9	9
17	так и	10	9
18	как в	2	8
19	в том	14	8
20	прежде всего	8	7
21	не менее	3	7
22	при всей	1	7
23	в нем	10	7
24	но не	6	7
25	ни в	10	7
26	в данном	3	7
27	все же	4	6
28	еще не	4	6
29	данном случае	2	6
30	отнюдь не	6	6
31	в своей	8	6
32	по своей	4	6
33	то же	12	6
34	в своих	2	6
35	себя в	2	6
36	же время	5	5
37	в противоположность	2	5
38	что в	7	5
39	то что	14	5
40	в то	6	5
41	я в	1	5
42	и на	1	5
43	с другой	5	5
44	в своем	4	5
45	точки зрения	12	4
46	я и	2	4
47	потому что	14	4
48	в одном	4	4
49	одно из	4	4
50	не сводится	1	4
51	к его	1	4
52	мира и	1	4
53	можно назвать	1	4
54	в основе	1	4
55	одной стороны	1	4
56	в этой	3	4
57	с одной	2	4
58	этом отношении	1	4
59	времени в	2	4
60	и то	7	4
61	о том	5	4
62	одного из	1	4
63	как бы	14	4
64	все эти	2	3
65	приводит к	1	3
66	и все	12	3
67	не знает	1	3
68	но она	1	3
69	в другом	4	3
70	можно сказать	5	3
71	и его	5	3
72	как на	1	3
73	и ее	1	3
74	не было	3	3
75	из двух	1	3
76	могут быть	4	3
77	той или	4	3
78	здесь в	1	3
79	проявляется в	1	3
80	прошлым и	1	3
81	его в	3	3
82	жизни и	6	3
83	мире и	2	3
84	к жизни	1	3
85	это не	10	3
86	в его	1	3
87	например в	2	3
88	из этих	1	3
89	одного и	1	3
90	исторического бытия	1	3
91	об одном	1	3
92	не в	8	3
93	перед нами	2	3
94	только в	5	3
95	становления и	3	3
96	и может	6	3
97	в них	1	3
98	в котором	1	3
99	в этих	3	3
100	всей своей	1	3
101	он не	4	3
102	также и	2	3
103	в становлении	2	3
104	уже не	3	3
105	как будто	7	3
106	или иной	1	3
107	из них	3	3
108	и как	10	3
109	мысль о	1	3
110	еще в	1	3
111	но это	7	3
112	с ее	2	2
113	момент в	2	2
114	может и	2	2
115	а в	4	2
116	и с	5	2
117	в свое	1	2
118	к их	1	2
119	в обоих	1	2
120	говорить о	5	2
121	собственно и	1	2
122	того же	1	2
123	не к	1	2
124	личности в	8	2
125	но при	1	2
126	должна быть	5	2
127	и фактической	1	2
128	есть в	2	2
129	все это	4	2
130	человеческой жизни	2	2
131	свое время	1	2
