N	2gram	Medvedev_S_1	ViktorSh
1	конце концов	2	2
2	в том	5	2
3	и в	3	2
4	в конце	2	2
5	том что	2	2
6	как же	3	1
7	только в	2	1
8	и не	1	1
9	то же	2	1
10	и заключается	2	1
11	по крайней	1	1
12	стр и	1	1
13	и его	1	1
14	сколь и	1	1
15	в этом	5	1
16	главным образом	2	1
17	крайней мере	1	1
18	столь же	1	1
19	именно в	1	1
20	заключается что	2	1
21	и только	3	1
22	в частности	2	1
23	полемизируя с	1	1
24	говоря иначе	1	1
25	ценное что	1	1
26	далеко не	2	1
27	хотя бы	1	1
28	время в	1	1
29	все то	1	1
30	павел медведев	1	1
31	по существу	2	1
32	даже не	1	1
33	все это	7	1
34	ведь это	2	1
35	более чем	3	1
36	и самым	1	1
37	тем более	2	1
