N	2gram	Potebnia_M_4	Literetu
1	и не	18	22
2	тогда как	4	17
3	в мире	2	16
4	и в	23	16
5	при этом	15	15
6	в этом	23	14
7	не только	10	14
8	но и	11	14
9	в том	23	12
10	может быть	26	12
11	а не	12	12
12	то что	29	12
13	в частности	1	11
14	своего рода	1	10
15	не в	11	10
16	то же	14	9
17	так и	6	9
18	в то	4	9
19	того что	14	9
20	в этой	1	8
21	том что	12	8
22	не может	11	8
23	как бы	5	8
24	в своей	1	7
25	тем самым	4	7
26	же время	3	7
27	только в	15	7
28	со стороны	3	7
29	точки зрения	4	7
30	я в	2	7
31	еще не	3	6
32	в себе	14	6
33	состоит в	2	6
34	в другом	1	6
35	о том	8	6
36	и его	2	6
37	в его	5	6
38	с другой	2	6
39	к тому	3	6
40	отличие от	1	5
41	субъекта и	1	5
42	как в	7	5
43	то есть	34	5
44	лишь в	3	5
45	это не	7	5
46	как и	14	5
47	что я	11	5
48	этом отношении	1	5
49	в ее	2	5
50	что он	4	5
51	в качестве	1	5
52	в поэзии	3	5
53	именно в	3	5
54	а именно	4	5
55	вместе с	6	5
56	а в	5	5
57	одним из	1	4
58	но не	1	4
59	по отношению	10	4
60	хотя и	5	4
61	и если	3	4
62	входит в	1	4
63	должно быть	5	4
64	даже в	2	4
65	никогда не	3	4
66	данном случае	2	4
67	а также	1	4
68	другого в	1	4
69	с одной	1	4
70	из них	1	4
71	одно из	1	4
72	в одном	4	4
73	как будто	1	4
74	как у	1	4
75	в природе	1	4
76	одной стороны	1	4
77	в данном	4	4
78	и для	2	4
79	я как	1	4
80	об искусстве	1	4
81	отношению к	8	4
82	например в	3	3
83	самом деле	3	3
84	той же	3	3
85	но уже	3	3
86	разумеется не	1	3
87	однако не	1	3
88	и как	2	3
89	и к	6	3
90	но в	8	3
91	то в	3	3
92	бы и	5	3
93	на его	3	3
94	в глазах	2	3
95	и тем	4	3
96	в слове	22	3
97	взгляд на	1	3
98	с точки	3	3
99	только для	2	3
100	потому что	33	3
101	в области	2	3
102	говоря словами	2	3
103	в словах	1	3
104	прежде всего	1	3
105	между тем	9	3
106	вслед за	1	3
107	ни к	2	3
108	уже не	3	3
109	в единстве	1	3
110	человеческого духа	6	3
111	в самом	3	3
112	как это	1	3
113	тому как	2	3
114	там где	3	3
115	я с	1	3
116	жизни и	1	3
117	как на	1	3
118	том числе	1	3
119	художественного произведения	1	2
120	того же	1	2
121	которой она	1	2
122	в первом	3	2
123	жизни к	2	2
124	поэзии и	7	2
125	для своего	1	2
126	как мы	2	2
127	вопрос о	2	2
128	не вполне	2	2
129	я не	2	2
130	мы и	2	2
131	то это	8	2
132	и на	3	2
133	не могу	2	2
134	во всех	1	2
135	сказать и	1	2
136	искусство в	1	2
137	отношение к	2	2
138	еще один	1	2
139	все же	1	2
140	могли бы	4	2
141	не знает	1	2
142	жизнь как	1	2
143	так или	2	2
144	он в	1	2
145	им в	1	2
146	на то	7	2
147	в нем	7	2
148	чтобы он	1	2
149	последнее имеет	1	2
150	он все	2	2
151	в первой	1	2
152	не как	2	2
153	том чтобы	1	2
154	на жизнь	1	2
155	подобно тому	2	2
156	человека в	2	2
157	и с	4	2
158	а по	1	2
159	его в	4	2
160	действительности в	1	2
161	было бы	8	2
162	и даже	2	2
163	той или	1	2
164	она и	2	2
165	далеко не	1	2
166	не всегда	3	2
167	мы с	1	2
168	и тогда	1	2
169	и при	2	2
170	нас самих	1	2
171	к предмету	1	2
172	от себя	1	2
173	об отсутствии	1	2
174	и другого	1	2
175	одном из	2	2
176	быть может	4	2
177	и наоборот	1	2
178	по себе	11	2
179	не менее	5	2
180	для меня	10	2
181	с которой	1	2
182	как о	1	2
183	свободы и	1	2
184	в нас	3	2
185	того чтобы	4	2
186	о природе	1	2
187	природы а	4	2
188	другой стороны	1	2
189	у нас	2	2
190	же самое	4	2
191	числе и	1	2
192	с образом	1	2
193	то она	1	2
194	и сам	1	2
195	что у	3	2
196	по этой	1	2
197	не с	2	2
198	во второй	1	2
199	мира и	1	2
200	если бы	13	2
201	о нем	1	2
202	можно сказать	4	2
203	во втором	1	2
204	что и	7	2
205	и только	3	2
206	в ту	2	2
207	и об	1	2
208	но с	1	2
209	вне себя	1	2
210	с ними	3	2
211	связи с	3	2
212	за ним	2	2
213	к своим	1	2
214	для него	5	2
215	других но	1	2
216	тем что	10	2
217	и вместе	3	2
218	для того	6	2
219	или иначе	2	2
220	что не	6	2
221	если не	1	2
222	все более	3	2
223	я говорю	3	2
224	так же	4	2
225	и потому	10	2
226	xix века	1	2
227	быть только	1	2
228	если это	1	2
229	никем не	2	2
230	быть не	2	2
231	художественное произведение	2	2
232	один из	2	2
233	это последнее	4	2
234	на слово	1	2
235	сознания и	1	2
236	что в	17	2
237	в каждой	1	2
