N	2gram	Medvedev_V_1	KFilosof
1	и не	1	26
2	и в	2	22
3	и его	1	17
4	только в	1	16
5	в этом	1	13
6	все это	1	10
7	в их	1	9
8	я не	1	6
9	и только	1	6
10	но это	1	6
11	в том	2	6
12	то же	1	5
13	именно в	1	5
14	хотя бы	1	5
15	и т.д	1	4
16	том что	2	4
17	самом деле	1	3
18	к чему	1	3
19	в другом	1	3
20	ясно что	1	3
21	и то	1	2
22	чего не	1	2
23	же с	1	2
24	дело в	1	2
25	другое дело	1	2
26	сводится к	1	2
27	а значит	1	2
28	ни к	1	2
29	потому что	1	2
30	к этому	1	2
31	говоря о	1	1
32	столь же	1	1
33	что язык	1	1
34	более чем	1	1
35	в самом	1	1
36	главным образом	1	1
37	значительной степени	1	1
38	том же	1	1
39	не будем	1	1
40	за свою	1	1
41	все дело	1	1
42	в значительной	1	1
43	а только	1	1
44	ведь это	1	1
45	так как	1	1
46	ценное что	1	1
47	по поводу	1	1
48	гораздо более	1	1
