N	2gram	Medvedev_U_1	Literetu
1	а не	10	20
2	и в	14	19
3	может быть	6	17
4	то же	5	12
5	и не	8	11
6	как и	3	10
7	в том	2	10
8	но и	4	10
9	в этом	7	9
10	в то	3	9
11	же время	3	9
12	не может	7	9
13	не только	10	8
14	и даже	1	8
15	с другой	4	8
16	том что	2	7
17	так и	1	7
18	и т.д	3	7
19	с одной	1	7
20	то что	7	7
21	в себе	2	6
22	одной стороны	1	6
23	но не	2	5
24	конечном счете	4	5
25	он не	1	5
26	в конечном	4	5
27	в качестве	1	5
28	для всех	2	5
29	у нас	3	5
30	то есть	1	5
31	того что	1	5
32	в сфере	1	4
33	мы не	2	4
34	отнюдь не	1	4
35	для него	3	4
36	не в	2	4
37	в области	3	4
38	в ней	1	4
39	тех кто	1	4
40	в его	2	4
41	не случайно	2	4
42	тем что	2	4
43	прежде всего	8	4
44	в частности	3	4
45	в искусстве	6	4
46	другой стороны	3	4
47	что в	1	4
48	одним из	2	3
49	и то	3	3
50	в противовес	2	3
51	в этой	4	3
52	то и	1	3
53	в нем	1	3
54	перестает быть	5	3
55	в их	4	3
56	не столько	2	3
57	путь и	1	3
58	никогда не	1	3
59	ничего не	2	3
60	этот путь	1	3
61	данном случае	1	3
62	и с	2	3
63	всего лишь	1	3
64	этом отношении	2	3
65	и др	1	3
66	в данном	1	3
67	по существу	2	3
68	но это	2	3
69	и для	2	3
70	что он	2	3
71	от слова	1	3
72	как на	1	3
73	же как	1	2
74	поэзии и	1	2
75	той же	1	2
76	нам представляется	2	2
77	очевидно что	3	2
78	в художественном	5	2
79	все же	3	2
80	как феномен	1	2
81	но в	3	2
82	о которой	1	2
83	с тем	1	2
84	он и	1	2
85	художественного творчества	5	2
86	что было	1	2
87	по крайней	2	2
88	не вполне	1	2
89	могут быть	2	2
90	даже и	2	2
91	для себя	1	2
92	в виду	1	2
93	для этого	3	2
94	о том	1	2
95	и что	1	2
96	и только	5	2
97	крайней мере	2	2
98	впрочем не	1	2
99	было бы	3	2
100	тот же	1	2
101	уже не	1	2
102	ни было	3	2
103	одно из	1	2
104	в конце	2	2
105	что и	2	2
106	у него	1	2
107	существование в	1	2
108	как раз	2	2
109	не было	1	2
110	до конца	1	2
111	в россии	4	2
112	него не	1	2
113	произведения искусства	3	2
114	из которых	1	2
115	быть не	1	2
116	этом случае	1	2
117	хотя бы	5	2
118	же в	1	2
119	в свое	1	2
120	все что	1	2
121	литературы а	1	1
122	как живой	1	1
123	классицизму и	1	1
124	должна быть	2	1
125	не меньшей	1	1
126	мы имеем	1	1
127	он знает	1	1
128	а для	1	1
129	но даже	2	1
130	меньшей степени	2	1
131	и этого	1	1
132	он был	1	1
133	бы то	3	1
134	художественном творчестве	2	1
135	самом деле	2	1
136	словами как	1	1
137	за пределы	1	1
138	относится к	1	1
139	более чем	2	1
140	как нам	1	1
141	же автор	1	1
142	иных приемов	1	1
143	что по	1	1
144	искусство и	1	1
145	в этот	1	1
146	в самом	2	1
147	приобретает характер	1	1
148	еще один	1	1
149	в известном	1	1
150	объекта в	1	1
151	но он	1	1
152	на то	1	1
153	не следует	3	1
154	но именно	1	1
155	конце концов	2	1
156	слова а	1	1
157	всех этих	2	1
158	и понятий	1	1
159	или иных	2	1
160	таким образом	2	1
161	то ни	3	1
162	что такой	1	1
163	искусства в	1	1
164	это не	3	1
165	далеко не	1	1
166	поэтов и	1	1
167	в не	1	1
168	иначе говоря	1	1
169	в своей	3	1
170	эстетической реальности	1	1
171	является в	2	1
172	слово что	1	1
173	несомненно что	1	1
174	обращение к	1	1
175	их в	1	1
176	что этот	1	1
177	и вся	1	1
178	что ему	1	1
179	того как	1	1
180	у кого	1	1
181	мы и	2	1
182	именно такой	1	1
183	не могут	2	1
184	эстетического объекта	6	1
185	же самое	2	1
186	является одним	1	1
187	но по	1	1
188	идет не	1	1
189	в пределах	1	1
190	приводит к	1	1
191	художественное творчество	1	1
192	искусство как	1	1
193	что никакого	1	1
194	в словах	1	1
195	в таком	1	1
196	сводится к	2	1
197	произведения как	1	1
198	искусства и	1	1
199	вот почему	7	1
200	словесного творчества	2	1
201	можно сказать	1	1
202	к архитектонике	1	1
203	с момента	1	1
204	переходит в	1	1
205	бы в	1	1
206	в преодолении	1	1
207	но тут	1	1
208	что только	1	1
209	как целого	1	1
210	которое мы	1	1
211	неудивительно что	2	1
212	вопроса о	2	1
213	в итоге	2	1
214	не все	2	1
215	где бы	1	1
216	не для	1	1
217	нет и	1	1
218	в исторической	1	1
219	приходится признать	2	1
220	деле есть	1	1
221	нашему мнению	3	1
222	и прежде	1	1
223	он становится	1	1
224	что мы	2	1
225	по нашему	3	1
226	этой же	1	1
227	и потому	1	1
228	стихотворений и	1	1
229	что же	1	1
230	в своем	1	1
231	для тех	1	1
232	время не	1	1
233	как автора	1	1
234	тех или	2	1
235	при таком	2	1
236	впрочем для	1	1
237	представляется что	1	1
238	всего что	1	1
239	и все	1	1
240	в системе	2	1
241	некоторыми другими	1	1
242	исторической поэтики	1	1
243	только как	1	1
244	впервые в	1	1
245	о литературе	1	1
246	именно к	1	1
247	ее в	1	1
248	и эта	1	1
249	пушкин и	1	1
250	к этому	1	1
