N	3gram	Berdyaev_M_1	Russkaja
1	в том что	1	7
2	во всяком случае	1	6
3	для того чтобы	2	6
4	до сих пор	2	5
5	к тому чтобы	2	4
6	в том случае	1	4
7	не может быть	17	4
8	не может не	2	3
9	том случае если	1	3
10	вместе с тем	5	3
11	можно было бы	1	3
12	и не может	2	3
13	в конце концов	2	3
14	самого себя и	1	3
15	что он не	2	2
16	в себе и	1	2
17	но она не	1	2
18	и в том	1	2
19	это потому что	1	2
20	и вместе с	4	2
21	лишь в том	1	2
22	о том что	1	2
23	она не может	1	2
24	никогда не было	1	1
25	но и от	1	1
26	не вне человека	1	1
27	прежде всего в	2	1
28	как бы не	1	1
29	по отношению к	2	1
30	в самом деле	1	1
31	может быть назван	1	1
32	он не может	2	1
33	вне человека а	1	1
34	в нем все	1	1
35	духовной культуры в	1	1
36	ко всему этому	1	1
37	ни у кого	1	1
38	заключает в себе	3	1
39	есть то что	1	1
40	жизни и в	1	1
41	своей борьбе с	1	1
42	в значительной степени	1	1
43	никогда не был	2	1
44	тем что он	2	1
45	ни к какому	1	1
46	на том основании	2	1
47	во всех этих	1	1
48	не только для	1	1
49	все же принципиально	1	1
50	друг к другу	1	1
51	душевной жизни в	1	1
52	а во имя	1	1
53	одну и ту	1	1
54	в своей борьбе	1	1
55	том основании что	2	1
56	от того что	1	1
57	в любви к	4	1
58	даже и в	1	1
59	вряд ли может	1	1
60	это и есть	4	1
61	ли может быть	2	1
62	и есть самое	1	1
63	сплошь и рядом	1	1
64	и ту же	1	1
65	и во всем	1	1
66	любви к богу	1	1
67	по сравнению со	1	1
68	не во имя	1	1
69	не только от	1	1
