N	3gram	Medvedev_V_1	Tvorches
1	и т д	14	11
2	в то же	5	7
3	то же время	5	7
4	в братьях карамазовых	1	6
5	в соответствии с	1	4
6	до сих пор	1	3
7	по отношению к	7	3
8	не может быть	8	3
9	о том что	3	2
10	в том же	1	2
11	в одном из	3	2
12	в целом и	1	2
13	и в то	3	2
14	с другой стороны	8	2
15	и т п	9	2
16	в таком случае	1	2
17	в том что	5	2
18	и не может	2	2
19	на этот вопрос	1	2
20	в самом деле	1	2
21	именно в этом	1	2
22	все же не	1	2
23	так же как	1	2
24	во всяком случае	1	2
25	по крайней мере	2	2
26	в чем же	2	1
27	не только для	1	1
28	может быть в	1	1
29	по поводу отцов	1	1
30	от декабря года	1	1
31	в которой он	1	1
32	и поэтому в	1	1
33	в том числе	2	1
34	тому что автор	1	1
35	о том как	3	1
36	мы знаем что	2	1
37	запись от октября	1	1
38	как видим у	1	1
39	в письме к	8	1
40	это и есть	3	1
41	том смысле что	1	1
42	со своими героями	1	1
43	от октября года	1	1
44	по словам м	2	1
45	одну и ту	1	1
46	в другом месте	2	1
47	братьев карамазовых он	1	1
48	это одна из	1	1
49	и никогда не	1	1
50	и в процессе	2	1
51	отцов и детей	1	1
52	но в то	1	1
53	к тому же	1	1
54	купец самсонов в	1	1
55	если он не	1	1
56	то все же	1	1
57	в духе чистого	1	1
58	поводу отцов и	1	1
59	ответ на этот	1	1
60	этапом творческого процесса	1	1
61	в частности в	2	1
62	всего произведения в	2	1
63	от апреля года	2	1
64	ничего общего с	1	1
65	все произведение с	1	1
66	идеи в их	1	1
67	в том смысле	1	1
68	самсонов в братьях	1	1
69	как будто бы	1	1
70	не значит что	1	1
71	то или иное	1	1
72	сами по себе	1	1
73	той или иной	1	1
74	в применении к	1	1
75	в конечном счете	5	1
76	из действующих лиц	1	1
77	не могут быть	1	1
78	и ту же	1	1
79	января года и	1	1
80	в связи с	3	1
81	другом месте в	1	1
82	со всех сторон	1	1
83	в виду что	1	1
84	что в них	1	1
85	нет и не	1	1
86	каждого из действующих	1	1
87	же как и	1	1
88	одном из писем	2	1
89	мы говорим о	1	1
90	не является общим	1	1
91	и в другом	2	1
92	том числе и	2	1
93	характер этого воздействия	1	1
94	только то что	2	1
95	в классической литературе	1	1
96	в свою очередь	1	1
97	героев это не	1	1
98	от января года	3	1
99	в этом плане	1	1
100	хотя и не	1	1
101	в то время	1	1
102	того или иного	1	1
103	можно было бы	2	1
