N	2gram	Tiupa_Disk_2	VrazhdaK
1	в году	1	18
2	не только	10	9
3	в этом	16	8
4	и в	16	8
5	и что	1	8
6	достоевского в	1	7
7	но и	11	7
8	и все	3	7
9	то что	5	7
10	что в	5	7
11	все же	6	6
12	но в	11	6
13	в нем	7	6
14	как и	16	6
15	в котором	3	6
16	и с	2	6
17	о нем	1	6
18	и даже	1	6
19	в романе	1	6
20	то же	6	5
21	об этом	1	5
22	в то	5	5
23	же время	5	5
24	между тем	2	5
25	не было	3	5
26	и не	15	5
27	в ней	2	4
28	что он	2	4
29	в истории	1	4
30	при этом	17	4
31	это не	3	4
32	несмотря на	1	4
33	все это	2	4
34	с ним	1	4
35	о том	4	4
36	весной года	1	4
37	может быть	16	4
38	как бы	4	4
39	в своих	6	4
40	речь идет	1	3
41	одним из	1	3
42	я не	1	3
43	он был	1	3
44	в чем	1	3
45	с его	6	3
46	в своем	5	3
47	и как	3	3
48	в этот	1	3
49	раз в	1	3
50	записки охотника	2	3
51	его в	3	3
52	он не	3	3
53	далеко не	2	3
54	том что	10	3
55	в русской	3	3
56	и его	3	3
57	человека в	4	3
58	и во	1	3
59	русской литературе	2	3
60	в его	3	3
61	в том	8	3
62	тем что	1	3
63	к этому	4	3
64	же как	2	2
65	и то	4	2
66	он сам	1	2
67	столь же	3	2
68	ответ на	1	2
69	тогда как	11	2
70	человека с	1	2
71	отнюдь не	6	2
72	в той	2	2
73	в этой	4	2
74	в себе	19	2
75	время и	1	2
76	о которой	1	2
77	их в	2	2
78	нашего времени	1	2
79	таким образом	1	2
80	в мире	11	2
81	в глазах	1	2
82	этот человек	2	2
83	в них	3	2
84	а с	5	2
85	на первый	2	2
86	точки зрения	4	2
87	в своей	6	2
88	и ее	3	2
89	с точки	2	2
90	место в	2	2
91	не менее	7	2
92	том же	1	2
93	в повести	1	2
94	одна из	1	2
95	никогда не	2	2
96	к себе	1	2
97	его с	1	2
98	и это	2	2
99	году в	1	2
100	в в	1	2
101	так в	1	2
102	еще не	6	2
103	а также	8	2
104	там же	2	2
105	об их	1	2
106	уже не	3	2
107	из них	3	2
108	для него	5	2
109	отношение к	2	2
110	и т.п	12	2
111	о влиянии	1	2
112	о чем	2	2
113	начиная с	1	2
114	не может	9	2
115	вместе с	2	2
116	в это	1	2
117	но это	3	2
118	же в	1	2
119	а в	2	2
120	в период	4	2
121	это в	2	2
122	которых не	2	1
123	себя как	1	1
124	а между	1	1
125	можно говорить	1	1
126	также и	3	1
127	того же	2	1
128	это и	1	1
129	идет о	2	1
130	и есть	1	1
131	вопросом не	1	1
132	ему не	1	1
133	по преимуществу	2	1
134	три портрета	1	1
135	той же	2	1
136	героя нашего	1	1
