N	3gram	Tiupa_Lite_3	Tvorches
1	то же время	7	7
2	в то же	7	7
3	в соответствии с	3	4
4	по отношению к	4	3
5	не может быть	3	3
6	в самом деле	2	2
7	в отличие от	5	2
8	именно в этом	1	2
9	на наш взгляд	1	2
10	едва ли не	1	2
11	в xix веке	1	2
12	с другой стороны	2	2
13	и т п	1	2
14	о том что	4	2
15	в одном из	2	2
16	в целом и	2	2
17	в литературной традиции	1	2
18	в том что	4	2
19	в другом месте	1	1
20	особое место в	2	1
21	своего права на	1	1
22	хотя и не	1	1
23	на свете есть	1	1
24	что однако не	1	1
25	в том числе	3	1
26	о том как	1	1
27	может и не	1	1
28	нужна была не	1	1
29	и не стал	1	1
30	в первую очередь	1	1
31	может быть в	1	1
32	несмотря на его	1	1
33	но уже в	1	1
34	в году он	1	1
35	автором и читателем	1	1
36	в этой связи	1	1
37	как будто бы	1	1
38	тем что он	2	1
39	вырождается и умирает	1	1
40	но при этом	1	1
41	писал в году	1	1
42	не только для	1	1
43	так и не	1	1
44	в свою очередь	1	1
45	той или иной	2	1
46	в связи с	1	1
47	к тому же	5	1
48	в мире и	1	1
49	в целом ряде	1	1
50	это и есть	1	1
51	ничего общего с	1	1
52	восприятие художественного произведения	1	1
53	но отнюдь не	1	1
54	в конечном счете	1	1
55	том числе и	2	1
56	тем самым его	1	1
57	содержит в себе	1	1
58	между автором и	1	1
59	себя самого в	1	1
60	но это не	1	1
61	и в том	1	1
62	в какой-то мере	1	1
63	в глубине души	1	1
