N	3gram	Bakhtin_Fr_6	UchenyiS
1	не может быть	1	4
2	с другой стороны	2	3
3	то же время	5	3
4	в то же	5	3
5	в этой области	1	3
6	и в этой	1	2
7	в самом деле	4	2
8	до сих пор	3	2
9	в этом отношении	3	2
10	в том что	2	2
11	и то что	2	2
12	в конце концов	1	2
13	это было и	1	1
14	мы полагаем что	1	1
15	другой стороны в	1	1
16	в большей или	3	1
17	или меньшей степени	2	1
18	все же не	1	1
19	более или менее	1	1
20	большей или меньшей	3	1
21	одним из самых	2	1
22	в значительной мере	1	1
23	в широком смысле	1	1
24	и не только	1	1
25	на первый план	3	1
26	сам по себе	1	1
27	в той же	4	1
28	является одним из	1	1
29	и прежде всего	2	1
30	насколько нам известно	1	1
31	уже знакомый нам	1	1
32	можно сказать что	1	1
33	в этой же	1	1
34	конечно не в	2	1
35	что все они	1	1
36	в данном случае	2	1
37	но в то	1	1
38	не только в	1	1
39	с одной стороны	4	1
40	и с другой	1	1
41	выдвигает на первый	1	1
