N	2gram	Berdyaev_O_1	Marksizm
1	может быть	11	26
2	и не	13	26
3	не может	4	24
4	и в	19	19
5	и его	4	19
6	в этом	12	16
7	как бы	3	15
8	в процессе	1	14
9	прежде всего	9	13
10	как и	6	12
11	и пр	1	12
12	так и	2	11
13	и для	2	11
14	самом деле	1	10
15	в нем	10	10
16	в самом	5	10
17	лишь в	7	9
18	для него	5	9
19	все же	2	8
20	не только	11	8
21	но и	13	8
22	то что	5	8
23	в ее	2	7
24	но в	2	7
25	психологии и	1	7
26	все эти	4	7
27	в каждом	1	7
28	а не	11	7
29	мы не	1	6
30	в науке	1	6
31	ничего не	2	6
32	и здесь	1	6
33	в его	7	6
34	в том	5	6
35	не в	11	5
36	того чтобы	4	5
37	и все	10	5
38	в конце	1	5
39	вовсе не	1	5
40	до конца	7	5
41	и потому	2	5
42	хотя бы	3	5
43	к этому	2	5
44	во всяком	1	5
45	вопрос о	10	4
46	и на	2	4
47	науки о	1	4
48	как в	1	4
49	к одному	1	4
50	лишь с	1	4
51	было бы	3	4
52	мысли и	3	4
53	по себе	2	4
54	в отношении	1	4
55	внутренней жизни	1	4
56	в ней	1	4
57	еще не	3	4
58	от того	1	4
59	для того	3	4
60	что же	2	4
61	а в	5	4
62	отношении к	1	4
63	жизни в	2	4
64	и эта	1	4
65	сказать что	2	4
66	что в	4	4
67	на самом	1	3
68	и есть	3	3
69	между двумя	1	3
70	не имеют	1	3
71	в сущности	1	3
72	в истории	2	3
73	и как	1	3
74	и к	2	3
75	в которой	2	3
76	к другому	1	3
77	в корне	1	3
78	различие между	3	3
79	его в	2	3
80	он не	7	3
81	том что	2	3
82	места в	1	3
83	в своей	2	3
84	и ее	3	3
85	в котором	1	3
86	не имеет	2	3
87	этом отношении	1	3
88	не могут	3	3
89	не есть	2	3
90	и это	1	3
91	не существует	1	3
92	того что	3	3
93	нуждается в	1	3
94	и действительно	1	3
95	из них	1	3
96	лишь для	1	3
97	момент в	2	3
98	не было	9	3
99	на этот	1	3
100	все это	6	3
101	смысле этого	1	3
102	и формы	1	3
103	и от	3	3
104	нет ничего	7	3
105	речи и	1	3
106	совершенно не	1	3
107	ту же	1	2
108	нем нет	3	2
109	связана с	1	2
110	и он	8	2
111	во внешнем	1	2
112	одним словом	1	2
113	не все	2	2
114	себе и	1	2
115	что во	1	2
116	в одной	1	2
117	как к	2	2
118	в своем	2	2
119	от этого	1	2
120	то в	1	2
121	бы и	1	2
122	существует лишь	1	2
123	в себе	3	2
124	он ни	1	2
125	должна быть	1	2
126	из него	1	2
127	можно было	1	2
128	человека в	11	2
129	что все	2	2
130	в другом	2	2
131	и с	2	2
132	бы в	1	2
133	от него	7	2
134	должно быть	2	2
135	и более	1	2
136	этими двумя	1	2
137	в русской	3	2
138	мысли в	1	2
139	одна из	1	2
140	в сознании	1	2
141	у нас	1	2
142	могут быть	3	2
143	они и	1	2
144	она не	1	2
145	в виду	1	2
146	нет никакой	1	2
147	никогда не	9	2
148	подойти к	2	2
149	если бы	1	2
150	и даже	1	2
151	о том	3	2
152	все в	4	2
153	что и	2	2
154	говорит он	1	2
155	ни к	1	2
156	там и	1	2
157	что он	3	2
158	между этими	1	2
159	в единстве	2	2
160	и других	1	2
161	к каким	1	2
162	всяком случае	1	2
163	так как	2	2
164	тем что	2	2
165	и прежде	1	2
166	что не	4	2
167	есть лишь	4	2
168	в частности	1	2
169	образ и	1	2
170	этого слова	1	2
171	в эти	1	2
172	к его	1	2
173	же и	1	2
174	жизни и	1	2
175	это так	1	2
176	к этой	2	2
177	в своих	3	2
178	также и	1	1
179	например в	1	1
180	и то	2	1
181	и без	1	1
182	тем же	1	1
183	не хочет	1	1
184	и до	1	1
185	его не	2	1
186	из всех	1	1
187	вместо того	2	1
188	жизни как	1	1
189	и ни	2	1
190	раскрывается до	1	1
191	он сам	4	1
192	и нигде	1	1
193	в стихию	1	1
194	с его	4	1
195	и вопрос	1	1
196	совсем не	2	1
197	со всеми	1	1
198	отношение к	5	1
199	жизни все	3	1
200	для русской	1	1
201	хотя и	2	1
202	добро и	2	1
203	та же	1	1
204	что это	1	1
205	в этой	5	1
206	с их	1	1
207	не те	1	1
208	сказать в	1	1
209	природной и	1	1
210	есть та	1	1
211	и вот	3	1
212	в россии	5	1
213	как от	1	1
214	но всегда	1	1
215	ни был	1	1
216	же не	1	1
217	в совершенно	1	1
218	это не	3	1
219	не совпадает	1	1
220	лишь на	1	1
221	истории и	1	1
222	после этого	1	1
223	она и	1	1
224	с тем	2	1
225	всегда и	1	1
226	нисколько не	1	1
227	в других	2	1
228	художественного творчества	1	1
229	сам и	1	1
230	для всякого	2	1
231	для многих	1	1
232	что было	1	1
233	и очень	2	1
234	что есть	2	1
235	лишь к	1	1
236	движении и	1	1
237	того как	1	1
238	и способы	1	1
239	погружается в	2	1
240	не по	1	1
241	науку о	1	1
242	в разных	1	1
243	в самой	9	1
244	природы в	2	1
245	в русском	1	1
246	к ней	2	1
247	по своей	1	1
248	этой речи	1	1
249	потому что	9	1
250	ничто не	2	1
251	с другом	1	1
252	перед ним	1	1
253	растворяется в	1	1
254	бытия как	1	1
255	и всех	1	1
256	отличается от	1	1
257	всего в	2	1
258	людей в	1	1
259	из всего	2	1
260	не делает	1	1
261	характер и	1	1
262	уже с	1	1
263	природе своей	1	1
264	связан с	1	1
265	особенно в	1	1
266	по природе	1	1
267	особый мир	1	1
268	связаны и	1	1
269	о нем	1	1
270	и что	1	1
271	образе в	1	1
272	все его	1	1
273	ее и	1	1
274	и лишь	1	1
275	в которую	1	1
276	к нему	3	1
277	но нет	1	1
278	отметить что	1	1
279	в форме	1	1
280	нужно искать	5	1
281	уходят в	1	1
282	действительно в	1	1
283	во внутренней	1	1
284	был для	1	1
285	так для	1	1
286	и мир	1	1
287	с ними	1	1
288	рода он	1	1
289	бы ни	1	1
290	сознания в	1	1
291	так что	2	1
292	уже не	1	1
293	уже в	2	1
294	идущих в	1	1
295	которым можно	1	1
296	а потому	1	1
297	в одном	1	1
298	все устойчивые	1	1
299	может служить	1	1
300	само по	1	1
301	нее не	1	1
302	лишь один	1	1
303	со стороны	1	1
304	лица в	1	1
305	стремится к	1	1
306	что для	2	1
307	и самый	1	1
308	они что	1	1
309	человек в	1	1
310	о чем	1	1
311	не допускает	1	1
312	него не	2	1
313	опыт в	1	1
314	под влиянием	1	1
315	его как	1	1
316	каждом из	1	1
317	все основные	1	1
318	ко всем	2	1
319	как это	1	1
320	но не	1	1
321	и проблема	1	1
322	своего сознания	1	1
323	его жизни	1	1
324	и там	2	1
325	в пределы	1	1
326	в мир	1	1
327	знания в	1	1
328	и множественное	1	1
329	друг с	1	1
330	чтобы сделать	1	1
331	быть не	1	1
332	народа и	1	1
333	задача которая	1	1
334	в силах	1	1
335	человек и	4	1
336	к одной	1	1
337	более всего	3	1
338	в потоке	1	1
339	человека не	1	1
340	всех тех	1	1
341	противоречий и	1	1
342	состоит из	1	1
343	была бы	1	1
344	для нашего	1	1
345	ее в	2	1
346	не принять	1	1
347	атмосферу и	1	1
