N	2gram	Losev_Prob_1	VLabPisa
1	таким образом	6	27
2	в этом	19	26
3	и в	32	25
4	и т	11	24
5	не только	17	22
6	может быть	14	21
7	хотя бы	3	20
8	и не	31	19
9	не может	8	17
10	т е	1	17
11	т д	10	15
12	объективной действительности	3	15
13	в его	6	15
14	в процессе	1	14
15	этом отношении	1	13
16	в том	9	13
17	прежде всего	10	13
18	как это	6	12
19	все это	7	12
20	в силу	1	11
21	вот что	1	11
22	с другой	3	11
23	из них	3	11
24	в художественном	1	10
25	в качестве	2	10
26	не могут	2	10
27	о том	11	10
28	то же	10	9
29	что в	12	9
30	об этом	10	9
31	по этому	3	9
32	для него	2	9
33	т п	1	9
34	но и	9	9
35	к этому	1	9
36	в своем	5	8
37	ни один	1	8
38	все эти	8	8
39	другой стороны	3	8
40	могут быть	2	8
41	говорит и	3	8
42	в году	1	7
43	во всех	7	7
44	из этих	2	7
45	было бы	8	7
46	как и	3	7
47	том что	12	7
48	этому поводу	3	7
49	говорит о	3	7
50	не было	4	7
51	а не	15	7
52	вместе с	2	7
53	же в	4	7
54	художественного произведения	1	6
55	более или	3	6
56	в себе	15	6
57	в нем	13	6
58	идеи и	1	6
59	это не	6	6
60	или менее	3	6
61	их в	4	6
62	том же	1	6
63	и его	3	6
64	в то	6	6
65	так и	12	6
66	между тем	2	6
67	бы и	1	6
68	в основном	1	6
69	то что	42	6
70	одним из	1	5
71	и есть	6	5
72	действительности и	5	5
73	в их	4	5
74	все же	1	5
75	в пределах	1	5
76	и при	2	5
77	не в	4	5
78	тому что	4	5
79	связи с	5	5
80	один из	4	5
81	действующих лиц	2	5
82	он говорит	1	5
83	как бы	14	5
84	не является	5	5
85	в результате	2	5
86	сказать что	13	5
87	только в	7	5
88	в искусстве	3	5
89	художественном произведении	1	4
90	с его	2	4
91	в этой	10	4
92	чем же	2	4
93	перед нами	5	4
94	в самом	6	4
95	что все	3	4
96	них не	1	4
97	художественный образ	9	4
98	в них	7	4
99	даже в	1	4
100	одна из	1	4
101	никогда не	7	4
102	к тому	3	4
103	утверждать что	1	4
104	должен быть	1	4
105	в ее	3	4
106	это только	2	4
107	познания и	1	4
108	можно сказать	5	4
109	познания в	1	4
110	что он	7	4
111	в нашей	1	4
112	как раз	13	4
113	в связи	4	4
114	художественное произведение	1	4
115	в романе	1	4
116	в своей	8	4
117	например в	2	3
118	в котором	5	3
119	в которых	3	3
120	видели что	1	3
121	но как	6	3
122	явлений и	1	3
123	нет и	2	3
124	что они	3	3
125	с этим	3	3
126	и как	6	3
127	и к	1	3
128	в противоположность	1	3
129	всех этих	7	3
130	его в	6	3
131	далеко не	5	3
132	что не	3	3
133	с тем	5	3
134	мы видели	1	3
135	во время	1	3
136	точки зрения	3	3
137	и ее	8	3
138	этой области	2	3
139	вполне естественно	1	3
140	как о	1	3
141	это мы	2	3
142	сводится к	1	3
143	у нас	14	3
144	значит и	2	3
145	она не	2	3
146	том как	2	3
147	образом в	1	3
148	в виду	6	3
149	никак не	4	3
150	утверждает что	1	3
151	того что	7	3
152	этот вопрос	1	3
153	является не	2	3
154	и их	1	3
155	даже и	8	3
156	момент в	2	3
157	в конце	6	3
158	что пишет	2	3
159	именно в	4	3
160	мы знаем	1	3
161	так же	9	3
162	по поводу	4	3
163	по существу	2	3
164	при всем	1	3
165	и от	1	3
166	или в	4	3
167	только что	2	3
168	а белый	1	3
169	жизни и	1	3
170	как на	1	3
171	ее в	2	3
172	смысле слова	7	2
173	ту же	1	2
174	также и	11	2
175	чтобы не	1	2
176	он может	1	2
177	и этот	1	2
178	уже по	1	2
179	по его	2	2
180	мы имеем	2	2
181	же как	2	2
182	в которой	2	2
183	что многие	1	2
184	говорить о	6	2
185	но даже	1	2
186	то это	1	2
187	собою и	2	2
188	еще не	9	2
189	что его	3	2
190	в чем	3	2
191	бы не	1	2
192	но не	9	2
193	если в	1	2
194	в общем	1	2
195	относится к	1	2
196	отнюдь не	10	2
197	что нет	2	2
198	этом же	1	2
199	хотя и	6	2
200	но в	14	2
201	не приходится	1	2
202	картины в	1	2
203	он в	2	2
204	ни одна	1	2
205	ее как	1	2
206	как он	4	2
207	что она	5	2
208	после этого	4	2
209	он не	3	2
210	том чтобы	1	2
211	у пушкина	2	2
212	подобно тому	2	2
213	что ни	2	2
214	так например	1	2
215	человека в	1	2
216	в каждом	1	2
217	они должны	1	2
218	в другом	1	2
219	говорил что	1	2
220	заключается в	1	2
221	с другими	2	2
222	и отдельные	1	2
223	в жизни	3	2
224	одному тому	1	2
225	как об	1	2
226	он и	8	2
227	между собою	7	2
228	и для	4	2
229	чувственное созерцание	1	2
230	что такое	6	2
231	всяком случае	3	2
232	самый факт	2	2
233	знаем что	2	2
234	и значит	1	2
235	искусства не	1	2
236	которые в	2	2
237	объективного мира	3	2
238	по крайней	2	2
239	если бы	4	2
240	по себе	15	2
241	которые обычно	2	2
242	можно ли	5	2
243	не менее	19	2
244	мышления в	1	2
245	тогда когда	1	2
246	в науке	2	2
247	пока еще	3	2
248	того чтобы	9	2
