N	3gram	Potebnia_M_1	KulturaY
1	и т п	2	24
2	и т д	4	14
3	в том что	13	10
4	можно было бы	1	9
5	с точки зрения	3	8
6	для того чтобы	2	8
7	с другой стороны	5	7
8	только потому что	2	6
9	по крайней мере	2	6
10	в этом смысле	4	5
11	во всяком случае	1	5
12	само по себе	4	5
13	тем не менее	6	5
14	не только в	3	4
15	не может быть	9	4
16	в этом отношении	1	3
17	точно так же	1	3
18	в связи с	1	3
19	то же время	3	3
20	в то же	3	3
21	со стороны говорящего	1	3
22	а следовательно и	1	2
23	не говоря уже	1	2
24	на самом деле	1	2
25	только в том	6	2
26	говоря уже о	1	2
27	на этот вопрос	2	2
28	с этой точки	1	2
29	т п и	1	2
30	может быть только	1	2
31	так же как	1	2
32	и потому что	2	2
33	и в том	3	2
34	по себе не	1	2
35	этой точки зрения	1	2
36	в свою очередь	4	2
37	не только потому	1	2
38	вряд ли нужно	1	2
39	но все же	1	2
40	на то что	1	2
41	говорить и о	1	2
42	то тем самым	1	2
43	потому что как	2	1
44	мы будем иметь	1	1
45	в том смысле	4	1
46	не более как	3	1
47	том только смысле	1	1
48	не следует что	1	1
49	дело в том	2	1
50	чтобы показать что	1	1
51	по его мнению	4	1
52	таким же образом	1	1
53	в языке можно	1	1
54	оно не имеет	1	1
55	в том и	2	1
56	потому что я	1	1
57	и там где	1	1
58	так как оно	1	1
59	мы видели выше	1	1
60	и не только	1	1
61	следовательно и в	1	1
62	до сих пор	1	1
63	что мы имеем	1	1
64	сам по себе	1	1
65	в том только	1	1
66	по себе и	1	1
67	бы то ни	2	1
68	сказать несколько слов	1	1
69	а так как	3	1
70	не было бы	1	1
71	только то что	1	1
72	было бы так	1	1
73	но это не	1	1
74	несмотря на их	1	1
75	что если бы	1	1
76	что же до	1	1
77	смысле в каком	4	1
78	одном и том	2	1
79	с тех пор	1	1
80	и той же	3	1
81	не могла бы	2	1
82	может быть не	1	1
83	и с этой	2	1
84	что само слово	1	1
85	уже о том	1	1
86	и то не	1	1
87	так как во	2	1
88	это определение не	1	1
89	сами по себе	1	1
90	не потому что	1	1
91	то ни было	1	1
92	с одной стороны	3	1
93	смысле этого слова	1	1
94	и том же	2	1
95	потому что оно	1	1
96	не могут быть	2	1
97	и в этой	1	1
98	не только для	2	1
99	в противном случае	3	1
100	не в том	4	1
101	потому что язык	1	1
102	все более и	2	1
103	бы потому что	1	1
104	уже с самого	2	1
105	в нем есть	2	1
106	вслед за тем	1	1
107	то вопрос о	1	1
108	т д не	1	1
109	что рядом с	1	1
110	видно уже что	1	1
111	что в языке	2	1
112	убедиться в этом	1	1
113	в одном и	2	1
114	нужно было бы	1	1
115	языка и его	5	1
116	так как и	1	1
117	потому что не	4	1
118	но с другой	2	1
119	д и т	1	1
120	заключается в том	1	1
121	в то время	1	1
122	то что мы	1	1
123	как и в	2	1
124	лишь в том	1	1
125	слова и если	1	1
126	о том что	1	1
127	и все это	1	1
128	но и для	2	1
129	с самого начала	3	1
130	более и более	2	1
131	отношении его к	1	1
132	что иное как	2	1
133	несмотря на все	1	1
134	они ни были	2	1
135	связь слова с	1	1
136	после того как	1	1
137	которые должны быть	1	1
138	что не все	1	1
139	к тому что	2	1
140	было бы сказать	1	1
141	одной и той	3	1
142	не что иное	2	1
143	потому что она	1	1
144	сама по себе	3	1
145	таким образом в	1	1
146	лежит в основании	1	1
147	т д в	1	1
148	не нуждается в	2	1
149	только тогда когда	4	1
150	так как без	1	1
151	как мы видели	1	1
152	язык потому что	1	1
