N	2gram	Losev_Prob_2	Retstnzi
1	не может	13	4
2	и в	35	3
3	один из	3	2
4	если в	1	2
5	нет и	3	1
6	и можно	3	1
7	себе все	1	1
8	и не	37	1
9	тому что	3	1
10	вещей и	1	1
11	время бесконечно	1	1
12	не только	24	1
13	связи с	5	1
14	бы на	1	1
15	точки зрения	2	1
16	конечно и	1	1
17	языка как	2	1
18	но и	16	1
19	и заставляет	1	1
20	не менее	13	1
21	в системе	2	1
22	с другими	5	1
23	в лингвистике	1	1
24	в ней	2	1
25	в то	6	1
26	если один	1	1
27	разных категорий	1	1
28	и на	5	1
29	вопрос что	1	1
30	может не	1	1
31	и больше	1	1
32	в языке	15	1
33	на нее	1	1
34	как художественная	1	1
35	оторвано от	2	1
36	анализа и	3	1
37	к тому	3	1
38	речь и	1	1
39	а не	10	1
40	его от	2	1
41	может быть	18	1
42	вполне понятно	1	1
43	несмотря на	3	1
44	в его	7	1
45	от контекста	1	1
46	то же	5	1
47	и все	5	1
48	из этих	3	1
49	можно назвать	1	1
50	язык как	3	1
51	если бы	4	1
52	в каждом	1	1
53	бы в	3	1
