1	в нем нет	2	3
2	для того чтобы	5	3
3	но и в	2	2
4	человека в его	3	2
5	не могут быть	1	2
6	и в самой	1	2
7	с тем что	1	2
8	и в этом	1	2
9	в этом мире	2	2
10	не может быть	3	2
11	в этом отношении	3	1
12	в этих романах	2	1
13	смысле этого слова	1	1
14	в противоречии с	1	1
15	в другом месте	1	1
16	и его судьбу	1	1
17	прежде всего в	1	1
18	в строгом смысле	2	1
19	в самом начале	1	1
20	его характер и	1	1
21	преступление и наказание	1	1
22	в нем все	2	1
23	и в самом	1	1
24	в том что	2	1
25	ни с чем	1	1
26	месте и в	1	1
27	есть одно из	1	1
28	в самой жизни	1	1
29	него всегда есть	1	1
30	достоевского преступление и	1	1
31	находится в противоречии	1	1
32	а вовсе не	1	1
33	не имеет ни	1	1
34	в которой нет	1	1
35	бы он ни	1	1
36	этого мира в	1	1
37	друг с другом	1	1
38	он ни был	1	1
39	в самом деле	1	1
40	и в том	1	1
41	не было и	2	1
42	и прежде всего	2	1
43	бросается в глаза	1	1
44	человек а не	1	1
45	о том что	1	1
46	друг к другу	2	1
47	судьбы человека в	1	1
48	по природе своей	2	1
49	том что в	1	1
50	между этими двумя	3	1
51	по сравнению с	2	1
52	как и в	2	1
53	нем нет ничего	1	1
54	и все же	1	1
55	и его судьбе	1	1
56	во всяком случае	1	1
57	противоречии с его	1	1
