N	2gram	Tiupa_Vved_1	Hudozhes
1	и в	13	28
2	в рассказе	6	21
3	том что	7	19
4	и не	12	18
5	в ее	1	18
6	своего рода	10	16
7	в том	10	15
8	а не	15	14
9	не в	6	13
10	в этом	21	13
11	о том	5	12
12	как и	11	11
13	в его	4	11
14	при этом	26	11
15	не только	20	11
16	перед нами	6	11
17	уже не	5	10
18	у нее	2	10
19	в себе	5	9
20	чеховского рассказа	3	9
21	но и	19	9
22	у чехова	1	9
23	так и	8	8
24	в жизни	4	8
25	между тем	1	8
26	о чем	2	8
27	себя в	1	8
28	может быть	18	8
29	что он	1	8
30	тогда как	10	7
31	отношению к	7	7
32	и все	4	7
33	с ним	3	7
34	как это	1	7
35	об этом	4	7
36	жизни в	4	7
37	к тому	6	7
38	по отношению	7	7
39	в мире	8	7
40	в частности	13	7
41	что она	1	7
42	состоит в	10	7
43	и с	2	6
44	можно сказать	4	6
45	жизни и	7	6
46	для себя	1	6
47	в котором	8	6
48	не было	2	6
49	человеческой жизни	3	6
50	в своей	5	6
51	а в	6	6
52	сводится к	4	6
53	это не	6	6
54	то что	6	6
55	в то	4	6
56	тем что	2	6
57	то же	5	6
58	в чеховском	2	6
59	если бы	7	6
60	не менее	4	5
61	что это	1	5
62	у него	1	5
63	что в	3	5
64	в тексте	10	5
65	для него	3	5
66	с ее	1	5
67	в своем	5	5
68	и его	5	5
69	да и	1	5
70	его жизни	1	5
71	художественного целого	1	5
72	в этой	1	5
73	в самом	2	5
74	наряду с	2	5
75	и сам	1	5
76	никогда не	4	5
77	как в	4	5
78	только на	1	5
79	жизни как	1	5
80	как бы	4	5
81	что они	1	4
82	не может	7	4
83	вслед за	2	4
84	как раз	2	4
85	рассказа в	1	4
86	то и	2	4
87	того чтобы	1	4
88	в художественном	1	4
89	бы и	4	4
90	то в	1	4
91	но не	5	4
92	тому что	1	4
93	же время	3	4
94	превращается в	1	4
95	и сама	1	4
96	в качестве	8	4
97	и о	1	4
98	тем не	3	4
99	только в	6	4
100	тому как	2	4
101	что и	2	4
102	подобно тому	2	4
103	в конечном	1	4
104	как будто	4	4
105	человека в	1	4
106	он не	3	4
107	всего лишь	5	3
108	со своим	1	3
109	в них	2	3
110	для нас	2	3
111	еще не	7	3
112	текст рассказа	1	3
113	или в	1	3
114	так же	1	3
115	прежде всего	7	3
116	и ее	1	3
117	но при	5	3
118	ни слова	1	3
119	в ответ	1	3
120	к нему	1	3
121	этом и	2	3
122	бы не	2	3
123	с другими	1	3
124	что на	2	3
125	в нем	5	3
126	зрелого чеховского	1	3
127	и он	1	3
128	в одном	1	3
129	с одной	5	3
130	не могу	1	3
131	и состоит	1	3
132	в этих	3	3
133	на него	2	3
134	к себе	1	3
135	героя и	3	3
136	пока еще	4	3
137	что у	1	3
138	конечном счете	1	3
139	как он	2	3
140	не все	2	3
141	на себя	1	3
142	едва ли	3	3
