N	4gram	Losev_Vesc_1	KulturaY
1	и тем не менее	1	4
2	с этой точки зрения	1	2
3	и в самом деле	1	2
4	не только потому что	1	2
5	заключается в том что	1	1
6	и т д и	5	1
7	и с другой стороны	1	1
8	видно уже из предыдущего	1	1
9	не что иное как	7	1
10	вовсе не потому что	1	1
11	также и то что	1	1
12	дело в том что	2	1
13	в то время как	1	1
14	есть не что иное	5	1
15	и т д а	1	1
16	т е не только	1	1
17	о которых идет речь	1	1
18	можно ли сказать что	3	1
19	бы то ни было	4	1
20	не потому что я	1	1
21	с тех пор как	1	1
22	т д и т	5	1
