N	3gram	Propp_Russ_1	Komedia
1	в том что	15	9
2	в свою очередь	2	6
3	о том что	4	4
4	по отношению к	1	3
5	с точки зрения	3	3
6	судя по всему	1	3
7	и т п	1	3
8	вместе с тем	6	3
9	в связи с	4	3
10	во всяком случае	1	3
11	тем не менее	3	3
12	хотя и не	1	2
13	состоит в том	8	2
14	в этом случае	5	2
15	наряду с этим	1	2
16	в этом отношении	1	2
17	т е в	1	2
18	в то время	1	2
19	но все же	2	2
20	что и в	1	2
21	к этому же	2	1
22	потому что он	1	1
23	слезами на глазах	1	1
24	на себя внимание	1	1
25	в виду что	1	1
26	потому что по	1	1
27	подобно тому как	1	1
28	ни одно из	2	1
29	то что и	1	1
30	в отличие от	1	1
31	со слезами на	1	1
32	независимо от того	1	1
33	на то что	1	1
34	не без основания	1	1
35	их вместе с	1	1
36	в доме и	1	1
37	даже если бы	1	1
38	обращает на себя	1	1
39	в настоящее время	3	1
40	один из них	2	1
41	имеет ничего общего	1	1
42	но вместе с	1	1
43	с тем у	1	1
44	в других случаях	2	1
45	мы можем судить	1	1
46	так как этот	1	1
47	можно сказать что	1	1
48	ничего общего с	1	1
49	можно сделать вывод	1	1
50	вопрос о том	1	1
51	по своему происхождению	1	1
52	к этому времени	1	1
53	как мы знаем	1	1
54	после того как	2	1
55	по этому поводу	2	1
56	к тому что	4	1
57	друг с другом	1	1
58	сомнения в том	1	1
59	и в этом	1	1
60	сделать вывод что	1	1
61	так как он	1	1
62	не имеет ничего	1	1
63	и т д	9	1
