N	3gram	Bakhtin_Fr_5	formyVre
1	еды и питья	9	15
2	кн i гл	2	15
3	кн iv гл	1	13
4	с точки зрения	2	8
5	для того чтобы	6	7
6	в связи с	5	7
7	шута и дурака	2	6
8	в романе рабле	7	5
9	в то же	9	4
10	друг с другом	2	4
11	во рту пантагрюэля	1	4
12	как мы уже	1	4
13	то же время	9	4
14	кн iii гл	3	4
15	в эпизоде с	4	3
16	о том как	2	3
17	в том числе	4	3
18	в большинстве случаев	2	3
19	мы уже говорили	2	3
20	между вещами и	1	3
21	и в то	1	3
22	мы уже сказали	1	3
23	и прежде всего	3	3
24	в средние века	2	3
25	во всех этих	1	3
26	в том что	6	3
27	мы еще вернемся	1	3
28	у рабле в	1	2
29	связи с этим	3	2
30	и во всех	3	2
31	в другом месте	2	2
32	средние века и	1	2
33	может быть и	1	2
34	обжорства и пьянства	1	2
35	имеет у него	1	2
36	и та же	1	2
37	во все стороны	1	2
38	до сих пор	3	2
39	в этом отношении	5	2
40	звон шутовских бубенчиков	1	2
41	то же самое	2	2
42	одна и та	1	2
43	том числе и	2	2
44	друг от друга	1	2
45	народной площади и	1	1
46	такой же характер	1	1
47	о том что	1	1
48	может прославлять себя	1	1
49	можно говорить о	2	1
50	в аду и	1	1
51	важное значение имеет	1	1
52	в основе их	1	1
53	иной характер носит	1	1
54	даже там где	1	1
55	высоких материях и	1	1
56	и для рабле	1	1
57	хлеб и вино	3	1
58	века и в	1	1
59	одна из самых	1	1
60	быть и речи	1	1
61	в так называемой	1	1
62	таких высоких материях	1	1
63	существенную роль в	2	1
64	этих форм в	1	1
65	и дурака от	1	1
66	бы он ни	1	1
67	также и в	2	1
68	и никому не	1	1
69	носит у рабле	1	1
70	от его стихов	1	1
71	жизни и смерти	2	1
72	а также и	4	1
73	но в то	5	1
74	как и в	1	1
75	и история о	1	1
76	в себя и	1	1
77	этом выражении за	1	1
78	только для того	1	1
79	и телесной жизни	1	1
80	уже говорили что	1	1
81	или иной форме	1	1
82	рабле в его	1	1
83	можно сказать что	2	1
84	более глубокий и	1	1
85	в другом случае	1	1
86	между тем как	1	1
87	и новой жизни	1	1
88	переплетаются друг с	1	1
89	что и в	1	1
90	в себе в	1	1
91	это самое подходящее	1	1
92	форм и образов	3	1
93	и того же	1	1
94	что он не	1	1
95	еще вернемся к	1	1
96	так как он	1	1
97	в неразрывном единстве	1	1
98	но и средневековой	1	1
99	в четвертой книге	3	1
100	i гл xxiii	1	1
101	во время обеда	1	1
102	в особенности в	1	1
103	все эти образы	2	1
104	во время еды	1	1
105	со страшным криком	1	1
106	в значительной мере	1	1
107	как мы видели	4	1
108	еда и питье	3	1
109	как бы в	2	1
110	в то время	2	1
111	он ни был	1	1
112	в этом выражении	1	1
113	к самой природе	1	1
114	по всему роману	1	1
115	на самом деле	4	1
116	сих пор еще	2	1
117	что во время	1	1
118	всех филологов и	1	1
119	жаркого на вертеле	1	1
120	эпизоде воспитания гаргантюа	1	1
121	но он не	1	1
122	в двух местах	1	1
123	здесь и влияние	1	1
124	одного и того	1	1
125	той или иной	1	1
126	как и во	2	1
127	того чтобы не	1	1
128	особенно важное значение	1	1
129	между словом и	2	1
130	и для других	1	1
131	когда во время	1	1
132	не может быть	2	1
133	конечно не в	1	1
134	в скрытой форме	1	1
135	брата жана и	1	1
136	и связанные с	2	1
137	и целый ряд	1	1
138	вместе с тем	1	1
139	этих образов в	1	1
140	в данном случае	2	1
141	вернемся к рабле	1	1
142	то что в	1	1
143	мы здесь не	1	1
144	что от его	1	1
145	в средневековой литературе	1	1
146	о таких высоких	1	1
147	как и все	1	1
148	смерть и еда	1	1
149	в отличие от	2	1
150	без него не	1	1
151	в эпизоде воспитания	1	1
152	в той или	1	1
153	они вовсе не	2	1
154	то есть в	2	1
155	самой природе его	1	1
156	тела и телесной	1	1
157	во всех приведенных	1	1
158	что в основе	1	1
159	него не обходится	1	1
160	в свою очередь	1	1
161	дается как бы	1	1
162	только во время	1	1
163	принадлежит к самой	1	1
164	эпизоде с великаном	1	1
165	по своему содержанию	1	1
166	это вовсе не	1	1
167	в монастырском винограднике	1	1
