N	3gram	Losev_Prob_4	OGranits
1	с точки зрения	11	5
2	одно и то	1	3
3	что иное как	2	2
4	представим себе что	1	2
5	но так как	1	2
6	в зависимости от	3	2
7	не чем иным	2	2
8	в данном случае	5	2
9	с одной стороны	1	2
10	с другой стороны	6	2
11	того или иного	3	2
12	ничего общего с	2	2
13	есть не что	2	2
14	чем иным как	2	2
15	с самого начала	1	2
16	не что иное	2	2
17	в том что	8	2
18	то он и	1	1
19	только потому что	1	1
20	само собой разумеется	1	1
21	в чем же	1	1
22	этой точки зрения	1	1
23	иметь в виду	1	1
24	более или менее	2	1
25	равно как и	1	1
26	на самом деле	3	1
27	или в конце	1	1
28	то же самое	6	1
29	нам кажется что	1	1
30	и есть не	1	1
31	и не может	1	1
32	то само собой	1	1
33	в человеческом обществе	1	1
34	только то что	1	1
35	то что в	1	1
36	однако было бы	1	1
37	можно было бы	4	1
38	почти никогда не	1	1
39	в значительной мере	2	1
40	с этой точки	1	1
41	является не чем	1	1
42	по себе а	1	1
43	и тем что	1	1
44	ту или иную	1	1
45	не говорить о	1	1
46	в последнее время	1	1
47	что едва ли	1	1
48	для того чтобы	2	1
49	так же как	1	1
50	в живом историческом	1	1
51	если бы мы	1	1
52	едва ли кто-нибудь	2	1
53	все равно не	1	1
54	а также и	2	1
55	между собою и	1	1
56	тем не менее	10	1
57	и вместе с	1	1
58	и как бы	1	1
59	в одном случае	2	1
60	но и его	1	1
61	в связи с	3	1
62	само по себе	1	1
63	в эстетике и	1	1
64	прежде всего в	1	1
65	это и не	2	1
66	эстетике и в	1	1
67	здесь нет никакого	1	1
68	ли кто-нибудь станет	1	1
69	смысле слова и	1	1
70	те или иные	4	1
71	выходит за пределы	1	1
72	мы можем путем	1	1
73	несмотря на все	1	1
74	время в ней	1	1
75	на то что	1	1
76	в то же	2	1
77	к тому что	1	1
78	прежде всего является	1	1
79	тех или иных	3	1
80	в предисловии к	1	1
81	как и в	1	1
