N	2gram	Tiupa_Hudo_2	Poddanst
1	не только	11	17
2	и в	28	14
3	и не	18	12
4	в области	1	11
5	в этом	13	10
6	в качестве	4	9
7	но в	2	9
8	то же	6	9
9	в том	15	9
10	в пределах	1	8
11	хотя бы	2	8
12	только в	4	7
13	в то	6	7
14	же время	4	7
15	в ней	3	6
16	было бы	3	6
17	но и	9	6
18	отношении к	1	5
19	с другой	3	5
20	может быть	8	5
21	а я	1	5
22	не в	13	5
23	и о	4	5
24	первой половины	2	4
25	если бы	6	4
26	а также	2	4
27	в своем	5	4
28	и к	2	4
29	как бы	5	4
30	том что	19	4
31	не может	4	4
32	и потому	1	4
33	в котором	6	4
34	по себе	1	4
35	что в	5	4
36	же в	1	4
37	а в	6	4
38	то что	6	4
39	в с	1	4
40	и т	4	3
41	мы не	1	3
42	сводится к	6	3
43	столь же	3	3
44	между тем	8	3
45	это не	6	3
46	вслед за	4	3
47	хотя и	1	3
48	с ними	3	3
49	с одной	3	3
50	в себе	9	3
51	в нем	3	3
52	ей в	2	3
53	для того	4	3
54	заключается в	1	3
55	прежде всего	3	3
56	одной стороны	3	3
57	с точки	2	3
58	но не	4	3
59	наряду с	5	3
60	т е	2	3
61	тем самым	2	3
62	потому что	2	3
63	точки зрения	2	3
64	я и	6	3
65	и это	3	2
66	отношения к	1	2
67	например в	1	2
68	в сфере	1	2
69	в ее	18	2
70	в мире	7	2
71	является в	1	2
72	одних и	1	2
73	никак не	1	2
74	в xix	1	2
75	не нужно	1	2
76	в значительной	1	2
77	во всех	1	2
78	говорить о	2	2
79	если в	2	2
80	в общем	1	2
81	со стороны	3	2
82	отнюдь не	2	2
83	того что	1	2
84	и весьма	1	2
85	теперь в	2	2
86	в начале	1	2
87	и других	1	2
88	в его	11	2
89	из них	2	2
90	где бы	1	2
91	в виде	2	2
92	в силу	1	2
93	как раз	4	2
94	где в	1	2
95	и с	6	2
96	именно в	2	2
97	и тем	1	2
98	в жизни	8	2
99	в них	3	2
100	церкви и	1	2
101	не было	6	2
102	а не	14	2
103	в ряду	2	2
104	более чем	2	2
105	не столько	2	2
106	в тот	1	2
107	и достоевского	1	2
108	не менее	5	2
109	все это	3	2
110	не о	1	2
111	одна из	2	2
112	слова но	1	2
113	мысль о	2	2
114	да и	5	2
115	еще более	1	2
116	для нас	3	2
117	в частности	7	2
118	взгляда на	1	2
119	как на	2	2
120	том числе	1	2
121	также и	1	1
122	же как	2	1
123	и через	1	1
124	которого в	1	1
125	происходит и	1	1
126	и то	2	1
127	в себя	1	1
128	по преимуществу	3	1
129	к жизни	1	1
130	на две	1	1
131	к смерти	1	1
132	в годы	1	1
133	на нее	1	1
134	те же	2	1
135	не с	2	1
136	особенно в	1	1
137	и среди	1	1
138	еще в	1	1
139	ослабевает и	1	1
140	на себя	3	1
141	с ее	5	1
142	и ее	3	1
143	именно потому	1	1
144	и здесь	1	1
145	не означает	1	1
146	настоящее время	1	1
147	не относятся	1	1
148	и что	1	1
149	еще не	3	1
150	были бы	1	1
151	и на	3	1
152	он был	1	1
153	и силы	1	1
154	с того	2	1
155	и который	1	1
156	в различных	1	1
157	с его	5	1
158	бы она	1	1
159	различия между	2	1
160	не все	3	1
161	борьбе с	1	1
162	что и	4	1
163	не просто	1	1
164	и чем	1	1
165	м е	1	1
166	к внешнему	1	1
167	купцы и	1	1
168	судить по	1	1
169	человеческого бытия	2	1
170	на будущее	1	1
171	известном смысле	1	1
172	такова же	1	1
173	известно не	1	1
174	все же	2	1
175	обе эти	1	1
176	над собой	1	1
177	не являясь	1	1
178	в самом	5	1
179	в условиях	1	1
180	значение если	1	1
181	но как	1	1
182	в которой	1	1
183	во времени	1	1
184	бы и	4	1
185	что это	5	1
186	представляет собой	1	1
187	из этих	2	1
188	тот или	1	1
189	именно на	2	1
190	себя в	8	1
191	оказывается в	1	1
192	уже в	1	1
193	только на	5	1
194	в жертву	1	1
195	наш взгляд	4	1
196	личный опыт	1	1
197	не могла	5	1
198	т д	2	1
199	к миру	1	1
200	из этой	1	1
201	углубляется в	1	1
202	мы знаем	2	1
203	при виде	1	1
204	в восприятии	1	1
205	одно из	5	1
206	не как	2	1
207	наших глазах	1	1
208	века в	1	1
209	и только	2	1
210	какой бы	1	1
211	на наш	4	1
212	прежде чем	2	1
213	с собой	2	1
214	момент когда	1	1
215	от нее	1	1
216	бы это	1	1
217	в каждом	1	1
218	а затем	1	1
219	тем в	1	1
220	как автор	1	1
221	к ценностям	1	1
222	без того	1	1
223	ней и	1	1
224	или иной	2	1
225	когда-то и	1	1
226	его в	2	1
227	в душе	8	1
228	и тех	3	1
229	и иных	1	1
230	бы эти	1	1
231	например с	1	1
232	а с	3	1
233	о личности	1	1
234	что не	2	1
235	в это	3	1
236	т и	1	1
237	которая и	1	1
238	на свои	1	1
239	по обстоятельствам	1	1
240	выступает в	1	1
241	в этой	5	1
242	личности не	2	1
243	как и	11	1
244	и уже	4	1
245	с которым	1	1
246	среди окружающих	1	1
247	рождается и	1	1
248	когда в	3	1
249	и еще	1	1
250	настоящее и	1	1
251	бы оно	1	1
252	что если	1	1
253	в творчестве	1	1
254	в ходе	1	1
255	и при	1	1
256	бытия как	2	1
257	люди и	1	1
258	это ощущение	1	1
259	так же	3	1
260	представить себе	1	1
261	место в	2	1
262	поскольку они	1	1
263	мысли и	2	1
264	знаем что	1	1
265	в данном	2	1
266	он будет	2	1
267	теми же	1	1
268	что было	3	1
269	о соотношении	1	1
270	как к	1	1
271	и более	1	1
272	там где	1	1
273	распадается на	1	1
274	может идти	1	1
275	xix в	1	1
276	наиболее же	1	1
277	как живую	1	1
278	эта мысль	1	1
279	она не	5	1
280	что с	1	1
281	но для	1	1
282	можно судить	1	1
283	разгорается в	1	1
284	того чтобы	4	1
285	та или	1	1
286	она может	2	1
287	об отношении	1	1
288	никогда не	5	1
289	и всегда	1	1
290	казалось бы	6	1
291	в отношениях	1	1
292	в настоящее	1	1
293	этих двух	1	1
294	или иная	1	1
295	не более	2	1
296	и притом	1	1
297	в ком	1	1
298	как она	1	1
299	в г	2	1
300	другой стороны	1	1
301	и теперь	1	1
302	в этих	3	1
303	давно уже	2	1
304	на фоне	3	1
305	нет ничего	2	1
306	бытия не	1	1
307	только как	1	1
308	и внутренне	2	1
309	в момент	1	1
310	не та	1	1
311	при сохранении	1	1
312	что все	3	1
313	и жизнь	1	1
314	есть и	3	1
315	ли не	1	1
316	в других	4	1
317	числе и	1	1
318	с явлениями	1	1
319	всего что	1	1
320	к этой	1	1
321	ни на	1	1
322	и другие	5	1
323	вместе с	2	1
324	все еще	1	1
325	это в	1	1
326	что от	1	1
327	ее по	2	1
328	который не	1	1
329	гораздо более	2	1
