N	3gram	Nazirov_Tv_1	PoTuStor
1	на самом деле	2	4
2	с самого начала	3	4
3	до сих пор	1	3
4	по крайней мере	2	3
5	можно сказать что	2	3
6	нам кажется что	1	2
7	друг на друга	1	2
8	не могут быть	1	2
9	о том что	5	2
10	в конечном счете	4	2
11	форму и содержание	1	1
12	и того же	1	1
13	прежде всего на	1	1
14	дело в том	3	1
15	мы имеем в	1	1
16	мы по крайней	1	1
17	имеем в виду	1	1
18	одного и того	1	1
19	то же самое	1	1
20	в свою противоположность	2	1
21	бы то ни	1	1
22	и та же	2	1
23	а может быть	1	1
24	заранее обречены на	1	1
25	так ли это?	1	1
26	вместе с тем	1	1
27	вспомним хотя бы	1	1
28	полном согласии с	1	1
29	со всеми его	1	1
30	и со всеми	1	1
31	в данном случае	2	1
32	то ни было	1	1
33	что может быть	1	1
34	с одной стороны	1	1
35	внутренний протест против	1	1
36	в связи с	1	1
37	в году в	2	1
38	человека и все	1	1
39	как один из	1	1
40	каких бы то	1	1
41	в этот момент	1	1
42	в том что	6	1
43	а вместе с	1	1
44	говорить о том	1	1
45	одна и та	1	1
46	что иное как	1	1
47	таким образом и	1	1
48	в полном согласии	1	1
49	не что иное	1	1
50	на первый взгляд	1	1
