N	4gram	Vinokur_Vv_1	Stilisti
1	в то же время	5	7
2	одно и то же	1	4
3	в зависимости от того	1	2
4	одной и той же	2	2
5	не что иное как	4	2
6	в связи с этим	1	2
7	но в то же	3	2
8	и для того чтобы	1	2
9	есть не что иное	2	2
10	на то или иное	1	1
11	то для того чтобы	1	1
12	так а не иначе	1	1
13	в собственном смысле слова	1	1
14	уже не только о	1	1
15	одном и том же	1	1
16	о том что такое	4	1
17	в одном и том	1	1
18	и всего того что	1	1
19	как мы уже знаем	1	1
20	одного и того же	2	1
21	но вместе с тем	1	1
22	связь между языком и	1	1
