N	2gram	Berdyaev_M_2	KulturaY
1	потому что	12	25
2	и в	46	23
3	т е	4	22
4	не только	18	20
5	в том	3	19
6	в этом	20	18
7	и не	18	16
8	было бы	1	15
9	так как	8	15
10	может быть	21	15
11	ни к	1	15
12	точки зрения	2	14
13	все эти	1	12
14	если бы	3	12
15	у нас	11	12
16	в самом	5	12
17	но в	10	11
18	том что	4	11
19	того чтобы	4	11
20	по себе	2	10
21	в русском	4	10
22	а не	13	10
23	что в	4	10
24	самом деле	1	9
25	вопрос о	6	9
26	в сущности	2	9
27	хотя бы	7	9
28	то что	5	9
29	можно было	2	9
30	для того	5	9
31	не может	15	9
32	только потому	1	8
33	с точки	1	8
34	не в	9	8
35	и что	2	8
36	уже не	4	8
37	прежде всего	12	8
38	с другой	1	8
39	что это	6	7
40	в нашем	7	7
41	и с	3	7
42	но и	15	7
43	то же	5	6
44	и на	3	6
45	в этой	7	6
46	да и	2	6
47	это не	5	6
48	между тем	2	6
49	вопроса о	4	6
50	что не	2	6
51	и то	1	5
52	также и	4	5
53	я не	5	5
54	целый ряд	1	5
55	должна быть	1	5
56	и вот	5	5
57	что все	5	5
58	об этом	1	5
59	лишь в	2	5
60	и тем	1	5
61	и здесь	6	5
62	не могут	1	5
63	приводит к	1	5
64	в его	5	5
65	один из	5	5
66	тот же	2	5
67	что он	7	5
68	только в	3	5
69	должен быть	4	5
70	вместе с	2	5
71	что же	2	5
72	этого слова	1	5
73	все это	1	5
74	говорить о	1	4
75	хотя и	2	4
76	бы и	5	4
77	на то	1	4
78	в нем	22	4
79	так и	4	4
80	но все	1	4
81	должно быть	2	4
82	своего рода	1	4
83	можно ли	3	4
84	не имеет	4	4
85	ничего не	2	4
86	что на	1	4
87	к тому	5	4
88	но также	1	4
89	в пределах	1	4
90	от того	3	4
91	кто в	1	4
92	ни в	3	4
93	в конце	5	4
94	в них	3	4
95	не было	11	4
96	в разговоре	1	4
97	как бы	8	4
98	сказать что	3	4
99	была бы	1	4
100	к этому	1	4
101	так же	6	4
102	в сфере	2	3
103	того же	1	3
104	это и	3	3
105	как не	1	3
106	не все	1	3
107	как в	7	3
108	с этим	1	3
109	всего лишь	1	3
110	он не	10	3
111	на этом	2	3
112	что она	5	3
113	этого не	1	3
114	чем в	2	3
115	что такое	1	3
116	в которые	2	3
117	этого вопроса	2	3
118	и его	5	3
119	связи с	2	3
120	отличается от	1	3
121	в ней	11	3
122	а в	2	3
123	те же	5	3
124	для этого	4	3
125	вот почему	2	3
126	а также	1	3
127	можно встретить	1	3
128	что и	4	3
129	не надо	2	3
130	конце концов	1	3
131	того что	6	3
132	есть в	3	3
133	уже в	2	3
134	до конца	4	3
135	у него	22	3
136	тем что	3	3
137	но для	2	3
138	своей собственной	1	3
139	этом отношении	1	3
140	но это	8	3
141	не знает	9	3
142	это так	1	3
143	к этой	1	3
144	и это	5	3
145	смысле слова	3	2
146	отношения к	2	2
147	в обычном	2	2
148	же как	3	2
149	чтобы не	3	2
150	и потому	7	2
