N	2gram	Propp_Morf_1	Myshleni
1	то что	8	26
2	в этом	14	25
3	что он	4	25
4	потому что	3	21
5	таким образом	21	19
6	точки зрения	2	18
7	в том	6	18
8	не может	14	18
9	того чтобы	3	17
10	не только	4	16
11	и в	13	16
12	того что	3	16
13	так как	16	16
14	что в	8	16
15	том что	4	15
16	так же	3	15
17	для того	2	14
18	в сущности	3	13
19	между собой	4	13
20	сказать что	2	13
21	вопрос о	7	12
22	по отношению	4	12
23	в ходе	4	12
24	в области	1	12
25	и что	2	12
26	и не	12	12
27	и развития	1	12
28	отношению к	4	12
29	отношение к	1	11
30	в его	1	11
31	но не	4	10
32	в силу	1	10
33	было бы	3	10
34	как мы	6	10
35	только в	2	10
36	а не	11	10
37	с помощью	1	10
38	с точки	2	9
39	может быть	52	9
40	то же	7	8
41	должно быть	1	8
42	как и	3	8
43	если бы	2	8
44	в основе	1	8
45	о том	2	8
46	он не	3	8
47	как это	3	8
48	мы должны	3	8
49	и есть	2	7
50	представляет собой	17	7
51	но он	1	7
52	приводит к	2	7
53	так и	6	7
54	если мы	5	7
55	с другом	1	7
56	друг с	1	7
57	и на	1	6
58	могли бы	1	6
59	но в	2	6
60	в этой	2	6
61	связанные с	1	6
62	состоит в	2	6
63	в другом	2	6
64	но если	7	6
65	не в	3	6
66	этот вопрос	2	6
67	мы можем	2	6
68	у него	1	6
69	но и	4	6
70	в той	1	6
71	в какой	3	6
72	к тому	4	6
73	должна быть	1	5
74	что они	2	5
75	как в	3	5
76	говорит что	1	5
77	в которой	3	5
78	он должен	2	5
79	на все	1	5
80	из нее	1	5
81	тому что	4	5
82	что с	1	5
83	самого начала	1	5
84	в то	3	5
85	того как	2	5
86	ничего не	4	5
87	этом отношении	1	5
88	с самого	1	5
89	можно было	2	5
90	на вопрос	2	5
91	но мы	3	5
92	можно сказать	2	5
93	значит что	3	5
94	хотя бы	4	5
95	для него	1	5
96	тем что	4	5
97	как бы	3	5
98	это значит	1	5
99	влияет на	1	5
100	не является	3	5
101	только что	2	5
102	не знает	1	5
103	и то	1	4
104	уже по	1	4
105	ответить на	1	4
106	время как	3	4
107	к началу	4	4
108	все эти	2	4
109	отношение между	1	4
110	вообще не	1	4
111	при этом	1	4
112	подобно тому	6	4
113	и по	2	4
114	это не	6	4
115	такой же	1	4
116	стоит в	1	4
117	не имеет	2	4
118	в самых	2	4
119	могут быть	16	4
120	же самое	1	4
121	не есть	1	4
122	в пределах	3	4
123	еще не	3	4
124	не означает	1	4
125	в новой	1	4
126	развитие как	1	4
127	в качестве	5	4
128	так что	1	4
129	и их	2	4
130	то время	3	4
131	не могут	4	4
132	точек зрения	1	4
133	с другой	8	4
134	на этот	1	4
135	что мы	2	4
136	тому как	5	4
137	в состоянии	1	4
138	с этой	1	4
139	в целом	3	4
140	мы видим	13	4
141	в результате	7	4
142	по одному	1	4
143	самом деле	4	3
144	это и	2	3
145	между двумя	1	3
146	в первом	3	3
147	к целому	2	3
148	мы не	8	3
149	говорить о	3	3
150	вместо того	1	3
151	по своему	2	3
152	он может	2	3
153	но как	2	3
154	если в	5	3
155	ответ на	1	3
156	с этим	11	3
