1	с точки зрения	3	5
2	не может быть	3	4
3	то же самое	2	2
4	в свою очередь	1	2
5	в отличие от	5	2
6	тем не менее	1	2
7	в том что	4	1
8	в то же	7	1
9	что иное как	1	1
10	но уже в	1	1
11	при этом с	1	1
12	той или иной	2	1
13	одной стороны и	2	1
14	его в ту	1	1
15	то ни было	2	1
16	в такого рода	2	1
17	может быть в	1	1
18	с одной стороны	4	1
19	на самом деле	1	1
20	то же время	7	1
21	в самом деле	2	1
22	а не только	1	1
23	это как бы	1	1
24	не что иное	1	1
25	и у нас	1	1
26	в связи с	1	1
27	с жизнью на	1	1
28	в конечном счете	1	1
29	бы то ни	2	1
30	по аналогии с	1	1
31	как он выражается	1	1
32	в данном случае	4	1
33	может быть только	1	1
34	но отнюдь не	1	1
35	по отношению к	4	1
