N	2gram	Vinokur_St_3	Mirosoze
1	и в	25	46
2	в нем	1	22
3	у него	9	22
4	может быть	19	21
5	в этом	24	20
6	не только	12	18
7	и не	10	18
8	никогда не	2	18
9	для него	3	18
10	но и	9	15
11	не может	7	15
12	как и	4	13
13	а не	5	13
14	друг друга	1	12
15	прежде всего	10	12
16	потому что	5	12
17	и он	1	11
18	не было	4	11
19	но он	3	11
20	в ней	4	11
21	у нас	4	11
22	но в	5	10
23	он не	5	10
24	он был	3	9
25	не в	6	9
26	не знает	1	9
27	отношение к	4	8
28	в своем	1	8
29	так как	3	8
30	как бы	6	8
31	но это	4	8
32	связана с	4	7
33	как в	6	7
34	и к	4	7
35	в этой	14	7
36	человек не	1	7
37	хотя бы	1	7
38	и для	4	7
39	что он	19	7
40	вопрос о	1	6
41	судьба человека	1	6
42	что это	16	6
43	в русской	6	6
44	и здесь	3	6
45	так же	1	6
46	того что	5	6
47	жизни и	1	6
48	по преимуществу	1	5
49	то же	5	5
50	есть не	1	5
51	в самом	2	5
52	что она	1	5
53	что все	3	5
54	к другу	1	5
55	бога и	1	5
56	в своей	4	5
57	в отношении	2	5
58	в конце	6	5
59	и его	3	5
60	к тому	2	5
61	и это	5	5
62	те же	1	5
63	это не	7	5
64	один из	2	5
65	в его	12	5
66	для того	2	5
67	то что	12	5
68	и все	1	5
69	в духе	2	5
70	также и	1	4
71	с его	3	4
72	у них	1	4
73	думать что	1	4
74	чем у	1	4
75	в жизни	4	4
76	нет в	3	4
77	человек который	1	4
78	том что	15	4
79	с ума	1	4
80	его отношение	2	4
81	тому что	3	4
82	не имеет	2	4
83	того чтобы	1	4
84	перед ним	1	4
85	должен быть	2	4
86	что у	2	4
87	так и	5	4
88	для этого	2	4
89	означает что	1	4
90	в русском	2	4
91	уже не	3	4
92	что и	1	4
93	в свою	2	4
94	они не	1	4
95	до конца	3	4
96	т е	8	4
97	что в	19	4
98	все что	1	4
99	смысле слова	1	3
100	народ в	2	3
101	той же	2	3
102	всегда у	1	3
103	и на	6	3
104	в чем	4	3
105	что нет	1	3
106	как он	1	3
107	и она	1	3
108	в россии	6	3
109	в каждом	4	3
110	и с	4	3
111	его в	1	3
112	на почве	5	3
113	ни в	5	3
114	в них	5	3
115	и тогда	2	3
116	не мог	2	3
117	в такой	2	3
118	принадлежат к	1	3
119	того как	1	3
120	и всегда	2	3
121	он хочет	2	3
122	по своей	1	3
123	в трагедии	6	3
124	себя и	2	3
125	в образе	1	3
126	если бы	4	3
127	с ним	1	3
128	и должно	1	3
129	о том	8	3
130	не стоит	1	3
131	и во	2	3
132	жизни он	1	3
133	что они	2	3
134	в том	20	3
135	только в	6	3
136	есть в	2	3
137	не так	3	3
138	тем что	19	3
139	от того	2	3
140	до сих	2	3
141	к которому	3	3
142	русской истории	2	3
143	связано с	5	3
144	с которым	3	3
145	человек в	1	3
146	нет ничего	1	3
147	в творчестве	3	3
148	не знал	1	3
149	и нет	1	3
150	сих пор	2	3
151	теряет свою	1	3
152	отношении к	1	3
153	сказать что	4	3
154	есть и	1	3
155	в своих	8	3
156	я и	3	2
157	отношения к	1	2
158	в обычном	1	2
159	он считает	2	2
160	сам по	1	2
161	который должен	1	2
162	поэтому он	1	2
163	лишь одна	1	2
164	и за	2	2
165	его не	2	2
166	не был	2	2
167	во всех	2	2
168	россии и	2	2
169	то он	2	2
170	в центре	4	2
171	говорит что	5	2
172	от этого	1	2
173	то в	4	2
174	и этим	1	2
175	духа в	1	2
176	в которой	4	2
177	бы не	1	2
178	и тот	2	2
179	но на	1	2
180	и если	3	2
181	на его	4	2
182	этого вопроса	1	2
183	не к	1	2
184	одной и	1	2
185	на этом	3	2
186	лишь в	4	2
187	если я	2	2
188	а за	1	2
189	чем в	1	2
190	должно быть	1	2
191	самого последнего	1	2
192	в этих	11	2
193	точки зрения	7	2
194	нас не	2	2
195	ее в	2	2
196	место в	6	2
197	них есть	1	2
198	и той	1	2
199	но эта	1	2
200	которые в	2	2
201	о русском	2	2
202	сам он	2	2
203	соединение с	2	2
204	что есть	1	2
205	у русских	1	2
206	тогда когда	2	2
207	ничего не	4	2
208	к ней	4	2
209	связи с	3	2
210	что русский	2	2
211	к соединению	1	2
212	было не	1	2
213	нет ни	1	2
214	быть назван	2	2
215	приходит к	1	2
216	был для	1	2
217	свои силы	1	2
218	можно было	1	2
219	судьбу человека	1	2
220	по себе	1	2
221	в разных	1	2
222	вот почему	1	2
223	и что	3	2
224	в сущности	2	2
225	к нему	4	2
226	все время	2	2
227	которое было	1	2
228	своих и	1	2
229	мы видим	4	2
230	а лишь	1	2
231	он уже	1	2
232	между тем	6	2
233	так что	11	2
234	со своим	1	2
235	уже в	3	2
236	ни одного	1	2
237	и других	2	2
238	не о	1	2
239	не случайно	1	2
240	тут у	1	2
241	или иной	2	2
242	как у	1	2
243	этом пути	1	2
244	и русская	1	2
245	что не	2	2
246	не означает	1	2
247	народа как	1	2
248	вместе с	2	2
249	что за	1	2
250	такого рода	5	2
251	тому как	1	2
252	это есть	4	2
253	что же	1	2
254	от народа	1	2
255	но для	1	2
256	его с	1	2
257	бы в	1	2
258	а в	6	2
259	отношением к	1	2
260	но этот	1	2
261	это была	1	2
262	и эта	1	2
263	говорят о	1	1
264	и то	1	1
265	самом деле	2	1
266	он может	2	1
267	он хотел	3	1
268	раб или	1	1
269	перед лицом	1	1
270	народом и	2	1
271	должна быть	1	1
272	этом направлении	1	1
273	всего лишь	1	1
274	к народу	1	1
275	это совершенно	1	1
276	мы не	2	1
277	что если	2	1
278	ни у	1	1
279	выходит из	2	1
280	не была	2	1
281	еще до	1	1
282	говорить о	3	1
283	и над	1	1
284	х годов	2	1
285	и ее	2	1
286	еще у	2	1
287	и много	1	1
288	быть в	1	1
289	можно и	1	1
290	тем как	2	1
291	нет не	2	1
292	только тогда	2	1
293	не все	1	1
294	если в	2	1
295	в новом	2	1
296	нет и	2	1
297	за пределы	1	1
298	которые не	1	1
299	с этим	7	1
300	опыт который	1	1
301	это был	2	1
302	склонность к	1	1
303	вопросом о	1	1
304	и как	1	1
305	его к	2	1
306	в каком-то	1	1
307	для которого	1	1
308	как тему	1	1
309	не хочет	1	1
310	из жизни	1	1
311	в целом	4	1
312	формы в	2	1
313	все эти	3	1
314	то я	1	1
315	во многих	2	1
316	найти элементы	1	1
317	и народ	3	1
318	может творить	1	1
319	раз в	1	1
320	чем его	1	1
321	на то	5	1
322	ответом на	1	1
323	времен и	1	1
324	на западе	1	1
325	они в	1	1
326	и социальной	1	1
327	он должен	1	1
328	что нужно	2	1
329	не могли	1	1
330	у пушкина	22	1
331	в плане	2	1
332	что ни	1	1
333	кто этот	1	1
334	него было	1	1
335	это один	1	1
336	но все	2	1
337	это идет	1	1
338	что является	1	1
339	россии по	1	1
340	совпадают с	1	1
341	в другом	3	1
342	об этом	5	1
343	говорил что	5	1
344	самим собой	1	1
345	жизнь но	1	1
346	на протяжении	4	1
347	было бы	7	1
348	и тем	4	1
349	любви в	1	1
350	он принадлежит	1	1
351	он начал	1	1
352	к которым	1	1
353	этого не	1	1
354	с тем	4	1
355	к последней	1	1
356	в развитии	2	1
357	на себя	1	1
358	но я	1	1
359	которую он	2	1
360	бы на	1	1
361	что такое	7	1
362	можно найти	2	1
363	эта тема	2	1
364	в котором	5	1
365	с точки	4	1
366	понимал что	2	1
367	в которых	2	1
368	своего рода	3	1
369	ответить на	1	1
370	одном из	1	1
371	и более	3	1
372	нас к	2	1
373	иной раз	1	1
374	ведет нас	1	1
375	но они	2	1
376	это чувство	1	1
377	словами о	1	1
378	как о	2	1
379	столкновение двух	1	1
380	к этим	2	1
381	и именно	1	1
382	к такому	2	1
383	почве этого	1	1
384	это с	1	1
385	судьба и	1	1
386	или как	1	1
387	мыслей и	1	1
388	с этих	1	1
389	не интересовала	1	1
390	того же	2	1
391	замечательно что	1	1
392	находит себе	1	1
393	до того	1	1
394	исторического процесса	2	1
395	между народом	1	1
396	не потому	2	1
397	в нее	1	1
398	бы он	1	1
399	отличается от	4	1
400	но также	2	1
401	как человек	1	1
402	своего отца	1	1
403	для себя	1	1
404	всего этого	1	1
405	в ее	1	1
406	из трагедии	2	1
407	к нам	1	1
408	народа то	1	1
409	не человек	1	1
410	он с	1	1
411	в пределах	1	1
412	приводит к	1	1
413	как с	1	1
414	и сам	1	1
415	на нее	2	1
416	которая была	1	1
417	она была	1	1
418	но у	1	1
419	была в	1	1
420	разрыв с	1	1
421	в эпоху	1	1
422	на что	2	1
423	в словах	3	1
424	со словами	1	1
425	связанная с	1	1
426	находится в	1	1
427	а также	4	1
428	в самой	1	1
429	на вопрос	3	1
430	что такой	1	1
431	и который	1	1
432	подходил к	1	1
433	может не	1	1
434	в значительной	1	1
435	не выходит	1	1
436	он берет	1	1
437	это в	4	1
438	идет к	1	1
439	был обращен	1	1
440	раньше чем	3	1
441	во втором	2	1
442	хотел бы	1	1
443	и только	2	1
444	кто в	1	1
445	сойти с	1	1
446	человека как	1	1
447	но так	1	1
448	которым он	1	1
449	ли он	1	1
450	в какой	3	1
451	это очень	1	1
452	тема в	1	1
453	за себя	2	1
454	одних и	1	1
455	его отношении	1	1
456	в уста	2	1
457	со всеми	1	1
458	которому он	1	1
459	и у	2	1
460	я имею	3	1
461	и они	1	1
462	не из	1	1
463	не дает	1	1
464	но есть	2	1
465	а потому	2	1
466	смысле этого	1	1
467	писателем его	1	1
468	но что	1	1
469	соединения в	1	1
470	этом отношении	4	1
471	царской властью	1	1
472	протяжении всего	1	1
473	как можно	2	1
474	состоянию в	1	1
475	и исторический	1	1
476	не были	1	1
477	возможно что	1	1
478	пришли к	2	1
479	на примере	1	1
480	с другой	5	1
481	характерно для	1	1
482	о пушкине	1	1
483	такое же	2	1
484	а с	2	1
485	на которые	1	1
486	окружающей его	1	1
487	к более	1	1
488	и политического	1	1
489	может жить	1	1
490	также в	1	1
491	перед которой	1	1
492	что случилось	1	1
493	о чем	1	1
494	других произведениях	1	1
495	и ему	1	1
496	звучат слова	1	1
497	собою лишь	1	1
498	люди в	1	1
499	связь с	4	1
500	этап в	2	1
501	ни на	2	1
502	на самом	1	1
503	все говорили	1	1
504	независимо от	5	1
505	этот смысл	1	1
506	требует от	1	1
507	не сразу	2	1
508	в разговоре	1	1
509	решение вопроса	1	1
510	ней он	1	1
511	xix века	4	1
512	видит в	1	1
513	это приводит	1	1
514	в той	1	1
515	он становится	1	1
516	хотел этим	1	1
517	это за	2	1
518	а потом	1	1
519	вражда к	1	1
520	века и	1	1
521	такие явления	1	1
522	него есть	2	1
523	его другим	1	1
524	смысл в	1	1
525	этого слова	2	1
526	с этой	3	1
527	этой трагедии	4	1
528	все это	8	1
529	что выше	1	1
530	которые были	2	1
531	во мне	1	1
532	он забывает	1	1
533	не нашли	1	1
534	и народом	2	1
535	к будущему	1	1
536	формы и	1	1
537	на большую	1	1
538	своей собственной	1	1
539	а к	1	1
540	когда он	1	1
541	целый ряд	1	1
542	он много	1	1
543	той или	1	1
544	конце концов	3	1
545	только что	2	1
546	все они	3	1
547	на такой	1	1
548	а о	1	1
549	в эволюции	1	1
550	они как	1	1
551	была бы	4	1
552	ко всему	1	1
553	из этого	4	1
554	в свое	1	1
555	были и	2	1
556	но эти	1	1
557	к этой	2	1
558	к этому	3	1
559	как на	6	1
560	которая не	1	1
