N	2gram	Medvedev_I_1	NovoeSre
1	и в	1	16
2	и не	2	11
3	что в	2	9
4	жизни и	1	8
5	он не	2	8
6	в этом	2	7
7	никогда не	1	6
8	должен быть	2	5
9	все это	1	5
10	в них	1	4
11	с другой	1	3
12	это было	1	3
13	в основе	1	3
14	так и	1	2
15	и с	3	2
16	я не	1	2
17	все эти	1	2
18	себя в	1	2
19	и творчества	1	2
20	другой стороны	1	2
21	по существу	1	2
22	того чтобы	1	2
23	а в	1	2
24	во многом	1	1
25	говорить о	1	1
26	в значительной	1	1
27	от этого	1	1
28	человеке и	1	1
29	для того	1	1
30	не случайно	1	1
31	тем что	1	1
32	от нее	1	1
33	них не	1	1
34	а по	1	1
35	и еще	1	1
36	в эту	1	1
37	только для	1	1
38	и очень	1	1
39	оба они	2	1
40	а также	1	1
41	того же	1	1
42	есть только	1	1
