N	2gram	Tiupa_Narr_2	Dialekti
1	и не	14	27
2	а не	17	26
3	точки зрения	5	25
4	и т	2	24
5	и в	13	24
6	не только	26	23
7	не может	8	19
8	не просто	1	18
9	ничего не	6	17
10	и что	2	15
11	что все	1	14
12	с точки	2	14
13	то что	8	14
14	в таком	3	14
15	таким образом	5	13
16	что он	5	13
17	вовсе не	2	13
18	может быть	10	13
19	и даже	3	13
20	что это	4	12
21	есть только	1	12
22	того что	6	12
23	нечто существующее	1	11
24	не менее	4	11
25	не имеет	2	11
26	что же	1	11
27	таком случае	1	10
28	отнюдь не	4	10
29	тем не	5	10
30	только не	2	10
31	не существует	1	10
32	есть не	1	9
33	что она	2	9
34	ни в	1	9
35	стало быть	2	9
36	но и	15	9
37	в этом	13	8
38	и как	1	8
39	так что	1	8
40	в виде	2	8
41	прежде всего	6	8
42	что мы	1	8
43	том что	13	8
44	если же	1	8
45	это и	1	7
46	в самом	2	7
47	как и	4	7
48	нет никакого	1	7
49	никогда не	6	7
50	как раз	3	7
51	потому что	2	7
52	ясно что	1	7
53	в виду	1	7
54	другими словами	1	7
55	только на	2	7
56	но что	1	7
57	ничем не	1	7
58	я уже	2	7
59	и нет	1	7
60	что в	4	7
61	самом деле	3	6
62	должна быть	2	6
63	что иное	1	6
64	я не	5	6
65	иное как	1	6
66	то же	4	6
67	об этом	4	6
68	и с	1	6
69	превращается в	2	6
70	оно не	2	6
71	если бы	4	6
72	что и	2	6
73	о том	5	6
74	даже не	1	6
75	не на	1	6
76	и все	4	6
77	все это	1	6
78	от всего	2	6
79	не что	1	6
80	вопрос о	1	5
81	хотя и	5	5
82	и к	6	5
83	он не	5	5
84	так и	9	5
85	было бы	2	5
86	мы не	2	5
87	в том	14	5
88	можно ли	1	5
89	в то	5	5
90	и притом	1	5
91	и его	3	5
92	только в	11	5
93	уже не	4	5
94	одно из	2	5
95	как же	1	5
96	что не	1	5
97	как это	4	5
98	с этой	3	5
99	но это	2	5
100	или не	1	5
101	жизни и	4	5
102	как на	2	5
103	все остальное	1	4
104	чего не	1	4
105	и ничего	1	4
106	время как	1	4
107	говорить о	2	4
108	мы и	1	4
109	в чем	2	4
110	и мира	4	4
111	субъекта и	1	4
112	подобно тому	2	4
113	собственно говоря	2	4
114	это не	3	4
115	истории и	1	4
116	на первый	1	4
117	от себя	1	4
118	тому что	3	4
119	что есть	1	4
120	как о	2	4
121	не могут	1	4
122	то время	1	4
123	жизнь и	1	4
124	о нем	3	4
125	к тому	9	4
126	с другой	5	4
127	для него	4	4
128	или иной	3	4
129	говорит о	2	4
130	у нас	2	4
131	так же	2	4
132	тому как	2	4
133	сознания и	1	4
134	хотя бы	2	4
135	только что	2	4
136	сказать что	3	4
137	той же	2	3
138	зависимости от	1	3
139	же она	2	3
140	за пределы	1	3
141	мере в	2	3
142	в одной	1	3
143	что именно	1	3
144	в своем	6	3
145	все же	6	3
146	перед нами	4	3
147	все эти	3	3
148	тем более	2	3
149	на то	2	3
150	в нем	5	3
151	в силу	4	3
152	не будет	2	3
153	того или	3	3
154	должно быть	1	3
155	как все	1	3
156	и без	1	3
157	миф о	1	3
158	мир и	1	3
159	не в	8	3
160	знания но	1	3
161	раз и	1	3
162	тем самым	5	3
163	она не	1	3
164	одна из	3	3
165	в основе	1	3
166	но она	1	3
167	на себя	1	3
168	же время	3	3
169	знание а	1	3
170	а мы	1	3
171	и о	1	3
172	быть может	2	3
173	утверждает что	1	3
174	это было	1	3
175	к нему	1	3
176	все время	1	3
177	быть и	1	3
178	с одной	5	3
179	есть в	1	3
180	то и	3	3
181	мир в	1	3
182	не говорит	1	3
183	тем что	1	3
184	для того	1	3
185	именно как	1	3
186	в каком	1	3
187	его как	1	3
188	ни о	1	3
189	одной стороны	5	3
190	как бы	6	3
191	на свете	1	3
192	внешний мир	1	3
193	если не	2	3
194	и от	1	3
195	мира и	3	3
196	не знает	1	3
197	я вижу	1	3
198	все что	4	3
199	в слове	3	3
200	также и	1	2
201	например в	1	2
202	же как	2	2
203	в частности	11	2
204	от самого	1	2
205	прошлое и	1	2
206	в зависимости	1	2
207	его не	1	2
208	если я	1	2
209	которое не	2	2
210	знания это	1	2
211	что можно	1	2
212	и он	2	2
213	в ней	2	2
214	и говорить	1	2
215	начало и	1	2
216	двух или	2	2
217	событие как	1	2
218	еще не	2	2
219	с его	3	2
220	но не	3	2
221	мир есть	1	2
222	и уж	1	2
223	что история	1	2
224	сознания в	1	2
225	но в	6	2
226	то в	1	2
227	из этих	2	2
228	в себе	8	2
229	тому же	4	2
230	при этом	14	2
231	что у	2	2
232	может существовать	1	2
233	и по	3	2
234	на этом	1	2
235	людей и	1	2
236	и уже	4	2
237	несмотря на	2	2
238	всяком случае	1	2
239	от его	2	2
240	настоящее и	1	2
241	их в	1	2
242	с которой	1	2
243	если их	1	2
244	но они	1	2
245	история в	1	2
246	иной раз	1	2
247	на котором	1	2
248	иметь в	1	2
249	а для	1	2
250	того и	1	2
251	о ней	3	2
252	ничто не	1	2
253	не вполне	2	2
254	у меня	2	2
255	личности в	2	2
256	его внутренней	2	2
257	истории не	1	2
258	той или	3	2
259	гласит что	1	2
260	для себя	3	2
261	как мы	1	2
262	более не	1	2
263	меня в	1	2
264	и сами	1	2
265	и когда	3	2
266	отличаться от	1	2
267	на что	1	2
268	и смерть	1	2
269	и здесь	2	2
270	никак не	3	2
271	и во	1	2
272	нет это	1	2
273	однако что	1	2
274	грань между	1	2
275	в его	6	2
276	себя но	2	2
277	и она	1	2
278	повествование о	1	2
279	отца и	1	2
280	даже если	1	2
281	но то	1	2
282	и тем	5	2
283	со всеми	2	2
284	себя в	2	2
285	не можем	1	2
286	и у	4	2
287	ничего нельзя	1	2
288	же в	4	2
289	и чисто	1	2
290	нового времени	2	2
291	никто не	1	2
292	не о	1	2
293	у него	6	2
294	так или	1	2
295	со стороны	6	2
296	или иначе	2	2
297	говорить и	1	2
298	именно в	2	2
299	а именно	1	2
300	бытия в	2	2
301	но о	1	2
302	только к	3	2
303	быть только	1	2
304	у человека	1	2
305	зависит от	2	2
306	однако не	2	2
307	как именно	1	2
308	здесь именно	1	2
309	нет никаких	1	2
310	исходит от	1	2
311	и потому	1	2
312	и ничто	1	2
313	в данном	10	2
314	но для	2	2
315	и для	3	2
316	природе как	1	2
317	или в	1	2
318	себя самого	1	2
319	для нас	2	2
320	бы в	2	2
321	а в	9	2
322	требует чтобы	1	2
323	может и	1	2
324	о себе	1	2
325	или иного	3	2
326	бы его	1	2
327	из этого	1	2
328	точно так	2	2
329	а я	1	2
330	ее в	1	2
331	в своих	2	2
332	они не	2	2
333	который не	1	2
334	во всяком	1	2
335	этой точки	1	2
336	верующего сознания	1	1
337	так значит	1	1
338	говоря о	1	1
339	отношения к	1	1
340	и бесконечно	1	1
341	начинается с	1	1
342	личности мы	1	1
343	мир где	1	1
344	этом отношении	3	1
345	на самом	2	1
346	он может	2	1
347	есть же	1	1
348	их гибели	1	1
349	знания не	1	1
350	и так	1	1
351	к другому	2	1
352	по преимуществу	1	1
353	ведь и	1	1
354	едва ли	3	1
355	если к	1	1
356	и должен	1	1
357	по его	2	1
358	не слышим	1	1
359	а как	3	1
360	говоря и	1	1
361	опоры на	1	1
362	о субъекте	1	1
363	и самого	1	1
364	человеческого опыта	2	1
365	проявляет себя	1	1
366	число раз	1	1
367	истории в	4	1
368	во всех	1	1
369	еще одним	1	1
370	одна за	1	1
371	о слове	1	1
372	конечном счете	3	1
373	в общем	1	1
374	тогда как	15	1
375	себе и	2	1
376	из таких	1	1
377	это мир	1	1
378	чем же	1	1
379	если она	1	1
380	опирается на	1	1
381	как образ	2	1
382	стороны и	1	1
383	как к	3	1
384	о жизни	4	1
385	этой стороны	1	1
386	опытом и	1	1
387	кто не	1	1
388	и наконец	1	1
389	более или	1	1
390	себе не	1	1
391	это их	1	1
392	со своей	2	1
