N	3gram	Bakhtin_Fr_5	PoTuStor
1	с точки зрения	2	6
2	по ту сторону	1	4
3	на самом деле	4	4
4	до сих пор	3	3
5	не может быть	2	3
6	можно сказать что	2	3
7	в большинстве случаев	2	3
8	а потому и	1	2
9	так же как	4	2
10	в самом деле	1	2
11	но в общем	2	2
12	в его целом	1	2
13	все то что	1	2
14	о том что	1	2
15	в конечном счете	1	2
16	не нуждается в	2	2
17	и того же	1	1
18	при всей ее	1	1
19	на этом моменте	1	1
20	тела и с	1	1
21	и связанные с	2	1
22	дело в том	2	1
23	во всех областях	1	1
24	одного и того	1	1
25	подлежит конечно никакому	1	1
26	то же самое	2	1
27	сих пор еще	2	1
28	же как и	2	1
29	как мы сказали	1	1
30	коем случае нельзя	1	1
31	ни в коем	1	1
32	в основе их	1	1
33	и та же	1	1
34	в этом отношении	5	1
35	совершенно так же	2	1
36	можно было бы	2	1
37	не подлежит конечно	1	1
38	основе их лежит	1	1
39	вместе с тем	1	1
40	только для того	1	1
41	в коем случае	1	1
42	так как он	1	1
43	со всеми его	2	1
44	находится во власти	1	1
45	в данном случае	2	1
46	как раз того	1	1
47	в связи с	5	1
48	в году в	1	1
49	конечно никакому сомнению	1	1
50	в себя и	1	1
51	говорили что на	1	1
52	характерно для всех	1	1
53	если мы отвлечемся	1	1
54	но вместе с	1	1
55	конечно не случайно	1	1
56	но вернемся к	2	1
57	нуждается в особом	1	1
58	в том что	6	1
59	и таким образом	1	1
60	мы не можем	1	1
61	что в этой	1	1
62	так и в	1	1
63	связи с этим	3	1
64	одна и та	1	1
65	и в эпоху	4	1
66	и прежде всего	3	1
67	что иное как	1	1
68	и в известной	1	1
69	связанные с ним	1	1
70	не что иное	1	1
71	друг с другом	2	1
72	и мы можем	1	1
73	для того чтобы	6	1
74	чрезвычайно характерно для	1	1
75	той или иной	1	1
