N	3gram	Vinokur_Vv_1	KFilosof
1	по отношению к	4	21
2	не может быть	8	11
3	с точки зрения	2	10
4	отношению к нему	1	4
5	на самом деле	1	3
6	в этом смысле	10	3
7	того или иного	1	3
8	и в этом	3	3
9	может быть в	2	3
10	и хх вв	1	2
11	со стороны ее	1	2
12	имеем в виду	1	2
13	в соответствии с	2	2
14	бы то ни	1	2
15	то или иное	1	2
16	то ни было	1	2
17	во всех отношениях	1	2
18	бы и не	1	2
19	то же время	5	2
20	не со стороны	1	2
21	вопрос о том	5	2
22	той или иной	1	2
23	в то же	5	2
24	тем не менее	8	2
25	в том что	12	2
26	и говорить о	1	1
27	но во всяком	1	1
28	именно в этой	1	1
29	он должен быть	1	1
30	мы говорим о	1	1
31	со стороны своего	1	1
32	того что в	1	1
33	потому что в	1	1
34	и не нужно	1	1
35	и того же	2	1
36	дело лишь с	1	1
37	в настоящее время	1	1
38	имеют дело с	1	1
39	в средние века	1	1
40	в том же	1	1
41	тогда когда оно	1	1
42	влечет за собой	2	1
43	как если бы	1	1
44	только в том	2	1
45	в лучшем случае	1	1
46	в зависимости от	1	1
47	хотя бы и	2	1
48	тем или иным	1	1
49	и именно в	3	1
50	от себя не	1	1
51	имеет дело лишь	1	1
52	то что этот	1	1
53	самого по себе	1	1
54	и не в	1	1
55	вместе с тем	3	1
56	и тем не	3	1
57	и то что	2	1
58	может быть и	2	1
59	ту или иную	1	1
60	и та область	1	1
61	не потому что	1	1
62	в первом случае	2	1
63	не есть еще	1	1
64	но в то	3	1
65	в самом своем	2	1
66	стороны своего содержания	1	1
67	все это можно	1	1
68	на задний план	1	1
69	смысле этого слова	2	1
70	отсюда следует что	1	1
71	в известном смысле	3	1
72	в одном случае	1	1
73	не в том	2	1
74	в нем не	1	1
75	как момент в	1	1
76	дело в том	2	1
77	вытекает из самого	1	1
78	во всяком случае	3	1
79	здесь нет никакого	1	1
80	том что между	1	1
81	на этом пути	1	1
82	для того чтобы	21	1
83	в себя всю	1	1
84	бы оно было	1	1
85	ясно и то	1	1
86	в значительной степени	1	1
87	же самое что	2	1
88	что может быть	3	1
89	в свою очередь	1	1
90	само по себе	3	1
91	смысле слова в	1	1
92	но в этом	1	1
93	одного и того	2	1
94	не в этом	1	1
95	во второй половине	2	1
96	и не потому	1	1
97	отсюда ясно что	1	1
98	когда мы говорим	1	1
99	еще не значит	1	1
100	с ней то	1	1
101	к тому что	1	1
102	не значит что	1	1
103	только в этом	1	1
104	в соответствующих местах	1	1
105	если бы оно	1	1
106	это может быть	1	1
107	дело не в	1	1
108	в этом ее	1	1
109	во всех его	1	1
110	а именно в	1	1
111	только тогда когда	1	1
112	то же самое	2	1
113	на том что	2	1
114	уже не только	1	1
