N	4gram	Medvedev_V_1	Problema
1	в то же время	5	3
2	в художественном творчестве и	1	2
3	и в то же	3	2
4	не может быть признана	1	1
5	никогда не может быть	1	1
6	мы имеем дело с	1	1
7	с одной стороны и	2	1
8	всего следует отметить что	1	1
9	не может обойтись без	1	1
10	и не может быть	2	1
11	отнюдь не может быть	1	1
12	ни в какой мере	1	1
13	прежде всего следует отметить	1	1
14	в то время как	1	1
15	именно в том что	1	1
16	романе война и мир	1	1
17	не говоря уже о	1	1
18	то же время она	1	1
19	но в то же	1	1
20	иметь в виду что	1	1
21	следует однако отметить что	1	1
22	в том смысле что	1	1
23	не чем иным как	1	1
24	хотя бы и в	1	1
25	в романе война и	1	1
26	не в том что	2	1
