N	3gram	Medvedev_S_1	Problema
1	в том что	2	9
2	сама по себе	1	8
3	то же самое	1	7
4	в связи с	1	7
5	во всяком случае	1	6
6	и в этом	1	6
7	по крайней мере	1	5
8	в то же	1	4
9	это вовсе не	1	4
10	не было бы	1	3
11	в конце концов	2	3
12	ровно ничего не	1	2
13	в настоящее время	1	2
14	о том как	1	2
15	на первый план	1	2
16	но только в	1	2
17	только то что	1	2
18	друг от друга	1	2
19	дело не в	2	2
20	в том и	1	1
21	в данном стихотворении	1	1
22	и заключается что	2	1
23	в процессе живого	1	1
24	хотя бы о	1	1
25	с одной стороны	1	1
26	и потому его	1	1
27	благодаря тому что	1	1
28	том и заключается	1	1
29	далеко еще не	1	1
30	как бы они	1	1
31	быть не только	1	1
32	сказать и о	1	1
33	это и есть	1	1
34	тем более не	1	1
