N	3gram	Potebnia_M_4	UchenyiS
1	не может быть	5	4
2	с другой стороны	1	3
3	то же время	3	3
4	в то же	3	3
5	а между тем	4	2
6	не могут быть	2	2
7	то же самое	4	2
8	до сих пор	4	2
9	хотя бы и	2	2
10	в этом отношении	1	2
11	на каждом шагу	1	2
12	в том что	7	2
13	по крайней мере	5	2
14	и то что	4	2
15	еще одно замечание	1	1
16	другой стороны в	1	1
17	так или иначе	2	1
18	не в том	2	1
19	не есть слово	1	1
20	то что все	1	1
21	очевидно что и	1	1
22	не только к	1	1
23	это было бы	1	1
24	как нам представляется	1	1
25	по меньшей мере	1	1
26	равно как и	2	1
27	он может быть	1	1
28	в этом случае	5	1
29	если не исключительно	1	1
30	в течение многих	1	1
31	и не только	1	1
32	художественное произведение состоит	1	1
33	самом деле есть	1	1
34	сам по себе	4	1
35	же самое что	1	1
36	в той же	1	1
37	никогда не может	1	1
38	бы это было	1	1
39	само по себе	5	1
40	не было бы	1	1
41	с тем что	4	1
42	в данное время	1	1
43	в которой все	1	1
44	можно сказать что	4	1
45	у нас в	1	1
46	на то что	4	1
47	и быть не	1	1
48	произведение состоит из	1	1
49	конечно не в	1	1
50	только в этом	1	1
51	что мы можем	1	1
52	быть не может	1	1
53	в данном случае	2	1
54	с одной стороны	1	1
55	на первый взгляд	1	1
