N	3gram	Potebnia_M_2	VrazhdaK
1	то же время	2	4
2	в то же	2	4
3	в связи с	1	3
4	не может быть	2	2
5	в том что	7	2
6	а между тем	4	1
7	то что я	1	1
8	далеко не все	1	1
9	мыслей и чувств	1	1
10	в нем самом	1	1
11	в этом смысле	2	1
12	до сих пор	4	1
13	и не может	1	1
14	не было бы	4	1
15	но это не	1	1
16	по крайней мере	5	1
17	во время сна	1	1
18	одно и то	2	1
19	о том как	1	1
20	ответ на это	1	1
21	и то же	2	1
22	и в этом	1	1
23	или по крайней	2	1
24	все же не	1	1
25	во всяком случае	7	1
26	что у него	1	1
27	с другой стороны	2	1
28	тем не менее	5	1
29	что они не	1	1
30	ее тем что	1	1
31	в то время	4	1
32	в свою очередь	6	1
33	о том что	1	1
34	и в самом	1	1
35	не знали что	1	1
36	еще не знал	1	1
37	на то что	3	1
38	с первого раза	2	1
39	то что они	1	1
40	не только от	1	1
41	что для нас	1	1
