N	2gram	Savitsky_E_1	RusskieA
1	и в	37	29
2	т е	9	24
3	что в	21	22
4	в том	11	22
5	том что	6	22
6	как бы	6	18
7	в других	2	15
8	состоит в	1	15
9	и другие	1	14
10	может быть	6	13
11	так как	7	13
12	как и	7	11
13	в этом	12	11
14	одна из	1	11
15	и с	2	10
16	в этот	1	10
17	не только	18	10
18	в некоторых	2	9
19	а на	1	9
20	во многих	4	9
21	а в	2	9
22	о том	3	9
23	с в	2	8
24	но и	14	8
25	ее в	3	8
26	или на	1	8
27	данном случае	2	7
28	или в	2	7
29	мы видели	3	7
30	как в	3	7
31	для нас	4	6
32	таким образом	2	6
33	мы не	4	6
34	того чтобы	6	6
35	с тем	3	6
36	вместе с	2	6
37	и на	6	6
38	для того	6	6
39	при этом	1	6
40	же в	2	6
41	в данном	3	6
42	для этого	1	5
43	не может	9	5
44	т д	1	5
45	с ней	1	5
46	но не	5	5
47	или же	1	5
48	к жизни	1	5
49	потому что	3	5
50	и т	1	5
51	то что	6	5
52	и что	2	5
53	на земле	1	5
54	представление о	2	5
55	но в	14	5
56	что по	1	4
57	вопрос о	4	4
58	так же	9	4
59	и все	2	4
60	в виде	5	4
61	к нему	2	4
62	в другие	1	4
63	не в	5	4
64	как это	4	4
65	то и	1	4
66	именно в	4	4
67	видели что	1	4
68	в таком	3	4
69	а затем	1	4
70	то же	15	4
71	тогда когда	2	4
72	у нас	1	4
73	на них	2	4
74	уже не	1	4
75	в русских	1	4
76	в них	3	4
77	далеко не	2	4
78	же как	5	4
79	том же	1	4
80	этих случаях	1	4
81	а также	7	4
82	а не	2	4
83	в которых	3	4
84	из них	3	4
85	все эти	1	3
86	такие же	1	3
87	главным образом	2	3
88	как мы	5	3
89	в качестве	14	3
90	чтобы на	1	3
91	только тогда	1	3
92	связь с	1	3
93	в этой	2	3
94	что это	2	3
95	во всех	6	3
96	в эту	2	3
97	а именно	2	3
98	в ее	8	3
99	но если	5	3
100	между тем	8	3
101	что для	1	3
102	и других	2	3
103	в этих	2	3
104	было бы	8	3
105	не имеет	4	3
106	нас к	2	3
107	отличие от	1	3
108	с другими	2	3
109	и от	3	3
110	и о	1	3
111	или ее	1	3
112	тем что	3	3
113	в котором	2	3
114	на этом	1	3
115	того что	7	3
116	в отличие	1	3
117	она не	2	3
118	выше мы	1	3
119	и по	5	3
120	когда мы	1	2
121	ней в	1	2
122	что такие	1	2
123	тогда как	1	2
124	в европе	1	2
125	говорит о	3	2
126	прежде всего	9	2
127	то время	1	2
128	и для	3	2
129	не к	2	2
130	и ее	1	2
131	мы здесь	1	2
132	для них	2	2
133	приводит нас	2	2
134	не менее	1	2
135	кроме того	1	2
136	к числу	1	2
137	есть в	2	2
138	там где	3	2
139	идут в	1	2
140	та же	1	2
141	в своей	8	2
142	все же	1	2
143	об этом	1	2
144	влияние на	2	2
145	одно из	1	2
146	не можем	2	2
147	представляет собой	3	2
148	принадлежат к	1	2
149	жизни в	3	2
150	между собой	2	2
151	это в	1	2
152	с этой	6	2
153	а через	1	2
154	по этому	1	2
155	с этим	2	2
156	к ней	4	2
157	многих случаях	1	2
158	что при	1	2
159	что на	2	2
160	в то	16	2
