N	2gram	Ircho_Kome_3	VLabPisa
1	таким образом	12	27
2	в этом	8	26
3	и в	22	25
4	и т	4	24
5	не только	5	22
6	может быть	6	21
7	во сне	1	21
8	хотя бы	4	20
9	и не	21	19
10	не может	3	17
11	т е	16	17
12	т д	1	15
13	в его	8	15
14	этом отношении	2	13
15	в том	12	13
16	прежде всего	5	13
17	в частности	3	12
18	как это	5	12
19	все это	5	12
20	в силу	2	11
21	вот что	1	11
22	с другой	4	11
23	из них	5	11
24	в качестве	2	10
25	не могут	2	10
26	о том	8	10
27	то же	7	9
28	что в	5	9
29	как видим	2	9
30	об этом	7	9
31	по этому	1	9
32	т п	4	9
33	но и	4	9
34	к этому	6	9
35	в своем	8	8
36	все эти	1	8
37	на основании	2	8
38	другой стороны	2	8
39	могут быть	1	8
40	во всех	2	7
41	по отношению	5	7
42	из этих	1	7
43	вот например	1	7
44	было бы	3	7
45	как и	3	7
46	том что	13	7
47	в конечном	2	7
48	этому поводу	1	7
49	говорит о	1	7
50	не было	2	7
51	а не	4	7
52	вместе с	9	7
53	из современных	1	7
54	отношению к	3	7
55	в зависимости	1	6
56	более или	1	6
57	в себе	4	6
58	в нем	3	6
59	это не	2	6
60	или менее	1	6
61	их в	3	6
62	том же	1	6
63	и его	6	6
64	в то	6	6
65	так и	4	6
66	между тем	2	6
67	у него	4	6
68	в основном	1	6
69	то что	4	6
70	одним из	2	5
71	в их	2	5
72	зависимости от	1	5
73	конечном счете	2	5
74	очевидно что	1	5
75	все же	4	5
76	в пределах	2	5
77	не в	4	5
78	тому что	2	5
79	же время	5	5
80	связи с	5	5
81	приводит к	3	5
82	один из	3	5
83	действующих лиц	1	5
84	следует понимать	1	5
85	он говорит	2	5
86	как бы	3	5
87	не является	4	5
88	в результате	2	5
89	сказать что	1	5
90	только в	1	5
91	с его	3	4
92	в этой	3	4
93	перед нами	1	4
94	когда он	4	4
95	в самом	9	4
96	в целом	3	4
97	в статье	1	4
98	что все	1	4
99	них не	1	4
100	в них	3	4
101	никогда не	3	4
102	к тому	6	4
103	должен быть	2	4
104	в ее	3	4
105	это только	1	4
106	можно сказать	1	4
107	и подобных	1	4
108	что он	8	4
109	в нашей	1	4
110	рассказывает о	1	4
111	в одном	2	4
112	как раз	6	4
113	в связи	4	4
114	равно как	2	4
115	в своей	5	4
116	например в	1	3
117	человека и	2	3
118	в котором	2	3
119	из его	2	3
120	работая над	1	3
121	всего лишь	2	3
122	его не	2	3
123	и он	2	3
124	в которых	5	3
125	но как	1	3
126	силу этого	1	3
127	нет и	4	3
128	что они	2	3
129	с этим	3	3
130	и как	1	3
131	и к	3	3
132	образе и	1	3
133	и по	1	3
134	его в	8	3
135	далеко не	3	3
136	что не	3	3
137	с тем	4	3
138	в слове	1	3
139	во время	6	3
140	точки зрения	4	3
141	и ее	2	3
142	это делает	1	3
143	одном из	1	3
144	а вот	1	3
145	со своим	1	3
146	сводится к	1	3
147	она не	2	3
148	том как	3	3
149	в виду	2	3
150	никак не	1	3
151	что и	8	3
152	вслед за	1	3
153	является не	1	3
154	и их	1	3
155	моментов в	1	3
156	в конце	7	3
157	мы знаем	2	3
158	так же	4	3
159	по поводу	1	3
160	по существу	2	3
161	при всем	2	3
162	писал в	1	3
163	и от	1	3
164	или в	1	3
165	бы в	4	3
166	только что	7	3
167	жизни и	1	3
168	как на	1	3
169	чтобы не	1	2
170	без них	1	2
171	видеть в	1	2
172	а как	2	2
173	мы имеем	1	2
174	с более	1	2
175	в которой	3	2
176	говорить о	3	2
177	то это	5	2
178	в ней	4	2
179	еще не	6	2
180	что его	5	2
181	в чем	1	2
182	чуть ли	1	2
183	бы не	2	2
184	но не	1	2
185	если в	1	2
186	том числе	1	2
187	относится к	1	2
188	первая из	1	2
189	отнюдь не	4	2
190	от до	1	2
191	стороны и	2	2
192	хотя и	5	2
193	но в	5	2
194	не приходится	2	2
195	как он	3	2
196	что она	4	2
197	после этого	2	2
198	он не	5	2
199	том чтобы	1	2
200	подобно тому	1	2
201	что ни	3	2
202	человека в	2	2
203	в каждом	1	2
204	а затем	2	2
205	и дальше	1	2
206	в другом	2	2
207	говорил что	1	2
208	с другими	2	2
209	который по	2	2
210	не всегда	1	2
211	он и	2	2
212	и для	4	2
213	всяком случае	3	2
214	не столько	1	2
215	знаем что	1	2
216	которые в	1	2
217	начнем с	1	2
218	по крайней	1	2
219	если бы	8	2
220	не менее	5	2
221	к этим	1	2
222	не по	7	2
223	того чтобы	6	2
224	а для	1	2
225	и весь	1	2
226	свидетельствуют о	1	2
227	в сознании	1	2
228	эти свидетельства	1	2
229	в области	2	2
230	ли это	1	2
231	от того	2	2
232	нет ни	2	2
233	ли не	2	2
234	же самое	3	2
235	числе и	1	2
236	в самых	1	2
237	для того	6	2
238	что при	1	2
239	на это	3	2
240	формы и	1	2
241	и может	1	2
242	роль в	2	2
243	в образе	2	2
244	он сам	1	2
245	и даже	3	2
246	во всяком	3	2
247	на вопрос	2	2
248	в пользу	1	2
249	может не	1	2
250	из себя	3	2
251	от них	1	2
252	крайней мере	1	2
253	конце концов	2	2
254	о его	2	2
255	до нас	4	2
256	с одной	3	2
257	одной из	3	2
258	целого ряда	1	2
259	у них	1	2
260	это высказывание	1	2
261	вовсе не	4	2
262	к ним	3	2
263	при всей	2	2
264	не о	3	2
265	одной стороны	3	2
266	даже не	3	2
267	до сих	9	2
268	показывает что	1	2
269	что для	2	2
270	к сожалению	1	2
271	о чем	7	2
272	что мы	2	2
273	с половиной	1	2
274	тому как	1	2
275	было в	1	2
276	нет никаких	2	2
277	и потому	1	2
278	из которых	2	2
279	в течение	3	2
280	персонажей и	1	2
281	сих пор	9	2
282	сне не	1	2
283	этом и	1	2
284	можно было	2	2
285	многие из	1	2
286	на время	1	2
287	ни одного	1	2
288	все они	1	2
289	а в	7	2
290	а о	2	2
291	между ними	2	2
292	понимать как	1	2
293	сообщает о	1	2
294	о творчестве	1	2
295	к его	1	2
296	его произведений	1	2
297	в своих	2	2
298	этой точки	1	2
299	они не	1	2
300	пор не	2	1
301	речь идет	5	1
302	с жизнью	1	1
303	начинается с	1	1
304	и без	2	1
305	вопросу который	1	1
306	самом деле	6	1
307	она у	1	1
308	все его	1	1
309	же по	1	1
310	в действие	1	1
311	как мы	2	1
312	выдвигал в	1	1
313	вопрос о	1	1
314	именно к	1	1
315	не слишком	2	1
316	на себя	4	1
317	приходит к	1	1
318	из того	3	1
319	похожи на	1	1
320	это время	1	1
321	свою очередь	6	1
322	характером и	1	1
323	собой в	1	1
324	он был	4	1
325	между собой	4	1
326	ответа на	1	1
327	не был	1	1
328	здесь не	2	1
329	называет ее	2	1
330	по своему	3	1
331	ответ на	1	1
332	себе и	1	1
333	которые не	1	1
334	лицом к	1	1
335	в истории	1	1
336	общего с	1	1
337	только об	1	1
338	бы при	1	1
339	нет каких-либо	1	1
340	еще больше	3	1
341	целый ряд	2	1
342	что по	1	1
343	на предыдущих	1	1
344	и наконец	1	1
345	не являются	1	1
346	связанный с	1	1
347	о каком-либо	1	1
348	роль играет	1	1
349	то в	1	1
350	уже в	2	1
351	за это	1	1
352	к достижению	1	1
353	имеем в	1	1
354	тому же	6	1
355	на то	3	1
356	если он	2	1
357	и если	2	1
358	на его	2	1
359	отцов и	1	1
360	этом свидетельствует	1	1
361	да и	1	1
362	образом для	1	1
363	и еще	3	1
364	в понимании	1	1
