N	2gram	Vinokur_St_2	RusskieA
1	и в	29	29
2	т е	10	24
3	том что	27	22
4	в том	27	22
5	что в	19	22
6	в поле	1	19
7	как бы	5	18
8	и другие	2	14
9	так как	2	13
10	может быть	2	13
11	во время	2	12
12	п в	1	12
13	в этом	21	11
14	как и	2	11
15	одна из	1	11
16	не только	19	10
17	и с	4	10
18	е в	1	10
19	в лесу	1	10
20	все это	11	10
21	а на	1	9
22	о том	17	9
23	в некоторых	2	9
24	а в	1	9
25	его в	2	8
26	в деревню	1	8
27	но и	19	8
28	и м	1	8
29	ее в	2	8
30	как в	3	7
31	данном случае	1	7
32	мы видели	1	7
33	представляют собой	1	7
34	или в	1	7
35	мы не	1	6
36	еще не	1	6
37	и на	6	6
38	при этом	2	6
39	таким образом	10	6
40	того чтобы	6	6
41	в деревне	1	6
42	на нее	3	6
43	для нас	1	6
44	для того	7	6
45	с тем	7	6
46	вместе с	7	6
47	в данном	2	6
48	этом случае	1	6
49	же в	1	6
50	и т	9	5
51	должна была	2	5
52	но не	3	5
53	но в	8	5
54	т д	6	5
55	не может	2	5
56	представление о	1	5
57	потому что	9	5
58	и что	6	5
59	будто бы	1	5
60	или же	1	5
61	то что	11	5
62	к этому	4	5
63	в русских	1	4
64	же как	3	4
65	то же	2	4
66	вопрос о	6	4
67	на них	1	4
68	том же	2	4
69	а затем	2	4
70	в них	2	4
71	а за	1	4
72	не в	4	4
73	у нас	3	4
74	а также	2	4
75	так что	3	4
76	то и	1	4
77	из них	3	4
78	именно в	4	4
79	а не	5	4
80	о чем	5	4
81	так же	3	4
82	как это	2	4
83	по существу	2	4
84	это делалось	1	4
85	и все	1	4
86	в таком	1	4
87	советское время	1	3
88	в году	3	3
89	в и	13	3
90	и о	4	3
91	в ее	2	3
92	что это	3	3
93	все эти	2	3
94	в этой	2	3
95	что она	1	3
96	и по	3	3
97	на этом	1	3
98	с другими	1	3
99	должен был	4	3
100	в эту	3	3
101	в этих	3	3
102	в котором	7	3
103	в отличие	2	3
104	не будем	1	3
105	но он	3	3
106	она не	1	3
107	в таких	1	3
108	не имеет	2	3
109	в советское	1	3
110	как мы	1	3
111	нас к	1	3
112	должно было	3	3
113	в свете	1	3
114	того что	5	3
115	как например	2	3
116	между тем	5	3
117	в качестве	5	3
118	связь с	2	3
119	отличие от	2	3
120	тем что	3	3
121	что для	1	3
122	до конца	3	3
123	или с	2	3
124	пишет в	1	3
125	xix в	1	3
126	и от	1	3
127	было бы	5	3
128	но если	1	3
129	а н	1	3
130	вряд ли	3	2
131	одним из	6	2
132	и то	1	2
133	на самом	3	2
134	это и	1	2
135	поле в	1	2
136	на себя	3	2
137	не совсем	1	2
138	которое в	1	2
139	это время	2	2
140	не говорится	1	2
141	не был	3	2
142	это имеет	1	2
143	очевидно что	2	2
144	тогда как	2	2
145	с этим	3	2
146	все же	6	2
147	и как	2	2
148	не было	3	2
149	к числу	1	2
150	в руках	1	2
151	них как	1	2
152	в которой	11	2
153	представляет собой	1	2
154	из этих	1	2
155	не к	2	2
156	том чтобы	1	2
157	но вместе	1	2
158	в образе	3	2
159	об этом	6	2
160	что один	1	2
161	для них	1	2
162	из нее	3	2
163	и еще	1	2
164	так в	1	2
165	в своей	7	2
166	нас не	2	2
167	в их	3	2
168	не столько	7	2
169	силу и	1	2
170	тем не	2	2
171	была не	2	2
172	не менее	3	2
173	что с	2	2
174	в то	2	2
175	дело не	2	2
176	принадлежат к	1	2
177	того как	7	2
178	о них	1	2
179	никогда не	3	2
180	к ней	1	2
181	связи с	4	2
182	кроме того	4	2
183	что на	3	2
184	в момент	1	2
185	что при	1	2
186	говорит о	2	2
187	в виду	7	2
188	на другой	1	2
189	то время	1	2
190	таком виде	1	2
191	№ в	1	2
192	можно было	1	2
193	не с	1	2
194	еще в	2	2
195	образом в	1	2
196	а к	2	2
197	после того	4	2
198	с другой	4	2
199	связь между	1	2
200	этому поводу	2	2
201	что и	2	2
202	в форме	1	2
203	в г	7	2
204	один из	1	2
205	совсем не	1	2
206	и дело	2	2
207	этот вопрос	2	2
208	по возвращении	1	2
209	по этому	2	2
210	на эту	1	2
