N	3gram	Nazirov_Vr_1	Formalny
1	не может быть	2	10
2	в связи с	3	10
3	с точки зрения	2	7
4	в этом отношении	1	7
5	и в этом	1	5
6	то же время	4	5
7	в то же	4	5
8	во всяком случае	1	5
9	в высшей степени	1	4
10	быть и речи	1	3
11	и не может	1	3
12	и в то	1	3
13	может быть и	1	3
14	с другой стороны	1	3
15	связи с этим	1	3
16	в этом смысле	1	2
17	на первый план	1	2
18	что в нем	1	2
19	в конце концов	1	2
20	но в этом	1	2
21	в том что	2	2
22	равно как и	1	1
23	же время и	1	1
24	по преимуществу на	1	1
25	до сих пор	1	1
26	в этот период	1	1
27	по крайней мере	1	1
28	идет не об	1	1
29	но в то	2	1
30	тем что он	1	1
31	к вопросу о	1	1
32	в той же	1	1
33	одним из первых	1	1
34	но при этом	1	1
35	такая же как	1	1
36	это и есть	1	1
37	все же не	1	1
38	что они не	1	1
39	не было бы	1	1
40	его отношение к	1	1
41	в свою очередь	1	1
42	с помощью которых	1	1
43	тем не менее	1	1
44	то что они	1	1
