N	2gram	Nazirov_Tv_1	Literetu
1	не только	7	24
2	при этом	7	19
3	в качестве	2	17
4	но и	3	17
5	в том	7	16
6	а не	5	16
7	в частности	2	15
8	том что	11	14
9	в году	7	13
10	тогда как	1	13
11	может быть	5	13
12	сознания в	1	12
13	и не	7	12
14	в этом	6	12
15	в своем	4	11
16	своего рода	4	11
17	прежде всего	4	11
18	в русской	5	10
19	то что	8	10
20	в целом	4	8
21	не в	2	8
22	и в	21	8
23	только в	5	8
24	как это	1	8
25	я и	3	7
26	я не	3	7
27	как бы	17	7
28	в себе	2	7
29	не менее	6	7
30	в его	13	7
31	уже не	3	7
32	и я	1	6
33	то есть	12	6
34	как и	12	6
35	литературного процесса	1	6
36	и сам	1	6
37	того что	3	6
38	связи с	1	6
39	в жизни	2	6
40	себя в	1	6
41	на смену	2	6
42	xix века	6	6
43	одним из	4	5
44	то же	13	5
45	отличие от	2	5
46	как в	8	5
47	наш взгляд	1	5
48	на наш	1	5
49	не столько	2	5
50	в отличие	2	5
51	в то	15	5
52	казалось бы	1	5
53	же время	12	5
54	в конечном	4	5
55	русской литературе	4	5
56	же в	1	5
57	что он	6	5
58	уже в	3	5
59	не может	4	5
60	в данном	2	5
61	с этой	1	5
62	я в	1	5
63	с его	11	5
64	тем самым	7	5
65	в своей	4	4
66	еще не	1	4
67	столь же	1	4
68	но не	3	4
69	конечном счете	4	4
70	в этой	5	4
71	в художественном	1	4
72	все же	5	4
73	всего лишь	1	4
74	представляет собой	3	4
75	по преимуществу	2	4
76	перестает быть	1	4
77	духовной жизни	1	4
78	для этого	1	4
79	в уме	1	4
80	и его	6	4
81	ведет к	2	4
82	данном случае	2	4
83	никогда не	3	4
84	так и	2	4
85	чужого сознания	1	4
86	еще в	2	4
87	и тем	2	4
88	из них	2	4
89	в конце	1	4
90	как раз	1	4
91	в связи	1	4
92	это не	4	4
93	в своих	5	4
94	в сфере	1	3
95	и есть	1	3
96	исходит из	1	3
97	также и	1	3
98	самого себя	1	3
99	что его	2	3
100	по отношению	1	3
101	в самом	3	3
102	что ли	1	3
103	в принципе	2	3
104	таким образом	5	3
105	той же	3	3
106	его в	1	3
107	в душе	1	3
108	далеко не	3	3
109	он и	1	3
110	не мог	2	3
111	художественного творчества	1	3
112	в их	3	3
113	но в	7	3
114	том же	1	3
115	что ему	1	3
116	дело в	3	3
117	одна из	2	3
118	в основе	2	3
119	в области	1	3
120	к себе	1	3
121	ли не	1	3
122	в виду	2	3
123	приводит к	2	3
124	одного из	2	3
125	нуждается в	1	3
126	один из	4	3
127	потому что	5	3
128	одно из	1	3
129	у него	7	3
130	и даже	3	3
131	с другой	3	3
132	не было	1	3
133	сознания от	1	3
134	мира в	2	3
135	да и	1	3
136	жизни и	3	3
137	что в	12	3
138	а в	6	3
139	свободы от	1	3
140	же и	2	3
141	всем и	1	2
142	чтобы не	1	2
143	человека и	4	2
144	должно стать	1	2
145	того же	2	2
146	самом деле	2	2
147	к своей	1	2
148	та же	4	2
149	в сущности	1	2
150	на себя	1	2
151	то это	1	2
152	и самого	1	2
153	во имя	2	2
